player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
De'Aaron Fox,1628368,2024-10-24,SAC vs. MIN,L,37.0,6,14,0.429,1,4,0.25,2,2,1.0,0,2,2,11,1,0,2,3,15,2,MIN,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-10-26,SAC @ LAL,L,41.0,9,20,0.45,3,10,0.3,7,8,0.875,0,5,5,10,2,0,6,3,28,-5,LAL,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-10-28,SAC vs. POR,W,35.0,9,20,0.45,2,8,0.25,4,4,1.0,1,5,6,3,2,0,3,4,24,13,POR,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-10-29,SAC @ UTA,W,31.0,8,15,0.533,1,2,0.5,2,2,1.0,2,3,5,6,1,0,3,3,19,18,UTA,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-01,SAC @ ATL,W,37.0,11,16,0.688,4,6,0.667,5,6,0.833,0,7,7,3,4,0,6,3,31,21,ATL,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-02,SAC @ TOR,L,43.0,8,22,0.364,0,11,0.0,8,10,0.8,3,3,6,1,5,0,5,2,24,-5,TOR,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-04,SAC @ MIA,W,37.0,11,21,0.524,3,6,0.5,3,4,0.75,2,4,6,5,0,0,4,4,28,-9,MIA,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-06,SAC vs. TOR,W,34.0,5,17,0.294,2,8,0.25,9,10,0.9,0,1,1,2,1,0,1,2,21,9,TOR,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-08,SAC vs. LAC,L,38.0,12,20,0.6,2,5,0.4,5,6,0.833,1,2,3,0,1,0,7,4,31,-11,LAC,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-10,SAC @ PHX,W,41.0,10,23,0.435,0,6,0.0,1,1,1.0,1,10,11,8,0,0,0,0,21,9,PHX,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-11,SAC @ SAS,L,36.0,9,19,0.474,2,5,0.4,4,4,1.0,1,5,6,3,1,0,1,4,24,-21,SAS,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-13,SAC vs. PHX,W,32.0,11,17,0.647,1,2,0.5,6,8,0.75,1,5,6,10,2,1,3,3,29,19,PHX,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-15,SAC vs. MIN,L,44.0,22,35,0.629,6,10,0.6,10,11,0.909,2,1,3,7,3,1,6,3,60,1,MIN,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-16,SAC vs. UTA,W,36.0,16,30,0.533,3,4,0.75,14,19,0.737,0,3,3,9,2,0,4,3,49,1,UTA,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-18,SAC vs. ATL,L,39.0,11,23,0.478,3,6,0.5,3,4,0.75,0,5,5,7,1,0,4,2,28,2,ATL,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-22,SAC @ LAC,L,43.0,10,20,0.5,1,7,0.143,8,10,0.8,2,5,7,7,1,0,3,0,29,-4,LAC,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-24,SAC vs. BKN,L,38.0,10,16,0.625,3,4,0.75,8,12,0.667,0,1,1,5,2,0,2,1,31,5,BKN,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-25,SAC vs. OKC,L,40.0,5,15,0.333,1,6,0.167,3,4,0.75,0,3,3,5,1,0,4,4,14,-22,OKC,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-27,SAC @ MIN,W,38.0,10,22,0.455,3,8,0.375,3,5,0.6,0,8,8,8,2,0,5,1,26,6,MIN,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-11-29,SAC @ POR,L,36.0,8,18,0.444,1,6,0.167,5,7,0.714,2,3,5,5,0,0,5,5,22,-9,POR,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-01,SAC vs. SAS,L,37.0,9,23,0.391,3,8,0.375,2,2,1.0,3,3,6,9,2,1,2,1,23,-3,SAS,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-03,SAC vs. HOU,W,37.0,9,19,0.474,4,6,0.667,0,0,0.0,3,3,6,7,3,1,3,3,22,17,HOU,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-05,SAC @ MEM,L,38.0,8,23,0.348,0,7,0.0,2,3,0.667,2,4,6,3,6,0,4,2,18,-4,MEM,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-06,SAC @ SAS,W,33.0,9,17,0.529,2,7,0.286,2,2,1.0,0,4,4,8,0,1,2,3,22,8,SAS,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-08,SAC vs. UTA,W,31.0,9,16,0.563,1,5,0.2,2,4,0.5,2,2,4,9,0,1,1,1,21,24,UTA,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-12,SAC @ NOP,W,37.0,7,20,0.35,1,6,0.167,3,4,0.75,3,4,7,8,1,1,5,2,18,3,NOP,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-16,SAC vs. DEN,L,39.0,11,24,0.458,2,7,0.286,5,6,0.833,0,5,5,7,0,1,3,4,29,-13,DEN,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-19,SAC vs. LAL,L,36.0,7,17,0.412,2,5,0.4,10,11,0.909,0,3,3,5,3,0,4,5,26,-10,LAL,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-21,SAC vs. LAL,L,38.0,12,17,0.706,3,5,0.6,4,4,1.0,1,4,5,7,1,0,4,3,31,-11,LAL,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-22,SAC vs. IND,L,35.0,7,19,0.368,2,6,0.333,7,8,0.875,1,4,5,7,1,0,2,2,23,-19,IND,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-26,SAC vs. DET,L,38.0,11,25,0.44,2,7,0.286,2,3,0.667,1,5,6,4,0,2,3,4,26,-13,DET,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-28,SAC @ LAL,L,39.0,12,25,0.48,1,9,0.111,4,7,0.571,1,4,5,12,4,1,3,2,29,-7,LAL,AWAY,De'Aaron Fox,False
De'Aaron Fox,1628368,2024-12-30,SAC vs. DAL,W,35.0,13,23,0.565,3,7,0.429,4,5,0.8,2,4,6,6,1,0,1,5,33,17,DAL,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2025-01-01,SAC vs. PHI,W,38.0,13,16,0.813,2,4,0.5,7,8,0.875,0,3,3,4,0,1,3,3,35,12,PHI,HOME,De'Aaron Fox,False
De'Aaron Fox,1628368,2025-01-03,SAC vs. MEM,W,40.0,7,23,0.304,1,8,0.125,8,9,0.889,0,3,3,5,3,0,1,4,23,2,MEM,HOME,De'Aaron Fox,False
DeAaron Fox,1628368,2025-01-05,SAC @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,DeAaron Fox,True
DeAaron Fox,1628368,2025-01-06,SAC vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,DeAaron Fox,True
DeAaron Fox,1628368,2025-01-10,SAC @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,DeAaron Fox,True
