player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
De'Anthony Melton,1629001,2024-10-23,GSW @ POR,W,19.0,4,11,0.364,2,8,0.25,1,2,0.5,0,2,2,4,3,0,1,3,11,3,POR,AWAY,De'Anthony Melton,False
De'Anthony Melton,1629001,2024-10-25,GSW @ UTA,W,14.0,0,4,0.0,0,3,0.0,0,0,0.0,1,0,1,4,0,1,2,5,0,8,UTA,AWAY,De'Anthony Melton,False
De'Anthony Melton,1629001,2024-10-27,GSW vs. LAC,L,17.0,3,5,0.6,2,4,0.5,0,0,0.0,0,1,1,0,0,1,0,2,8,-10,LAC,HOME,De'Anthony Melton,False
DeAnthony Melton,1629001,2024-10-29,GSW vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-10-30,GSW vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-02,GSW @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-04,GSW @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-06,GSW @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,DeAnthony Melton,True
De'Anthony Melton,1629001,2024-11-08,GSW @ CLE,L,18.0,4,11,0.364,2,6,0.333,0,0,0.0,2,0,2,3,0,0,1,4,10,6,CLE,AWAY,De'Anthony Melton,False
De'Anthony Melton,1629001,2024-11-10,GSW @ OKC,W,27.0,5,11,0.455,5,8,0.625,4,6,0.667,2,8,10,2,3,0,4,2,19,8,OKC,AWAY,De'Anthony Melton,False
De'Anthony Melton,1629001,2024-11-12,GSW vs. DAL,W,26.0,6,12,0.5,2,6,0.333,0,0,0.0,1,3,4,4,1,0,2,2,14,12,DAL,HOME,De'Anthony Melton,False
DeAnthony Melton,1629001,2024-11-15,GSW vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-18,GSW @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-20,GSW vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-22,GSW @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-23,GSW @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-25,GSW vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-27,GSW vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-11-30,GSW @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-03,GSW @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-05,GSW vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-06,GSW vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-08,GSW vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-11,GSW @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-15,GSW vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-19,GSW @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-21,GSW @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-23,GSW vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-25,GSW vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-27,GSW @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-28,GSW vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2024-12-30,GSW vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-02,GSW vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-04,GSW vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-05,GSW vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-07,GSW vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-09,GSW @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-10,GSW @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-13,GSW @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-15,GSW @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-18,GSW vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-20,GSW vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-22,GSW @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-23,GSW vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-25,GSW vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-28,GSW vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-29,GSW vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-01-31,GSW vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-03,GSW vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-05,GSW @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-06,GSW @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-08,GSW @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-10,GSW @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-12,GSW @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-13,GSW @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-21,GSW @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-23,GSW vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-25,GSW vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-02-27,GSW @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-01,GSW @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-03,GSW @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-04,GSW @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-06,GSW @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-08,GSW vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-10,GSW vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-13,GSW vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-15,GSW vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-17,GSW vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-18,GSW vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-20,GSW vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-22,GSW @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-25,GSW @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-28,GSW @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-03-30,GSW @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,DeAnthony Melton,True
DeAnthony Melton,1629001,2025-04-01,GSW @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,DeAnthony Melton,True
