player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Deni Avdija,1630166,2024-10-23,POR vs. GSW,L,27.0,4,10,0.4,0,3,0.0,7,8,0.875,2,5,7,2,2,2,4,2,15,-13,GSW,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-10-25,POR vs. NOP,L,31.0,1,9,0.111,0,3,0.0,0,0,0.0,1,5,6,6,1,2,2,1,2,2,NOP,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-10-27,POR vs. NOP,W,30.0,4,12,0.333,1,5,0.2,2,2,1.0,3,3,6,3,1,0,1,3,11,21,NOP,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-10-28,POR @ SAC,L,25.0,2,7,0.286,0,4,0.0,5,6,0.833,0,4,4,1,2,0,2,2,9,-21,SAC,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-10-30,POR @ LAC,W,29.0,3,8,0.375,1,3,0.333,6,6,1.0,0,10,10,2,1,2,2,2,13,-4,LAC,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-01,POR vs. OKC,L,23.0,5,10,0.5,1,3,0.333,0,1,0.0,1,2,3,4,1,0,6,2,11,-11,OKC,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-11-02,POR @ PHX,L,32.0,4,12,0.333,2,5,0.4,3,3,1.0,2,4,6,2,2,2,1,2,13,12,PHX,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-04,POR @ NOP,W,21.0,2,5,0.4,0,1,0.0,3,4,0.75,2,4,6,3,0,0,0,2,7,-7,NOP,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-07,POR @ SAS,L,25.0,3,5,0.6,1,3,0.333,2,5,0.4,2,5,7,5,0,0,1,0,9,-4,SAS,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-08,POR @ MIN,L,23.0,4,9,0.444,0,2,0.0,1,3,0.333,1,4,5,1,1,0,1,2,9,-26,MIN,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-10,POR vs. MEM,L,13.0,0,5,0.0,0,3,0.0,0,0,0.0,1,1,2,4,0,1,2,1,0,-14,MEM,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-11-12,POR vs. MIN,W,25.0,4,10,0.4,3,6,0.5,6,6,1.0,0,4,4,5,1,1,1,2,17,5,MIN,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-11-13,POR vs. MIN,W,18.0,1,5,0.2,1,2,0.5,4,4,1.0,0,6,6,1,1,0,3,2,7,15,MIN,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-11-17,POR vs. ATL,W,25.0,4,8,0.5,2,4,0.5,2,2,1.0,3,5,8,4,2,1,1,1,12,1,ATL,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-11-20,POR @ OKC,L,24.0,4,10,0.4,1,3,0.333,4,7,0.571,2,4,6,1,1,1,1,2,13,-14,OKC,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-22,POR @ HOU,L,23.0,4,9,0.444,1,3,0.333,4,5,0.8,1,5,6,1,0,0,4,3,13,-16,HOU,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-23,POR @ HOU,W,33.0,4,8,0.5,2,3,0.667,4,6,0.667,2,8,10,2,1,4,3,1,14,-2,HOU,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-25,POR @ MEM,L,32.0,7,16,0.438,2,7,0.286,1,2,0.5,1,7,8,6,1,1,3,4,17,-11,MEM,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-27,POR @ IND,L,41.0,6,12,0.5,2,5,0.4,2,2,1.0,1,4,5,7,2,0,2,3,16,-4,IND,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-11-29,POR vs. SAC,W,37.0,7,15,0.467,4,9,0.444,2,2,1.0,1,8,9,5,2,1,0,3,20,12,SAC,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-12-01,POR vs. DAL,L,29.0,7,12,0.583,2,4,0.5,5,5,1.0,0,4,4,2,1,0,4,3,21,-16,DAL,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-12-03,POR @ LAC,L,23.0,6,9,0.667,3,3,1.0,0,0,0.0,2,1,3,3,1,0,2,3,15,-10,LAC,AWAY,Deni Avdija,False
Deni Avdija,1630166,2024-12-06,POR vs. UTA,L,24.0,2,9,0.222,1,5,0.2,1,2,0.5,1,4,5,2,0,1,1,2,6,-14,UTA,HOME,Deni Avdija,False
Deni Avdija,1630166,2024-12-08,POR @ LAL,L,23.0,4,7,0.571,2,3,0.667,3,4,0.75,1,3,4,2,0,0,1,3,13,-12,LAL,AWAY,Deni Avdija,False
