player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Duncan Robinson,1629130,2024-10-23,MIA vs. ORL,L,20.0,2,7,0.286,2,5,0.4,0,0,0.0,0,1,1,1,0,0,0,4,6,-2,ORL,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-10-26,MIA @ CHA,W,15.0,2,8,0.25,0,5,0.0,0,0,0.0,0,0,0,1,0,2,0,0,4,8,CHA,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-10-28,MIA vs. DET,W,16.0,2,8,0.25,2,7,0.286,0,0,0.0,0,1,1,0,0,0,1,2,6,15,DET,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-10-30,MIA vs. NYK,L,14.0,2,7,0.286,1,5,0.2,0,0,0.0,0,2,2,0,0,0,1,0,5,0,NYK,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-02,MIA @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Duncan Robinson,True
Duncan Robinson,1629130,2024-11-04,MIA vs. SAC,L,14.0,3,5,0.6,3,3,1.0,0,0,0.0,0,3,3,3,0,0,0,1,9,5,SAC,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-06,MIA @ PHX,L,15.0,3,8,0.375,3,6,0.5,0,0,0.0,0,1,1,0,0,1,0,0,9,-6,PHX,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-08,MIA @ DEN,L,20.0,7,12,0.583,6,10,0.6,0,0,0.0,0,3,3,3,1,0,1,4,20,8,DEN,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-10,MIA @ MIN,W,17.0,3,8,0.375,2,5,0.4,0,0,0.0,0,2,2,2,0,0,1,3,8,2,MIN,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-12,MIA @ DET,L,36.0,6,16,0.375,2,10,0.2,0,0,0.0,2,4,6,3,4,0,1,3,14,14,DET,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-15,MIA @ IND,W,23.0,2,9,0.222,2,9,0.222,2,2,1.0,0,1,1,2,1,0,0,2,8,8,IND,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-17,MIA @ IND,L,31.0,6,10,0.6,5,7,0.714,3,3,1.0,1,3,4,4,0,0,2,2,20,10,IND,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-18,MIA vs. PHI,W,22.0,5,14,0.357,2,10,0.2,1,2,0.5,1,1,2,3,1,0,2,2,13,2,PHI,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-24,MIA vs. DAL,W,18.0,3,7,0.429,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,5,8,-7,DAL,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-26,MIA vs. MIL,L,31.0,4,7,0.571,2,5,0.4,1,2,0.5,0,5,5,5,1,0,1,2,11,-6,MIL,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-27,MIA @ CHA,W,33.0,7,12,0.583,6,9,0.667,2,3,0.667,0,3,3,1,0,0,1,2,22,7,CHA,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-11-29,MIA vs. TOR,W,28.0,4,11,0.364,2,9,0.222,0,0,0.0,1,1,2,2,0,0,0,2,10,1,TOR,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-01,MIA @ TOR,L,21.0,3,12,0.25,2,7,0.286,0,0,0.0,1,0,1,2,0,0,4,2,8,-5,TOR,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-02,MIA @ BOS,L,20.0,2,9,0.222,0,6,0.0,1,1,1.0,1,2,3,3,0,0,0,2,5,-20,BOS,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-04,MIA vs. LAL,W,27.0,3,7,0.429,1,3,0.333,0,0,0.0,1,2,3,6,1,0,0,2,7,28,LAL,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-07,MIA vs. PHX,W,29.0,7,12,0.583,5,8,0.625,0,0,0.0,0,2,2,4,1,0,0,3,19,20,PHX,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-08,MIA vs. CLE,W,28.0,7,11,0.636,4,6,0.667,5,5,1.0,0,3,3,1,1,0,1,2,23,11,CLE,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-12,MIA vs. TOR,W,18.0,4,8,0.5,0,2,0.0,0,0,0.0,0,3,3,3,0,0,3,1,8,-16,TOR,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-16,MIA @ DET,L,24.0,5,10,0.5,3,7,0.429,0,0,0.0,0,0,0,1,1,0,2,3,13,-17,DET,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-20,MIA vs. OKC,L,31.0,4,14,0.286,3,11,0.273,2,2,1.0,0,3,3,6,0,0,0,1,13,-3,OKC,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-21,MIA @ ORL,L,27.0,3,7,0.429,2,6,0.333,2,2,1.0,1,3,4,3,0,0,1,3,10,-8,ORL,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-23,MIA vs. BKN,W,25.0,6,11,0.545,5,10,0.5,0,0,0.0,1,0,1,4,1,0,2,3,17,11,BKN,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-26,MIA @ ORL,W,18.0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,2,0,-12,ORL,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-28,MIA @ ATL,L,38.0,6,14,0.429,4,10,0.4,0,0,0.0,0,5,5,5,2,0,1,3,16,10,ATL,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2024-12-29,MIA @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Duncan Robinson,True
Duncan Robinson,1629130,2025-01-01,MIA vs. NOP,W,25.0,7,13,0.538,3,7,0.429,0,0,0.0,0,4,4,3,1,0,0,2,17,7,NOP,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-02,MIA vs. IND,L,18.0,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,4,0,0,1,0,6,-16,IND,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-04,MIA vs. UTA,L,22.0,6,12,0.5,3,9,0.333,1,1,1.0,0,2,2,2,0,0,0,1,16,-24,UTA,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-06,MIA @ SAC,L,25.0,3,8,0.375,2,7,0.286,0,0,0.0,0,2,2,4,0,0,2,1,8,-2,SAC,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-07,MIA @ GSW,W,21.0,4,6,0.667,4,5,0.8,0,0,0.0,0,1,1,8,1,0,1,2,12,20,GSW,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-09,MIA @ UTA,W,18.0,0,5,0.0,0,5,0.0,0,0,0.0,0,3,3,1,1,0,3,2,0,9,UTA,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-11,MIA @ POR,W,16.0,2,8,0.25,2,5,0.4,2,2,1.0,0,2,2,1,1,0,1,1,8,7,POR,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-13,MIA @ LAC,L,25.0,1,5,0.2,1,5,0.2,0,0,0.0,1,1,2,2,0,0,2,1,3,-8,LAC,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-15,MIA @ LAL,L,22.0,2,7,0.286,0,4,0.0,3,3,1.0,0,2,2,1,0,1,2,2,7,3,LAL,AWAY,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-17,MIA vs. DEN,L,26.0,3,5,0.6,2,4,0.5,0,0,0.0,0,1,1,7,0,0,0,3,8,-12,DEN,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-19,MIA vs. SAS,W,28.0,8,12,0.667,5,7,0.714,0,0,0.0,1,4,5,2,0,0,1,2,21,19,SAS,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-21,MIA vs. POR,L,36.0,8,15,0.533,6,12,0.5,0,0,0.0,0,5,5,4,0,1,2,4,22,11,POR,HOME,Duncan Robinson,False
Duncan Robinson,1629130,2025-01-23,MIA @ MIL,L,28.0,4,13,0.308,3,12,0.25,1,1,1.0,0,1,1,4,1,0,0,1,12,-18,MIL,AWAY,Duncan Robinson,False
