player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Giannis Antetokounmpo,203507,2024-10-23,MIL @ PHI,W,31.0,8,11,0.727,0,0,0.0,9,16,0.563,1,13,14,7,0,1,3,4,25,7,PHI,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-10-25,MIL vs. CHI,L,35.0,15,23,0.652,0,1,0.0,8,16,0.5,1,10,11,5,0,0,3,1,38,-12,CHI,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-10-27,MIL @ BKN,L,33.0,7,11,0.636,0,0,0.0,8,11,0.727,1,11,12,7,1,1,4,3,22,-11,BKN,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-10-28,MIL @ BOS,L,39.0,14,26,0.538,0,2,0.0,2,6,0.333,1,9,10,6,0,0,7,4,30,-19,BOS,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-10-31,MIL @ MEM,L,34.0,17,22,0.773,0,0,0.0,3,8,0.375,1,10,11,4,1,1,1,4,37,0,MEM,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-02,MIL vs. CLE,L,39.0,15,27,0.556,0,0,0.0,4,7,0.571,6,10,16,9,1,0,0,5,34,5,CLE,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-04,MIL @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-11-07,MIL vs. UTA,W,30.0,11,21,0.524,0,0,0.0,9,12,0.75,6,10,16,2,1,1,4,5,31,27,UTA,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-08,MIL @ NYK,L,32.0,11,21,0.524,0,1,0.0,2,6,0.333,3,9,12,2,0,2,1,2,24,-17,NYK,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-10,MIL vs. BOS,L,39.0,18,29,0.621,1,2,0.5,6,10,0.6,1,12,13,5,0,2,1,4,43,-6,BOS,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-12,MIL vs. TOR,W,33.0,9,12,0.75,0,1,0.0,5,9,0.556,1,3,4,7,0,4,4,2,23,1,TOR,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-13,MIL vs. DET,W,44.0,21,34,0.618,1,2,0.5,16,17,0.941,3,11,14,7,2,3,3,1,59,7,DET,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-16,MIL @ CHA,L,33.0,11,22,0.5,0,1,0.0,0,1,0.0,2,13,15,12,0,2,2,2,22,-2,CHA,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-18,MIL vs. HOU,W,36.0,9,17,0.529,0,0,0.0,2,7,0.286,2,11,13,4,0,3,8,3,20,-2,HOU,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-20,MIL vs. CHI,W,35.0,17,24,0.708,0,1,0.0,7,14,0.5,1,8,9,8,1,0,1,1,41,7,CHI,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-22,MIL vs. IND,W,35.0,14,21,0.667,0,0,0.0,9,11,0.818,2,8,10,11,2,1,6,4,37,16,IND,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-23,MIL vs. CHA,W,31.0,12,23,0.522,1,3,0.333,7,10,0.7,2,9,11,6,0,2,4,1,32,-2,CHA,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-11-26,MIL @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-11-30,MIL vs. WAS,W,38.0,15,24,0.625,0,0,0.0,12,17,0.706,2,10,12,11,0,1,4,0,42,9,WAS,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-03,MIL @ DET,W,28.0,10,11,0.909,0,0,0.0,8,12,0.667,1,6,7,8,0,1,6,2,28,18,DET,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-04,MIL vs. ATL,L,36.0,8,14,0.571,0,0,0.0,15,26,0.577,4,7,11,5,1,0,4,2,31,-11,ATL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-06,MIL @ BOS,L,36.0,13,25,0.52,0,1,0.0,4,6,0.667,1,10,11,1,0,0,1,0,30,-4,BOS,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-08,MIL @ BKN,W,38.0,14,22,0.636,0,0,0.0,6,10,0.6,2,9,11,4,1,3,3,2,34,10,BKN,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-10,MIL vs. ORL,W,36.0,15,24,0.625,0,2,0.0,7,12,0.583,1,6,7,1,2,4,6,1,37,5,ORL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-14,MIL vs. ATL,W,38.0,10,15,0.667,0,0,0.0,12,18,0.667,1,13,14,9,1,4,1,1,32,3,ATL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-20,MIL @ CLE,L,30.0,13,22,0.591,1,1,1.0,6,10,0.6,2,12,14,3,3,0,5,2,33,-19,CLE,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2024-12-21,MIL vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-12-23,MIL @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-12-26,MIL vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-12-28,MIL @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2024-12-31,MIL @ IND,W,35.0,11,20,0.55,0,0,0.0,8,13,0.615,2,10,12,5,2,0,2,4,30,12,IND,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-02,MIL vs. BKN,L,37.0,12,24,0.5,0,0,0.0,3,10,0.3,3,10,13,7,1,3,3,4,27,12,BKN,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-04,MIL vs. POR,L,38.0,14,27,0.519,0,1,0.0,3,4,0.75,2,9,11,2,2,2,4,2,31,-3,POR,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-06,MIL @ TOR,W,29.0,5,8,0.625,0,1,0.0,1,2,0.5,1,11,12,13,0,0,7,1,11,27,TOR,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-08,MIL vs. SAS,W,36.0,11,21,0.524,0,1,0.0,3,7,0.429,3,13,16,8,0,1,4,1,25,13,SAS,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-10,MIL @ ORL,W,37.0,19,29,0.655,0,1,0.0,3,10,0.3,3,11,14,4,3,2,3,4,41,-3,ORL,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-12,MIL @ NYK,L,31.0,10,21,0.476,0,1,0.0,4,10,0.4,7,6,13,2,0,1,4,3,24,-20,NYK,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-14,MIL vs. SAC,W,37.0,14,23,0.609,0,2,0.0,5,7,0.714,1,10,11,13,0,2,3,3,33,30,SAC,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-15,MIL vs. ORL,W,30.0,11,15,0.733,0,0,0.0,4,8,0.5,0,11,11,4,1,0,6,0,26,25,ORL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-17,MIL vs. TOR,W,35.0,12,20,0.6,0,1,0.0,11,18,0.611,4,9,13,3,1,1,6,3,35,14,TOR,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-19,MIL vs. PHI,W,36.0,13,17,0.765,0,0,0.0,8,14,0.571,3,12,15,6,0,0,0,2,34,25,PHI,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-23,MIL vs. MIA,W,32.0,10,18,0.556,0,0,0.0,5,10,0.5,2,10,12,4,0,3,1,2,25,19,MIA,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-25,MIL @ LAC,L,35.0,12,22,0.545,0,1,0.0,12,15,0.8,2,11,13,1,0,1,4,3,36,-10,LAC,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-27,MIL @ UTA,W,37.0,16,23,0.696,0,1,0.0,3,10,0.3,1,17,18,7,2,0,2,2,35,19,UTA,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-28,MIL @ POR,L,36.0,17,24,0.708,0,0,0.0,5,10,0.5,4,8,12,5,0,0,4,4,39,-11,POR,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-01-31,MIL @ SAS,L,34.0,13,23,0.565,0,1,0.0,9,14,0.643,4,10,14,6,0,1,2,3,35,-13,SAS,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-02,MIL vs. MEM,L,37.0,14,21,0.667,2,3,0.667,0,6,0.0,4,7,11,7,2,1,4,3,30,-3,MEM,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-03,MIL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-05,MIL @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-07,MIL @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-09,MIL vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-10,MIL vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-12,MIL @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-02-20,MIL vs. LAC,W,24.0,10,14,0.714,0,2,0.0,3,5,0.6,0,8,8,4,0,1,3,3,23,-1,LAC,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-21,MIL @ WAS,W,19.0,6,9,0.667,0,0,0.0,6,11,0.545,2,4,6,3,1,1,7,6,18,1,WAS,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-23,MIL vs. MIA,W,32.0,11,18,0.611,1,2,0.5,0,0,0.0,3,13,16,7,1,1,3,2,23,16,MIA,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-25,MIL @ HOU,L,32.0,9,17,0.529,0,1,0.0,9,12,0.75,1,9,10,6,1,1,1,2,27,1,HOU,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-02-27,MIL vs. DEN,W,33.0,11,23,0.478,1,2,0.5,5,8,0.625,2,17,19,7,0,1,2,3,28,8,DEN,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-01,MIL @ DAL,W,32.0,9,14,0.643,0,1,0.0,11,13,0.846,2,7,9,9,1,2,0,2,29,22,DAL,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-04,MIL @ ATL,W,34.0,9,18,0.5,0,2,0.0,8,12,0.667,3,9,12,10,1,0,3,2,26,9,ATL,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-05,MIL vs. DAL,W,25.0,13,20,0.65,0,0,0.0,6,6,1.0,4,11,15,4,1,0,3,3,32,30,DAL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-08,MIL vs. ORL,L,35.0,15,23,0.652,0,0,0.0,7,11,0.636,4,7,11,4,1,0,1,1,37,2,ORL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-09,MIL vs. CLE,L,34.0,13,24,0.542,0,0,0.0,4,8,0.5,4,5,9,3,2,0,4,1,30,-13,CLE,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-11,MIL @ IND,L,34.0,9,14,0.643,0,1,0.0,1,3,0.333,2,15,17,7,0,1,3,3,19,10,IND,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-13,MIL vs. LAL,W,30.0,8,17,0.471,0,1,0.0,8,13,0.615,2,10,12,9,1,1,3,1,24,22,LAL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-15,MIL vs. IND,W,35.0,14,19,0.737,0,0,0.0,6,6,1.0,1,9,10,7,1,3,6,6,34,2,IND,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-16,MIL vs. OKC,L,36.0,7,15,0.467,0,0,0.0,7,12,0.583,3,9,12,10,1,2,1,1,21,-13,OKC,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-18,MIL @ GSW,L,39.0,5,16,0.313,0,1,0.0,10,15,0.667,2,7,9,7,3,2,1,2,20,-7,GSW,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-20,MIL @ LAL,W,29.0,9,15,0.6,0,0,0.0,10,12,0.833,1,6,7,4,2,1,3,1,28,19,LAL,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-22,MIL @ SAC,W,35.0,12,20,0.6,0,0,0.0,8,13,0.615,6,11,17,3,1,1,2,2,32,-6,SAC,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-24,MIL @ PHX,L,37.0,12,19,0.632,1,2,0.5,6,13,0.462,1,9,10,5,1,0,2,3,31,-4,PHX,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-26,MIL @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-03-28,MIL vs. NYK,L,35.0,11,17,0.647,0,3,0.0,8,11,0.727,1,8,9,7,0,0,2,5,30,-6,NYK,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-03-30,MIL vs. ATL,L,30.0,11,18,0.611,0,1,0.0,9,14,0.643,1,8,9,5,1,0,5,3,31,-18,ATL,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-01,MIL vs. PHX,W,36.0,12,18,0.667,2,4,0.5,11,12,0.917,0,5,5,11,3,1,2,1,37,23,PHX,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-03,MIL @ PHI,W,39.0,12,19,0.632,1,1,1.0,10,11,0.909,2,15,17,20,2,0,2,0,35,23,PHI,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-05,MIL @ MIA,W,43.0,13,21,0.619,0,1,0.0,10,14,0.714,0,15,15,10,0,1,3,1,36,17,MIA,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-06,MIL @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Giannis Antetokounmpo,True
Giannis Antetokounmpo,203507,2025-04-08,MIL vs. MIN,W,38.0,9,15,0.6,1,2,0.5,4,11,0.364,3,10,13,10,1,1,0,0,23,26,MIN,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-10,MIL vs. NOP,W,26.0,11,17,0.647,1,2,0.5,5,10,0.5,2,9,11,5,0,1,0,1,28,6,NOP,HOME,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-11,MIL @ DET,W,38.0,11,22,0.5,0,2,0.0,10,11,0.909,1,10,11,15,1,2,3,0,32,22,DET,AWAY,Giannis Antetokounmpo,False
Giannis Antetokounmpo,203507,2025-04-13,MIL vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Giannis Antetokounmpo,True
