player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Hunter Tyson,1641816,2024-10-24,DEN vs. OKC,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,OKC,HOME,Hunter Tyson,False
Hunter Tyson,1641816,2024-10-26,DEN vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Hunter Tyson,True
Hunter Tyson,1641816,2024-10-28,DEN @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Hunter Tyson,True
Hunter Tyson,1641816,2024-10-29,DEN @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Hunter Tyson,True
Hunter Tyson,1641816,2024-11-01,DEN @ MIN,L,6.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1,MIN,AWAY,Hunter Tyson,False
Hunter Tyson,1641816,2024-11-02,DEN vs. UTA,W,25.0,2,5,0.4,0,2,0.0,3,3,1.0,1,3,4,4,0,0,0,2,7,5,UTA,HOME,Hunter Tyson,False
Hunter Tyson,1641816,2024-11-04,DEN vs. TOR,W,15.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,2,0,-2,TOR,HOME,Hunter Tyson,False
Hunter Tyson,1641816,2024-11-06,DEN vs. OKC,W,19.0,1,2,0.5,0,1,0.0,0,0,0.0,0,4,4,0,1,0,2,4,2,-6,OKC,HOME,Hunter Tyson,False
Hunter Tyson,1641816,2024-11-08,DEN vs. MIA,W,9.0,3,3,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,0,1,2,7,-12,MIA,HOME,Hunter Tyson,False
Hunter Tyson,1641816,2024-11-10,DEN vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Hunter Tyson,True
