player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jaime Jaquez Jr.,1631170,2024-10-23,MIA vs. ORL,L,19.0,4,9,0.444,2,2,1.0,3,5,0.6,2,3,5,3,0,0,2,4,13,-23,ORL,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-10-26,MIA @ CHA,W,22.0,2,4,0.5,2,2,1.0,0,0,0.0,2,4,6,4,1,0,4,2,6,13,CHA,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-10-28,MIA vs. DET,W,33.0,5,10,0.5,2,3,0.667,0,0,0.0,3,6,9,0,3,0,1,1,12,15,DET,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-10-30,MIA vs. NYK,L,27.0,2,10,0.2,0,2,0.0,4,8,0.5,2,6,8,4,0,0,1,4,8,2,NYK,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-02,MIA @ WAS,W,25.0,4,12,0.333,0,3,0.0,0,0,0.0,3,7,10,1,0,0,1,1,8,10,WAS,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr,1631170,2024-11-04,MIA vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Jaime Jaquez Jr,True
Jaime Jaquez Jr,1631170,2024-11-06,MIA @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Jaime Jaquez Jr,True
Jaime Jaquez Jr,1631170,2024-11-08,MIA @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Jaime Jaquez Jr,True
Jaime Jaquez Jr.,1631170,2024-11-10,MIA @ MIN,W,16.0,3,7,0.429,1,2,0.5,0,0,0.0,1,4,5,1,1,1,2,0,7,-2,MIN,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-12,MIA @ DET,L,25.0,6,9,0.667,0,1,0.0,2,2,1.0,2,3,5,3,2,0,2,3,14,-13,DET,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-15,MIA @ IND,W,25.0,4,6,0.667,0,1,0.0,2,4,0.5,0,3,3,5,2,0,1,2,10,3,IND,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-17,MIA @ IND,L,15.0,1,6,0.167,0,2,0.0,0,0,0.0,1,2,3,4,1,0,2,1,2,-6,IND,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr,1631170,2024-11-18,MIA vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Jaime Jaquez Jr,True
Jaime Jaquez Jr.,1631170,2024-11-24,MIA vs. DAL,W,19.0,2,7,0.286,0,1,0.0,3,3,1.0,1,2,3,1,0,0,0,1,7,-2,DAL,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-26,MIA vs. MIL,L,14.0,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,2,0,0,2,0,2,-2,MIL,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-27,MIA @ CHA,W,20.0,3,10,0.3,0,2,0.0,5,5,1.0,1,6,7,0,1,0,1,0,11,-4,CHA,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-11-29,MIA vs. TOR,W,18.0,6,9,0.667,2,4,0.5,1,2,0.5,1,3,4,3,0,0,1,0,15,6,TOR,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-01,MIA @ TOR,L,19.0,3,7,0.429,0,2,0.0,0,1,0.0,1,2,3,3,2,1,2,1,6,1,TOR,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-02,MIA @ BOS,L,36.0,5,14,0.357,0,3,0.0,9,12,0.75,2,8,10,3,3,0,1,0,19,-12,BOS,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-04,MIA vs. LAL,W,17.0,4,6,0.667,1,2,0.5,0,0,0.0,3,1,4,1,1,0,1,2,9,5,LAL,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-07,MIA vs. PHX,W,19.0,2,8,0.25,0,2,0.0,0,0,0.0,0,0,0,2,1,0,1,2,4,-13,PHX,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-08,MIA vs. CLE,W,16.0,1,4,0.25,0,2,0.0,2,2,1.0,1,2,3,2,1,0,2,2,4,-7,CLE,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-12,MIA vs. TOR,W,16.0,3,5,0.6,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,3,6,-18,TOR,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-16,MIA @ DET,L,19.0,5,12,0.417,0,3,0.0,3,3,1.0,0,1,1,4,1,0,1,3,13,-14,DET,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-20,MIA vs. OKC,L,30.0,3,8,0.375,0,3,0.0,3,4,0.75,0,6,6,0,1,0,2,5,9,-5,OKC,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-21,MIA @ ORL,L,18.0,1,4,0.25,0,0,0.0,3,4,0.75,0,2,2,4,0,0,3,1,5,6,ORL,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-23,MIA vs. BKN,W,24.0,3,4,0.75,1,2,0.5,2,2,1.0,1,4,5,0,0,0,2,1,9,-8,BKN,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-26,MIA @ ORL,W,31.0,4,9,0.444,3,5,0.6,4,4,1.0,2,2,4,4,5,1,3,2,15,2,ORL,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-28,MIA @ ATL,L,21.0,4,12,0.333,0,5,0.0,0,0,0.0,1,4,5,1,3,0,0,1,8,-5,ATL,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2024-12-29,MIA @ HOU,W,16.0,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,2,-7,HOU,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-01,MIA vs. NOP,W,23.0,5,9,0.556,1,1,1.0,1,4,0.25,2,2,4,4,2,0,0,2,12,2,NOP,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-02,MIA vs. IND,L,15.0,0,3,0.0,0,0,0.0,0,0,0.0,1,3,4,5,1,0,0,1,0,6,IND,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-04,MIA vs. UTA,L,34.0,3,6,0.5,0,1,0.0,7,9,0.778,0,2,2,4,1,0,2,1,13,-27,UTA,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-06,MIA @ SAC,L,46.0,7,15,0.467,0,2,0.0,2,4,0.5,4,8,12,10,5,1,3,3,16,-4,SAC,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-07,MIA @ GSW,W,29.0,7,12,0.583,1,3,0.333,3,4,0.75,2,3,5,1,0,0,3,0,18,-3,GSW,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-09,MIA @ UTA,W,36.0,7,11,0.636,3,5,0.6,3,4,0.75,2,5,7,7,2,0,3,1,20,4,UTA,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-11,MIA @ POR,W,26.0,4,9,0.444,0,1,0.0,3,5,0.6,0,5,5,2,2,1,2,3,11,9,POR,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-13,MIA @ LAC,L,33.0,4,9,0.444,2,4,0.5,0,0,0.0,0,2,2,5,1,0,5,2,10,0,LAC,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-15,MIA @ LAL,L,25.0,3,7,0.429,2,4,0.5,3,3,1.0,0,5,5,3,1,0,1,1,11,-12,LAL,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-17,MIA vs. DEN,L,24.0,3,7,0.429,1,2,0.5,2,2,1.0,0,3,3,3,1,0,0,1,9,0,DEN,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-19,MIA vs. SAS,W,22.0,5,7,0.714,2,2,1.0,0,0,0.0,2,4,6,1,3,1,1,2,12,0,SAS,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-21,MIA vs. POR,L,28.0,3,5,0.6,0,0,0.0,2,2,1.0,3,3,6,3,0,0,2,2,8,-3,POR,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-23,MIA @ MIL,L,25.0,3,8,0.375,0,2,0.0,2,2,1.0,0,3,3,4,0,1,1,1,8,-19,MIL,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-01-25,MIA @ BKN,W,26.0,2,7,0.286,0,0,0.0,5,5,1.0,0,5,5,3,0,0,1,3,9,0,BKN,AWAY,Jaime Jaquez Jr,False
Jaime Jaquez Jr,1631170,2025-01-27,MIA vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Jaime Jaquez Jr,True
Jaime Jaquez Jr.,1631170,2025-01-29,MIA vs. CLE,L,7.0,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,0,0,-2,CLE,HOME,Jaime Jaquez Jr,False
Jaime Jaquez Jr.,1631170,2025-02-01,MIA @ SAS,W,23.0,4,7,0.571,0,2,0.0,2,4,0.5,3,3,6,1,1,0,2,2,10,-5,SAS,AWAY,Jaime Jaquez Jr,False
