player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jamal Cain,1631288,2024-10-23,NOP vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-10-25,NOP @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-10-27,NOP @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-10-29,NOP @ GSW,L,3.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,0,GSW,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-10-30,NOP @ GSW,L,24.0,3,4,0.75,0,1,0.0,1,2,0.5,1,1,2,1,1,1,1,4,7,0,GSW,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-11-01,NOP vs. IND,W,9.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-17,IND,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-03,NOP vs. ATL,L,18.0,4,7,0.571,3,5,0.6,3,4,0.75,2,1,3,0,0,0,0,1,14,9,ATL,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-04,NOP vs. POR,L,12.0,1,5,0.2,0,2,0.0,0,0,0.0,1,4,5,0,0,1,3,1,2,-11,POR,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-06,NOP vs. CLE,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-08,NOP @ ORL,L,9.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,-15,ORL,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-11-11,NOP vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-11-13,NOP @ OKC,L,19.0,4,5,0.8,2,3,0.667,1,1,1.0,1,3,4,1,0,0,1,1,11,-14,OKC,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-11-15,NOP vs. DEN,W,20.0,1,5,0.2,0,3,0.0,0,1,0.0,1,4,5,2,0,2,1,1,2,9,DEN,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-16,NOP vs. LAL,L,21.0,2,8,0.25,1,3,0.333,1,2,0.5,5,3,8,2,0,1,1,4,6,-8,LAL,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-11-19,NOP @ DAL,L,18.0,0,0,0.0,0,0,0.0,2,2,1.0,0,3,3,1,1,0,0,1,2,-29,DAL,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-11-20,NOP @ CLE,L,31.0,3,6,0.5,2,4,0.5,1,2,0.5,0,3,3,2,3,0,0,2,9,-8,CLE,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-11-22,NOP vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-11-25,NOP @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-11-27,NOP vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-11-29,NOP @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-12-01,NOP @ NYK,L,8.0,5,6,0.833,0,1,0.0,0,0,0.0,0,1,1,0,2,1,0,0,10,5,NYK,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-12-02,NOP @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-12-05,NOP vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-07,NOP vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-08,NOP @ SAS,L,10.0,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,1,1,1,0,1,2,-5,SAS,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-12-12,NOP vs. SAC,L,16.0,0,1,0.0,0,1,0.0,1,2,0.5,1,3,4,0,0,0,0,1,1,3,SAC,HOME,Jamal Cain,False
Jamal Cain,1631288,2024-12-15,NOP @ IND,L,8.0,0,2,0.0,0,1,0.0,0,0,0.0,2,2,4,0,0,0,0,0,0,-4,IND,AWAY,Jamal Cain,False
Jamal Cain,1631288,2024-12-19,NOP @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Jamal Cain,True
Jamal Cain,1631288,2024-12-21,NOP vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-22,NOP vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-26,NOP vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-27,NOP vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Jamal Cain,True
Jamal Cain,1631288,2024-12-30,NOP vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Jamal Cain,True
Jamal Cain,1631288,2025-01-01,NOP @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Jamal Cain,True
Jamal Cain,1631288,2025-01-03,NOP vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Jamal Cain,True
Jamal Cain,1631288,2025-01-05,NOP @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Jamal Cain,True
Jamal Cain,1631288,2025-01-07,NOP vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Jamal Cain,True
Jamal Cain,1631288,2025-01-08,NOP vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Jamal Cain,True
Jamal Cain,1631288,2025-01-10,NOP @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Jamal Cain,True
Jamal Cain,1631288,2025-01-12,NOP @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Jamal Cain,True
