player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jarace Walker,1641716,2024-10-23,IND @ DET,W,6.0,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,1,2,3,-5,DET,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-10-25,IND @ NYK,L,20.0,4,8,0.5,1,4,0.25,3,3,1.0,1,3,4,3,2,0,0,1,12,5,NYK,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-10-27,IND vs. PHI,L,4.0,1,1,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,1,3,-1,PHI,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-10-28,IND @ ORL,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0,0,ORL,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-10-30,IND vs. BOS,W,8.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,4,2,0,-1,BOS,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-01,IND @ NOP,L,14.0,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,1,1,0,0,1,5,-8,NOP,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-04,IND @ DAL,W,14.0,1,3,0.333,1,2,0.5,0,2,0.0,1,4,5,2,0,0,1,2,3,0,DAL,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-06,IND vs. ORL,W,23.0,7,7,1.0,3,3,1.0,0,0,0.0,1,5,6,0,2,1,0,1,17,8,ORL,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-08,IND @ CHA,L,18.0,2,5,0.4,0,1,0.0,1,1,1.0,0,2,2,3,0,1,1,2,5,-5,CHA,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-10,IND vs. NYK,W,27.0,2,9,0.222,2,7,0.286,0,0,0.0,0,4,4,0,2,1,0,1,6,1,NYK,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-13,IND @ ORL,L,23.0,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,2,4,0,1,2,4,-1,ORL,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-15,IND vs. MIA,L,25.0,4,6,0.667,3,3,1.0,0,0,0.0,1,6,7,4,2,1,7,2,11,10,MIA,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-17,IND vs. MIA,W,16.0,2,7,0.286,1,3,0.333,1,3,0.333,1,6,7,3,1,1,3,0,6,-3,MIA,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-18,IND @ TOR,L,25.0,2,7,0.286,2,6,0.333,0,0,0.0,0,4,4,2,1,0,2,0,6,-17,TOR,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-20,IND @ HOU,L,20.0,0,5,0.0,0,4,0.0,5,6,0.833,1,2,3,0,1,1,4,4,5,-4,HOU,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-22,IND @ MIL,L,24.0,2,4,0.5,1,2,0.5,1,2,0.5,2,4,6,2,0,1,1,2,6,-1,MIL,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-11-24,IND vs. WAS,W,20.0,1,4,0.25,1,2,0.5,0,2,0.0,0,5,5,4,3,0,2,2,3,-2,WAS,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-25,IND vs. NOP,W,18.0,1,5,0.2,0,4,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,-8,NOP,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-27,IND vs. POR,W,10.0,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,2,-19,POR,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-11-29,IND vs. DET,L,31.0,3,5,0.6,2,4,0.5,2,2,1.0,1,2,3,4,5,0,1,2,10,-11,DET,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-12-01,IND @ MEM,L,25.0,2,2,1.0,1,1,1.0,4,6,0.667,0,7,7,0,2,1,0,2,9,-14,MEM,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-03,IND @ TOR,L,26.0,0,5,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,3,3,0,-7,TOR,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-04,IND @ BKN,L,14.0,0,2,0.0,0,2,0.0,1,2,0.5,0,3,3,2,0,0,0,3,1,-2,BKN,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-06,IND @ CHI,W,24.0,3,6,0.5,1,3,0.333,0,0,0.0,1,4,5,4,1,0,0,1,7,9,CHI,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-08,IND vs. CHA,L,20.0,6,7,0.857,3,4,0.75,0,0,0.0,0,3,3,0,0,1,3,1,15,2,CHA,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-12-13,IND @ PHI,W,15.0,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,3,3,-17,PHI,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-15,IND vs. NOP,W,21.0,3,10,0.3,2,7,0.286,0,0,0.0,0,9,9,2,0,0,1,1,8,6,NOP,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-12-19,IND @ PHX,W,5.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,-4,PHX,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-22,IND @ SAC,W,19.0,4,8,0.5,1,5,0.2,0,0,0.0,0,2,2,2,1,0,1,2,9,7,SAC,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-23,IND @ GSW,W,4.0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,-1,GSW,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-26,IND vs. OKC,L,15.0,5,10,0.5,2,4,0.5,0,0,0.0,1,4,5,0,0,1,1,2,12,-16,OKC,HOME,Jarace Walker,False
Jarace Walker,1641716,2024-12-27,IND @ BOS,L,28.0,5,10,0.5,1,4,0.25,4,6,0.667,0,0,0,5,2,0,1,3,15,-22,BOS,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-29,IND @ BOS,W,25.0,4,8,0.5,3,5,0.6,1,2,0.5,0,5,5,0,0,0,1,1,12,3,BOS,AWAY,Jarace Walker,False
Jarace Walker,1641716,2024-12-31,IND vs. MIL,L,16.0,3,5,0.6,1,3,0.333,4,4,1.0,0,1,1,1,3,1,0,2,11,-2,MIL,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-02,IND @ MIA,W,13.0,3,6,0.5,3,3,1.0,3,4,0.75,0,1,1,1,1,0,0,2,12,-13,MIA,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-01-04,IND vs. PHX,W,14.0,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,1,1,0,0,1,7,-7,PHX,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-06,IND @ BKN,W,11.0,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,1,0,0,0,1,4,5,BKN,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-01-08,IND vs. CHI,W,19.0,5,7,0.714,1,2,0.5,1,3,0.333,0,2,2,3,1,1,1,2,12,-11,CHI,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-10,IND vs. GSW,W,7.0,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,1,0,-9,GSW,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-12,IND @ CLE,W,22.0,3,5,0.6,2,3,0.667,0,0,0.0,2,10,12,2,2,1,0,3,8,21,CLE,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-01-14,IND vs. CLE,L,18.0,4,8,0.5,1,4,0.25,2,2,1.0,1,4,5,1,0,1,0,4,11,-7,CLE,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-16,IND @ DET,W,22.0,4,5,0.8,0,0,0.0,0,1,0.0,0,5,5,1,1,2,3,4,8,11,DET,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-01-18,IND vs. PHI,W,9.0,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,1,2,12,PHI,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-23,IND vs. SAS,L,12.0,1,5,0.2,0,3,0.0,0,0,0.0,0,0,0,3,1,0,2,1,2,-14,SAS,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-01-25,IND @ SAS,W,5.0,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,10,SAS,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-01-29,IND vs. DET,W,21.0,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,2,0,2,2,2,3,-2,DET,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-02-01,IND vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Jarace Walker,True
Jarace Walker,1641716,2025-02-03,IND @ UTA,W,18.0,4,6,0.667,0,2,0.0,1,3,0.333,0,3,3,1,0,2,0,3,9,-1,UTA,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-02-04,IND @ POR,L,8.0,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,-6,POR,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-02-06,IND @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Jarace Walker,True
Jarace Walker,1641716,2025-02-08,IND @ LAL,L,17.0,0,5,0.0,0,3,0.0,2,2,1.0,0,3,3,0,2,0,2,1,2,-7,LAL,AWAY,Jarace Walker,False
Jarace Walker,1641716,2025-02-11,IND vs. NYK,L,9.0,1,3,0.333,0,0,0.0,1,1,1.0,0,3,3,1,0,0,2,1,3,-2,NYK,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-02-12,IND @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Jarace Walker,True
Jarace Walker,1641716,2025-02-20,IND vs. MEM,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-4,MEM,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-02-23,IND vs. LAC,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,1,LAC,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-02-24,IND vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Jarace Walker,True
Jarace Walker,1641716,2025-02-26,IND vs. TOR,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,1,TOR,HOME,Jarace Walker,False
Jarace Walker,1641716,2025-02-28,IND @ MIA,L,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,MIA,AWAY,Jarace Walker,False
