player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jett Howard,1641724,2024-10-23,ORL @ MIA,W,5.0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-13,MIA,AWAY,Jett Howard,False
Jett Howard,1641724,2024-10-25,ORL vs. BKN,W,2.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1,BKN,HOME,Jett Howard,False
Jett Howard,1641724,2024-10-26,ORL @ MEM,L,12.0,4,6,0.667,3,5,0.6,0,0,0.0,0,2,2,0,0,0,0,1,11,-1,MEM,AWAY,Jett Howard,False
Jett Howard,1641724,2024-10-28,ORL vs. IND,W,8.0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,2,0,-5,IND,HOME,Jett Howard,False
Jett Howard,1641724,2024-10-30,ORL @ CHI,L,11.0,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,1,0,1,3,6,CHI,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-01,ORL @ CLE,L,17.0,3,7,0.429,3,6,0.5,0,0,0.0,0,3,3,0,0,1,0,0,9,0,CLE,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-03,ORL @ DAL,L,22.0,4,12,0.333,2,8,0.25,2,2,1.0,0,1,1,0,1,0,2,1,12,4,DAL,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-04,ORL @ OKC,L,11.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-9,OKC,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-06,ORL @ IND,L,3.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3,IND,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-08,ORL vs. NOP,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,3,NOP,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-10,ORL vs. WAS,W,5.0,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0,0,0,0,0,0,9,4,WAS,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-12,ORL vs. CHA,W,6.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,2,3,-3,CHA,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-13,ORL vs. IND,W,14.0,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,2,0,1,1,2,6,-6,IND,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-15,ORL vs. PHI,W,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,1,0,1,3,-1,PHI,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-18,ORL @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Jett Howard,True
Jett Howard,1641724,2024-11-20,ORL @ LAC,L,11.0,2,5,0.4,0,3,0.0,0,0,0.0,0,3,3,1,0,1,0,2,4,3,LAC,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-21,ORL @ LAL,W,11.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,2,0,0,1,1,2,-7,LAL,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-23,ORL vs. DET,W,15.0,4,8,0.5,2,5,0.4,0,0,0.0,3,1,4,0,0,0,0,1,10,3,DET,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-25,ORL @ CHA,W,23.0,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,2,0,0,0,1,0,16,CHA,AWAY,Jett Howard,False
Jett Howard,1641724,2024-11-27,ORL vs. CHI,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,CHI,HOME,Jett Howard,False
Jett Howard,1641724,2024-11-29,ORL @ BKN,W,16.0,3,6,0.5,2,4,0.5,0,0,0.0,2,0,2,0,1,0,0,0,8,5,BKN,AWAY,Jett Howard,False
Jett Howard,1641724,2024-12-01,ORL @ BKN,W,10.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-3,BKN,AWAY,Jett Howard,False
Jett Howard,1641724,2024-12-03,ORL @ NYK,L,11.0,0,6,0.0,0,5,0.0,0,0,0.0,2,1,3,1,1,0,1,0,0,3,NYK,AWAY,Jett Howard,False
Jett Howard,1641724,2024-12-04,ORL @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Jett Howard,True
Jett Howard,1641724,2024-12-06,ORL @ PHI,L,16.0,2,5,0.4,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,0,5,-5,PHI,AWAY,Jett Howard,False
Jett Howard,1641724,2024-12-08,ORL vs. PHX,W,15.0,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,2,2,0,0,2,6,8,PHX,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-10,ORL @ MIL,L,13.0,3,7,0.429,2,5,0.4,2,3,0.667,0,0,0,1,0,0,0,1,10,-1,MIL,AWAY,Jett Howard,False
Jett Howard,1641724,2024-12-15,ORL vs. NYK,L,5.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1,NYK,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-19,ORL vs. OKC,L,9.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-1,OKC,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-21,ORL vs. MIA,W,13.0,3,9,0.333,3,6,0.5,0,0,0.0,1,3,4,1,0,0,3,1,9,6,MIA,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-23,ORL vs. BOS,W,5.0,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,-1,BOS,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-26,ORL vs. MIA,L,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,MIA,HOME,Jett Howard,False
Jett Howard,1641724,2024-12-27,ORL vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Jett Howard,True
Jett Howard,1641724,2024-12-29,ORL vs. BKN,W,12.0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-18,BKN,HOME,Jett Howard,False
Jett Howard,1641724,2025-01-01,ORL @ DET,L,15.0,3,4,0.75,0,1,0.0,3,4,0.75,0,1,1,0,0,0,0,1,9,-1,DET,AWAY,Jett Howard,False
Jett Howard,1641724,2025-01-03,ORL @ TOR,W,10.0,1,5,0.2,1,4,0.25,2,2,1.0,0,0,0,1,0,0,1,2,5,-7,TOR,AWAY,Jett Howard,False
Jett Howard,1641724,2025-01-05,ORL vs. UTA,L,25.0,7,16,0.438,4,10,0.4,3,3,1.0,2,0,2,4,0,0,1,0,21,-7,UTA,HOME,Jett Howard,False
Jett Howard,1641724,2025-01-06,ORL @ NYK,W,16.0,4,7,0.571,1,3,0.333,0,0,0.0,0,1,1,0,0,0,1,3,9,11,NYK,AWAY,Jett Howard,False
Jett Howard,1641724,2025-01-09,ORL vs. MIN,L,23.0,4,11,0.364,2,9,0.222,0,0,0.0,2,6,8,4,0,0,2,3,10,-5,MIN,HOME,Jett Howard,False
Jett Howard,1641724,2025-01-10,ORL vs. MIL,L,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-2,MIL,HOME,Jett Howard,False
Jett Howard,1641724,2025-01-12,ORL vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Jett Howard,True
