player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jonathan Isaac,1628371,2024-10-23,ORL @ MIA,W,11.0,1,4,0.25,1,2,0.5,0,2,0.0,2,1,3,0,1,2,0,1,3,-10,MIA,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-10-25,ORL vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-10-26,ORL @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-10-28,ORL vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-10-30,ORL @ CHI,L,14.0,2,5,0.4,2,4,0.5,2,2,1.0,2,3,5,1,1,0,1,0,8,-2,CHI,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-01,ORL @ CLE,L,17.0,2,6,0.333,1,4,0.25,0,0,0.0,2,2,4,0,2,1,1,1,5,-10,CLE,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-03,ORL @ DAL,L,16.0,1,6,0.167,0,4,0.0,1,2,0.5,2,3,5,1,1,1,0,3,3,-16,DAL,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-04,ORL @ OKC,L,11.0,1,3,0.333,0,2,0.0,2,2,1.0,1,0,1,0,0,0,1,1,4,-21,OKC,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-06,ORL @ IND,L,15.0,4,4,1.0,0,0,0.0,1,2,0.5,2,4,6,0,0,1,1,0,9,1,IND,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-08,ORL vs. NOP,W,9.0,4,4,1.0,0,0,0.0,2,2,1.0,2,0,2,0,0,0,0,0,10,8,NOP,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-10,ORL vs. WAS,W,19.0,2,7,0.286,1,4,0.25,0,0,0.0,2,1,3,0,1,0,0,1,5,5,WAS,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-12,ORL vs. CHA,W,14.0,3,4,0.75,1,2,0.5,0,0,0.0,1,3,4,1,2,1,0,1,7,12,CHA,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-13,ORL vs. IND,W,22.0,3,5,0.6,2,3,0.667,0,0,0.0,1,10,11,1,0,3,0,3,8,0,IND,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-15,ORL vs. PHI,W,25.0,4,6,0.667,1,3,0.333,2,4,0.5,4,5,9,0,1,1,1,3,11,21,PHI,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-18,ORL @ PHX,W,20.0,3,6,0.5,0,2,0.0,1,2,0.5,2,1,3,0,1,3,0,3,7,4,PHX,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-20,ORL @ LAC,L,22.0,2,5,0.4,2,4,0.5,0,0,0.0,1,2,3,0,0,3,1,0,6,-3,LAC,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-21,ORL @ LAL,W,18.0,1,4,0.25,0,2,0.0,0,0,0.0,1,5,6,0,0,1,1,2,2,-7,LAL,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-23,ORL vs. DET,W,23.0,1,6,0.167,0,2,0.0,3,4,0.75,3,9,12,0,2,3,0,1,5,11,DET,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-25,ORL @ CHA,W,22.0,4,14,0.286,3,10,0.3,0,0,0.0,3,3,6,0,1,2,0,4,11,5,CHA,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-27,ORL vs. CHI,W,22.0,1,5,0.2,0,2,0.0,2,2,1.0,1,5,6,1,1,3,0,0,4,11,CHI,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-11-29,ORL @ BKN,W,19.0,2,6,0.333,1,3,0.333,3,4,0.75,0,4,4,0,2,1,0,1,8,-6,BKN,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-01,ORL @ BKN,W,8.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,4,2,-6,BKN,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-03,ORL @ NYK,L,13.0,2,4,0.5,0,2,0.0,0,0,0.0,1,0,1,0,0,1,0,2,4,-12,NYK,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-04,ORL @ PHI,W,15.0,6,8,0.75,2,3,0.667,0,0,0.0,4,0,4,0,2,2,0,0,14,8,PHI,AWAY,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-06,ORL @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-12-08,ORL vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-12-10,ORL @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Jonathan Isaac,True
Jonathan Isaac,1628371,2024-12-15,ORL vs. NYK,L,15.0,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,0,1,2,0,1,3,-12,NYK,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-19,ORL vs. OKC,L,17.0,1,4,0.25,0,2,0.0,1,1,1.0,1,2,3,0,1,1,1,1,3,-12,OKC,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-21,ORL vs. MIA,W,17.0,0,4,0.0,0,3,0.0,0,2,0.0,1,4,5,1,1,1,0,2,0,8,MIA,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-23,ORL vs. BOS,W,14.0,2,8,0.25,1,4,0.25,2,2,1.0,2,3,5,1,1,0,1,1,7,0,BOS,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-26,ORL vs. MIA,L,13.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,-12,MIA,HOME,Jonathan Isaac,False
Jonathan Isaac,1628371,2024-12-27,ORL vs. NYK,L,17.0,3,9,0.333,0,4,0.0,1,1,1.0,2,3,5,1,1,0,1,3,7,-16,NYK,HOME,Jonathan Isaac,False
