player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Jordan Hawkins,1641722,2024-10-23,NOP vs. CHI,W,28.0,4,9,0.444,3,6,0.5,2,2,1.0,0,7,7,1,0,1,2,1,13,-1,CHI,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-10-25,NOP @ POR,W,29.0,8,12,0.667,4,7,0.571,4,4,1.0,1,4,5,0,0,0,0,1,24,1,POR,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-10-27,NOP @ POR,L,34.0,6,13,0.462,2,4,0.5,3,3,1.0,1,6,7,3,0,0,2,0,17,-19,POR,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-10-29,NOP @ GSW,L,26.0,0,6,0.0,0,1,0.0,4,4,1.0,0,2,2,1,1,0,2,3,4,-13,GSW,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-10-30,NOP @ GSW,L,39.0,9,21,0.429,4,14,0.286,1,2,0.5,1,3,4,1,0,0,2,3,23,-14,GSW,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-01,NOP vs. IND,W,37.0,7,17,0.412,2,8,0.25,7,8,0.875,0,4,4,1,0,0,0,1,23,8,IND,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-03,NOP vs. ATL,L,31.0,7,18,0.389,3,8,0.375,2,2,1.0,1,2,3,3,0,1,4,2,19,-21,ATL,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-04,NOP vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-06,NOP vs. CLE,L,18.0,1,7,0.143,1,4,0.25,4,4,1.0,0,4,4,1,0,1,1,0,7,-10,CLE,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-08,NOP @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-11,NOP vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-13,NOP @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-15,NOP vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-16,NOP vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-19,NOP @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-20,NOP @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-11-22,NOP vs. GSW,L,20.0,2,9,0.222,1,5,0.2,1,2,0.5,1,0,1,0,1,1,0,1,6,-1,GSW,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-25,NOP @ IND,L,18.0,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,2,1,0,1,0,2,-1,IND,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-27,NOP vs. TOR,L,22.0,2,9,0.222,2,6,0.333,0,0,0.0,0,3,3,1,0,0,0,0,6,-12,TOR,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-11-29,NOP @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-01,NOP @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-02,NOP @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-05,NOP vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-07,NOP vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-08,NOP @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-12,NOP vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-15,NOP @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Jordan Hawkins,True
Jordan Hawkins,1641722,2024-12-19,NOP @ HOU,L,17.0,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,0,0,1,0,0,5,-7,HOU,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-12-21,NOP vs. NYK,L,21.0,3,8,0.375,3,6,0.5,0,0,0.0,1,1,2,1,0,0,0,0,9,-5,NYK,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-12-22,NOP vs. DEN,L,34.0,9,18,0.5,5,13,0.385,2,2,1.0,0,1,1,1,0,3,1,0,25,3,DEN,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-12-26,NOP vs. HOU,L,18.0,1,8,0.125,0,6,0.0,3,5,0.6,0,0,0,1,2,0,0,0,5,-23,HOU,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-12-27,NOP vs. MEM,L,15.0,2,9,0.222,1,4,0.25,4,4,1.0,0,2,2,0,2,1,1,1,9,-3,MEM,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2024-12-30,NOP vs. LAC,L,16.0,1,5,0.2,1,4,0.25,0,0,0.0,0,2,2,1,0,0,1,2,3,-7,LAC,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-01,NOP @ MIA,L,20.0,3,9,0.333,2,5,0.4,0,0,0.0,1,3,4,1,1,2,0,0,8,-7,MIA,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-03,NOP vs. WAS,W,17.0,1,6,0.167,1,4,0.25,1,2,0.5,0,2,2,2,0,1,0,1,4,-6,WAS,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-05,NOP @ WAS,W,12.0,2,10,0.2,2,7,0.286,0,0,0.0,0,2,2,0,0,0,1,1,6,17,WAS,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-07,NOP vs. MIN,L,10.0,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,0,3,1,MIN,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-08,NOP vs. POR,L,25.0,4,16,0.25,2,9,0.222,0,0,0.0,1,0,1,1,0,0,3,0,10,-11,POR,HOME,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-10,NOP @ PHI,W,31.0,7,15,0.467,5,11,0.455,2,3,0.667,1,1,2,2,2,0,0,0,21,-6,PHI,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-12,NOP @ BOS,L,13.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-10,BOS,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-14,NOP @ CHI,W,20.0,4,10,0.4,1,6,0.167,0,0,0.0,0,1,1,0,0,1,1,0,9,15,CHI,AWAY,Jordan Hawkins,False
Jordan Hawkins,1641722,2025-01-15,NOP vs. DAL,W,21.0,5,9,0.556,2,5,0.4,0,0,0.0,1,2,3,2,3,0,1,2,12,-9,DAL,HOME,Jordan Hawkins,False
