player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Julian Strawther,1631124,2024-10-24,DEN vs. OKC,L,17.0,3,6,0.5,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,2,6,-23,OKC,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-10-26,DEN vs. LAC,L,16.0,3,5,0.6,2,2,1.0,0,0,0.0,1,1,2,3,2,0,1,5,8,-12,LAC,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-10-28,DEN @ TOR,W,22.0,3,3,1.0,2,2,1.0,1,2,0.5,0,2,2,0,0,0,1,3,9,1,TOR,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-10-29,DEN @ BKN,W,22.0,3,6,0.5,1,3,0.333,0,0,0.0,0,4,4,0,1,0,1,0,7,-3,BKN,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-01,DEN @ MIN,L,16.0,1,4,0.25,0,2,0.0,2,3,0.667,1,0,1,1,1,0,1,5,4,-13,MIN,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-02,DEN vs. UTA,W,19.0,7,11,0.636,3,6,0.5,2,2,1.0,1,1,2,0,2,0,1,5,19,12,UTA,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-04,DEN vs. TOR,W,26.0,4,10,0.4,2,4,0.5,3,4,0.75,0,2,2,3,2,1,1,2,13,-1,TOR,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-06,DEN vs. OKC,W,27.0,3,11,0.273,1,7,0.143,2,2,1.0,2,3,5,6,0,0,2,4,9,12,OKC,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-08,DEN vs. MIA,W,24.0,3,8,0.375,0,3,0.0,0,0,0.0,0,1,1,0,0,1,2,1,6,-12,MIA,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-10,DEN vs. DAL,W,23.0,4,9,0.444,2,5,0.4,2,3,0.667,0,1,1,1,1,2,1,2,12,-7,DAL,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-15,DEN @ NOP,L,20.0,1,6,0.167,1,4,0.25,2,2,1.0,0,3,3,0,0,0,1,1,5,-11,NOP,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-17,DEN @ MEM,L,25.0,6,13,0.462,4,7,0.571,3,4,0.75,0,4,4,3,1,1,0,2,19,-11,MEM,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-19,DEN @ MEM,W,20.0,2,7,0.286,1,4,0.25,1,2,0.5,0,5,5,0,2,1,0,3,6,-6,MEM,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-22,DEN vs. DAL,L,17.0,0,2,0.0,0,0,0.0,3,3,1.0,0,0,0,0,1,0,0,3,3,-1,DAL,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-23,DEN @ LAL,W,19.0,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,0,0,0,3,6,-12,LAL,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-11-25,DEN vs. NYK,L,23.0,1,4,0.25,0,1,0.0,2,2,1.0,0,2,2,1,0,0,1,3,4,-20,NYK,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-11-27,DEN @ UTA,W,15.0,2,4,0.5,2,4,0.5,3,4,0.75,0,0,0,1,0,1,1,4,9,2,UTA,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-01,DEN @ LAC,L,19.0,6,7,0.857,2,3,0.667,1,1,1.0,1,1,2,2,0,0,1,2,15,-2,LAC,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-03,DEN vs. GSW,W,20.0,2,7,0.286,1,4,0.25,0,0,0.0,0,1,1,3,1,0,1,1,5,-4,GSW,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-12-05,DEN @ CLE,L,12.0,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-14,CLE,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-07,DEN @ WAS,L,33.0,7,13,0.538,2,5,0.4,2,2,1.0,1,2,3,2,3,2,1,3,18,4,WAS,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-08,DEN @ ATL,W,22.0,5,6,0.833,3,4,0.75,0,0,0.0,0,2,2,3,0,0,3,3,13,-2,ATL,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-13,DEN vs. LAC,W,26.0,3,6,0.5,0,2,0.0,6,7,0.857,0,4,4,2,0,0,1,1,12,7,LAC,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-12-16,DEN @ SAC,W,23.0,6,12,0.5,1,4,0.25,0,0,0.0,0,4,4,1,0,1,0,1,13,-11,SAC,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-19,DEN @ POR,L,10.0,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,2,6,-17,POR,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-22,DEN @ NOP,W,20.0,4,8,0.5,1,5,0.2,4,4,1.0,0,1,1,1,0,1,0,2,13,20,NOP,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-23,DEN vs. PHX,W,18.0,3,9,0.333,3,7,0.429,0,0,0.0,1,1,2,1,1,0,0,1,9,7,PHX,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-12-25,DEN @ PHX,L,18.0,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,3,5,-8,PHX,AWAY,Julian Strawther,False
Julian Strawther,1631124,2024-12-27,DEN vs. CLE,L,23.0,4,7,0.571,1,2,0.5,2,2,1.0,0,2,2,0,0,0,2,0,11,6,CLE,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-12-28,DEN vs. DET,W,23.0,3,9,0.333,0,4,0.0,0,0,0.0,0,3,3,1,1,0,1,3,6,-5,DET,HOME,Julian Strawther,False
Julian Strawther,1631124,2024-12-30,DEN @ UTA,W,18.0,1,5,0.2,0,3,0.0,2,2,1.0,1,1,2,1,1,0,1,2,4,5,UTA,AWAY,Julian Strawther,False
Julian Strawther,1631124,2025-01-01,DEN vs. ATL,W,30.0,6,12,0.5,1,5,0.2,0,0,0.0,0,6,6,2,2,1,1,2,13,4,ATL,HOME,Julian Strawther,False
Julian Strawther,1631124,2025-01-03,DEN vs. SAS,L,23.0,4,7,0.571,3,6,0.5,0,0,0.0,0,1,1,1,1,0,0,2,11,1,SAS,HOME,Julian Strawther,False
Julian Strawther,1631124,2025-01-04,DEN @ SAS,W,26.0,1,9,0.111,1,5,0.2,2,2,1.0,0,5,5,2,0,0,0,2,5,7,SAS,AWAY,Julian Strawther,False
