player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
KJ Martin,1630231,2024-10-23,PHI vs. MIL,L,15.0,1,3,0.333,0,0,0.0,1,2,0.5,2,3,5,0,0,0,0,3,3,-12,MIL,HOME,Kj Martin,False
KJ Martin,1630231,2024-10-25,PHI @ TOR,L,24.0,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,3,1,1,0,4,2,-3,TOR,AWAY,Kj Martin,False
KJ Martin,1630231,2024-10-27,PHI @ IND,W,22.0,3,3,1.0,1,1,1.0,1,2,0.5,2,1,3,1,1,0,0,4,8,8,IND,AWAY,Kj Martin,False
KJ Martin,1630231,2024-10-30,PHI vs. DET,L,22.0,2,4,0.5,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,2,6,7,DET,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-02,PHI vs. MEM,L,20.0,1,2,0.5,0,0,0.0,2,2,1.0,0,3,3,1,0,3,0,3,4,3,MEM,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-04,PHI @ PHX,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,PHX,AWAY,Kj Martin,False
KJ Martin,1630231,2024-11-06,PHI @ LAC,L,18.0,5,6,0.833,0,0,0.0,0,0,0.0,0,4,4,0,1,0,0,1,10,-1,LAC,AWAY,Kj Martin,False
KJ Martin,1630231,2024-11-08,PHI @ LAL,L,17.0,4,5,0.8,1,1,1.0,2,2,1.0,0,2,2,0,0,1,0,1,11,-15,LAL,AWAY,Kj Martin,False
KJ Martin,1630231,2024-11-10,PHI vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,KJ Martin,True
KJ Martin,1630231,2024-11-12,PHI vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,KJ Martin,True
KJ Martin,1630231,2024-11-13,PHI vs. CLE,L,15.0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,4,0,4,CLE,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-15,PHI @ ORL,L,1.0,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,3,1,ORL,AWAY,Kj Martin,False
KJ Martin,1630231,2024-11-18,PHI @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,KJ Martin,True
KJ Martin,1630231,2024-11-20,PHI @ MEM,L,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,2,0,13,MEM,AWAY,Kj Martin,False
KJ Martin,1630231,2024-11-22,PHI vs. BKN,W,18.0,0,1,0.0,0,1,0.0,2,2,1.0,1,3,4,1,0,1,1,1,2,-5,BKN,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-24,PHI vs. LAC,L,26.0,1,3,0.333,0,0,0.0,2,2,1.0,2,2,4,3,0,0,1,2,4,-6,LAC,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-27,PHI vs. HOU,L,22.0,3,6,0.5,0,0,0.0,2,2,1.0,1,1,2,1,1,2,0,6,8,-5,HOU,HOME,Kj Martin,False
KJ Martin,1630231,2024-11-30,PHI @ DET,W,27.0,7,8,0.875,1,2,0.5,4,5,0.8,3,3,6,3,0,3,1,3,19,7,DET,AWAY,Kj Martin,False
KJ Martin,1630231,2024-12-03,PHI @ CHA,W,22.0,3,8,0.375,1,3,0.333,2,2,1.0,0,2,2,1,1,0,2,3,9,6,CHA,AWAY,Kj Martin,False
KJ Martin,1630231,2024-12-04,PHI vs. ORL,L,29.0,5,9,0.556,0,2,0.0,1,1,1.0,2,2,4,0,2,0,1,2,11,-6,ORL,HOME,Kj Martin,False
KJ Martin,1630231,2024-12-06,PHI vs. ORL,W,32.0,9,10,0.9,1,2,0.5,1,1,1.0,2,1,3,2,0,0,0,2,20,7,ORL,HOME,Kj Martin,False
KJ Martin,1630231,2024-12-08,PHI @ CHI,W,18.0,3,3,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,3,6,-6,CHI,AWAY,Kj Martin,False
KJ Martin,1630231,2024-12-13,PHI vs. IND,L,24.0,5,7,0.714,2,2,1.0,1,2,0.5,1,2,3,0,0,0,0,2,13,13,IND,HOME,Kj Martin,False
KJ Martin,1630231,2024-12-16,PHI @ CHA,W,21.0,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,1,0,2,5,2,1,CHA,AWAY,Kj Martin,False
KJ Martin,1630231,2024-12-20,PHI vs. CHA,W,28.0,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,2,2,1,1,2,20,CHA,HOME,Kj Martin,False
KJ Martin,1630231,2024-12-21,PHI @ CLE,L,27.0,3,5,0.6,1,3,0.333,0,0,0.0,1,6,7,1,0,0,2,4,7,-6,CLE,AWAY,Kj Martin,False
KJ Martin,1630231,2024-12-23,PHI vs. SAS,W,20.0,2,7,0.286,0,1,0.0,0,0,0.0,1,5,6,1,1,0,0,4,4,2,SAS,HOME,Kj Martin,False
KJ Martin,1630231,2024-12-25,PHI @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,KJ Martin,True
KJ Martin,1630231,2024-12-28,PHI @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,KJ Martin,True
KJ Martin,1630231,2024-12-30,PHI @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-01,PHI @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-02,PHI @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-04,PHI @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-06,PHI vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-08,PHI vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-10,PHI vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-12,PHI @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-14,PHI vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-15,PHI vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-18,PHI @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-19,PHI @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-21,PHI @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-24,PHI vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-25,PHI @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,KJ Martin,True
KJ Martin,1630231,2025-01-28,PHI vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-29,PHI vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,KJ Martin,True
KJ Martin,1630231,2025-01-31,PHI vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-02,PHI vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-04,PHI vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-05,PHI vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-07,PHI @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,KJ Martin,True
KJ Martin,1630231,2025-02-09,PHI @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,KJ Martin,True
KJ Martin,1630231,2025-02-11,PHI vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-12,PHI @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,KJ Martin,True
KJ Martin,1630231,2025-02-20,PHI vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,KJ Martin,True
KJ Martin,1630231,2025-02-21,UTA vs. OKC,L,16.0,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,1,1,1,1,2,-18,OKC,HOME,Kj Martin,False
KJ Martin,1630231,2025-02-22,UTA vs. HOU,W,29.0,5,9,0.556,1,5,0.2,0,2,0.0,0,4,4,1,0,0,0,3,11,6,HOU,HOME,Kj Martin,False
KJ Martin,1630231,2025-02-24,UTA vs. POR,L,28.0,4,8,0.5,0,2,0.0,1,1,1.0,0,5,5,2,1,1,1,3,9,-21,POR,HOME,Kj Martin,False
KJ Martin,1630231,2025-02-26,UTA vs. SAC,L,34.0,6,10,0.6,2,4,0.5,2,2,1.0,1,4,5,4,0,0,0,0,16,5,SAC,HOME,Kj Martin,False
KJ Martin,1630231,2025-02-28,UTA vs. MIN,W,22.0,5,5,1.0,0,0,0.0,1,2,0.5,1,3,4,0,1,1,1,0,11,-8,MIN,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-02,UTA vs. NOP,L,26.0,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,1,1,0,3,3,5,-9,NOP,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-03,UTA vs. DET,L,18.0,2,2,1.0,0,0,0.0,1,3,0.333,1,1,2,0,0,0,1,4,5,-11,DET,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-05,UTA @ WAS,L,28.0,2,6,0.333,1,2,0.5,0,0,0.0,1,4,5,1,0,0,0,0,5,-6,WAS,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-07,UTA @ TOR,L,22.0,2,5,0.4,0,0,0.0,1,1,1.0,0,3,3,1,0,1,1,3,5,-15,TOR,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-09,UTA @ PHI,L,36.0,5,8,0.625,1,2,0.5,3,3,1.0,2,5,7,3,0,2,0,5,14,5,PHI,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-10,UTA @ BOS,L,14.0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,2,0,-8,BOS,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-12,UTA @ MEM,L,12.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-11,MEM,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-14,UTA vs. TOR,L,21.0,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,3,1,0,0,4,2,-29,TOR,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-16,UTA @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,KJ Martin,True
KJ Martin,1630231,2025-03-17,UTA vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,KJ Martin,True
KJ Martin,1630231,2025-03-19,UTA vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,KJ Martin,True
KJ Martin,1630231,2025-03-21,UTA vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,KJ Martin,True
KJ Martin,1630231,2025-03-23,UTA vs. CLE,L,19.0,2,6,0.333,0,2,0.0,2,2,1.0,0,3,3,3,0,0,0,4,6,-1,CLE,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-25,UTA vs. MEM,L,24.0,2,5,0.4,0,2,0.0,1,1,1.0,0,2,2,1,0,0,0,2,5,-13,MEM,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-27,UTA vs. HOU,L,18.0,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,6,1,HOU,HOME,Kj Martin,False
KJ Martin,1630231,2025-03-28,UTA @ DEN,L,16.0,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,-20,DEN,AWAY,Kj Martin,False
KJ Martin,1630231,2025-03-31,UTA @ CHA,L,29.0,2,8,0.25,1,6,0.167,0,0,0.0,0,2,2,2,1,0,1,1,5,-13,CHA,AWAY,Kj Martin,False
KJ Martin,1630231,2025-04-02,UTA @ HOU,L,21.0,6,8,0.75,0,1,0.0,1,1,1.0,1,2,3,2,0,0,1,1,13,-4,HOU,AWAY,Kj Martin,False
KJ Martin,1630231,2025-04-04,UTA @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,KJ Martin,True
KJ Martin,1630231,2025-04-06,UTA @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,KJ Martin,True
KJ Martin,1630231,2025-04-09,UTA vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,KJ Martin,True
KJ Martin,1630231,2025-04-11,UTA vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,KJ Martin,True
