player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Keldon Johnson,1629640,2024-10-24,SAS @ DAL,L,25.0,3,9,0.333,1,3,0.333,0,0,0.0,0,4,4,2,0,0,2,0,7,-12,DAL,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-10-26,SAS vs. HOU,W,29.0,5,11,0.455,1,3,0.333,5,6,0.833,1,7,8,0,1,0,0,2,16,4,HOU,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-10-28,SAS vs. HOU,L,26.0,3,11,0.273,0,5,0.0,0,1,0.0,1,4,5,0,0,0,0,2,6,-3,HOU,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-10-30,SAS @ OKC,L,29.0,4,11,0.364,1,5,0.2,0,0,0.0,1,6,7,2,2,0,3,1,9,-5,OKC,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-10-31,SAS @ UTA,W,28.0,3,10,0.3,1,6,0.167,6,7,0.857,2,2,4,0,1,0,2,2,13,6,UTA,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-02,SAS vs. MIN,W,29.0,10,17,0.588,3,8,0.375,2,2,1.0,2,6,8,0,2,0,0,1,25,10,MIN,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-04,SAS @ LAC,L,28.0,5,8,0.625,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,2,10,-17,LAC,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-06,SAS @ HOU,L,19.0,4,6,0.667,0,0,0.0,2,2,1.0,2,2,4,1,1,1,0,1,10,-18,HOU,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-07,SAS vs. POR,W,31.0,6,13,0.462,2,5,0.4,3,4,0.75,2,9,11,3,0,0,0,4,17,17,POR,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-09,SAS vs. UTA,L,30.0,4,10,0.4,1,6,0.167,5,6,0.833,1,3,4,5,2,2,1,3,14,-18,UTA,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-11,SAS vs. SAC,W,25.0,5,9,0.556,1,2,0.5,0,0,0.0,0,3,3,1,0,0,2,1,11,-4,SAC,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-13,SAS vs. WAS,W,23.0,3,7,0.429,1,2,0.5,1,4,0.25,3,3,6,3,0,1,0,3,8,-4,WAS,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-15,SAS vs. LAL,L,27.0,5,10,0.5,1,4,0.25,1,1,1.0,0,4,4,1,1,0,1,3,12,-15,LAL,HOME,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-16,SAS @ DAL,L,21.0,3,11,0.273,0,2,0.0,2,2,1.0,1,4,5,2,4,0,0,1,8,-7,DAL,AWAY,Keldon Johnson,False
Keldon Johnson,1629640,2024-11-19,SAS vs. OKC,W,29.0,7,15,0.467,6,12,0.5,2,2,1.0,1,4,5,4,0,0,0,2,22,4,OKC,HOME,Keldon Johnson,False
