player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Kevin Huerter,1628989,2024-10-24,SAC vs. MIN,L,20.0,1,4,0.25,0,3,0.0,0,0,0.0,0,4,4,0,0,0,0,2,2,9,MIN,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-10-26,SAC @ LAL,L,26.0,5,9,0.556,4,7,0.571,0,0,0.0,0,2,2,1,2,0,1,2,14,-29,LAL,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-10-28,SAC vs. POR,W,33.0,7,12,0.583,4,9,0.444,0,0,0.0,0,1,1,4,0,3,0,4,18,12,POR,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-10-29,SAC @ UTA,W,27.0,6,9,0.667,2,5,0.4,0,0,0.0,1,4,5,0,2,1,0,1,14,6,UTA,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-01,SAC @ ATL,W,24.0,4,13,0.308,2,8,0.25,0,0,0.0,1,1,2,4,1,0,1,3,10,-10,ATL,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-02,SAC @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Kevin Huerter,True
Kevin Huerter,1628989,2024-11-04,SAC @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Kevin Huerter,True
Kevin Huerter,1628989,2024-11-06,SAC vs. TOR,W,24.0,4,7,0.571,1,4,0.25,2,2,1.0,1,3,4,2,0,0,2,4,11,-2,TOR,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-08,SAC vs. LAC,L,20.0,2,5,0.4,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,2,4,-11,LAC,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-10,SAC @ PHX,W,35.0,6,12,0.5,5,9,0.556,0,0,0.0,1,6,7,4,3,1,2,6,17,-1,PHX,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-11,SAC @ SAS,L,24.0,1,7,0.143,0,5,0.0,0,0,0.0,0,3,3,3,3,0,1,0,2,-18,SAS,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-13,SAC vs. PHX,W,37.0,9,16,0.563,2,6,0.333,2,5,0.4,1,5,6,5,3,0,1,3,22,19,PHX,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-15,SAC vs. MIN,L,31.0,2,7,0.286,0,3,0.0,0,0,0.0,0,6,6,4,0,1,1,2,4,-21,MIN,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-16,SAC vs. UTA,W,34.0,6,14,0.429,5,12,0.417,1,2,0.5,0,5,5,2,1,0,3,4,18,0,UTA,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-18,SAC vs. ATL,L,39.0,4,15,0.267,1,10,0.1,0,0,0.0,0,5,5,3,3,0,2,3,9,-15,ATL,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-22,SAC @ LAC,L,29.0,0,5,0.0,0,4,0.0,0,0,0.0,0,3,3,1,0,2,1,0,0,-3,LAC,AWAY,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-24,SAC vs. BKN,L,32.0,4,8,0.5,1,5,0.2,2,2,1.0,0,3,3,0,0,2,1,4,11,-4,BKN,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-25,SAC vs. OKC,L,10.0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-9,OKC,HOME,Kevin Huerter,False
Kevin Huerter,1628989,2024-11-27,SAC @ MIN,W,14.0,1,6,0.167,1,5,0.2,0,0,0.0,0,2,2,1,0,0,3,0,3,9,MIN,AWAY,Kevin Huerter,False
