player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Kevin Love,201567,2024-10-23,MIA vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Kevin Love,True
Kevin Love,201567,2024-10-26,MIA @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Kevin Love,True
Kevin Love,201567,2024-10-28,MIA vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Kevin Love,True
Kevin Love,201567,2024-10-30,MIA vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Kevin Love,True
Kevin Love,201567,2024-11-02,MIA @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Kevin Love,True
Kevin Love,201567,2024-11-04,MIA vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Kevin Love,True
Kevin Love,201567,2024-11-06,MIA @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Kevin Love,True
Kevin Love,201567,2024-11-08,MIA @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Kevin Love,True
Kevin Love,201567,2024-11-10,MIA @ MIN,W,13.0,2,7,0.286,1,4,0.25,1,1,1.0,2,4,6,2,2,0,0,0,6,10,MIN,AWAY,Kevin Love,False
Kevin Love,201567,2024-11-12,MIA @ DET,L,10.0,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0,0,0,0,0,3,-6,DET,AWAY,Kevin Love,False
Kevin Love,201567,2024-11-15,MIA @ IND,W,12.0,6,8,0.75,3,4,0.75,0,0,0.0,1,6,7,2,4,0,0,2,15,16,IND,AWAY,Kevin Love,False
Kevin Love,201567,2024-11-17,MIA @ IND,L,12.0,3,6,0.5,2,3,0.667,0,0,0.0,0,6,6,0,0,0,1,0,8,-12,IND,AWAY,Kevin Love,False
Kevin Love,201567,2024-11-18,MIA vs. PHI,W,15.0,1,6,0.167,1,3,0.333,0,0,0.0,1,6,7,1,2,0,1,0,3,6,PHI,HOME,Kevin Love,False
Kevin Love,201567,2024-11-24,MIA vs. DAL,W,19.0,3,10,0.3,3,7,0.429,0,2,0.0,2,9,11,1,1,1,2,2,9,10,DAL,HOME,Kevin Love,False
