player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Kobe Bufkin,1641723,2024-10-23,ATL vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-10-25,ATL vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-10-27,ATL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-10-28,ATL vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-10-30,ATL @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-01,ATL vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-03,ATL @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-04,ATL vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-06,ATL vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-08,ATL @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-09,ATL vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-12,ATL @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-15,ATL vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-17,ATL @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-11-18,ATL @ SAC,W,12.0,1,7,0.143,1,5,0.2,2,2,1.0,0,1,1,0,0,0,0,3,5,-14,SAC,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-20,ATL @ GSW,L,18.0,2,5,0.4,1,4,0.25,1,3,0.333,0,3,3,1,0,2,2,0,6,-4,GSW,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-22,ATL @ CHI,L,10.0,1,4,0.25,0,1,0.0,0,0,0.0,2,0,2,1,0,0,2,0,2,-5,CHI,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-25,ATL vs. DAL,L,13.0,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,4,0,0,0,2,4,-9,DAL,HOME,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-27,ATL @ CLE,W,11.0,2,4,0.5,2,2,1.0,3,4,0.75,1,3,4,1,1,0,0,1,9,6,CLE,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-29,ATL vs. CLE,W,13.0,0,3,0.0,0,2,0.0,2,2,1.0,0,0,0,3,1,0,1,1,2,6,CLE,HOME,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-11-30,ATL @ CHA,W,17.0,3,9,0.333,0,3,0.0,3,4,0.75,0,2,2,4,1,0,0,0,9,7,CHA,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-12-02,ATL vs. NOP,W,12.0,4,4,1.0,0,0,0.0,2,3,0.667,1,1,2,1,0,0,2,0,10,-8,NOP,HOME,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-12-04,ATL @ MIL,W,13.0,1,5,0.2,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,2,7,MIL,AWAY,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-12-06,ATL vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-08,ATL vs. DEN,L,4.0,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,4,-9,DEN,HOME,Kobe Bufkin,False
Kobe Bufkin,1641723,2024-12-11,ATL @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-14,ATL @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-19,ATL @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-21,ATL vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-23,ATL vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-26,ATL vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-28,ATL vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Kobe Bufkin,True
Kobe Bufkin,1641723,2024-12-29,ATL @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2025-01-01,ATL @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2025-01-03,ATL @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Kobe Bufkin,True
Kobe Bufkin,1641723,2025-01-04,ATL @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Kobe Bufkin,True
