player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Larry Nance Jr,1626204,2024-10-23,ATL vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Larry Nance Jr,True
Larry Nance Jr,1626204,2024-10-25,ATL vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Larry Nance Jr,True
Larry Nance Jr,1626204,2024-10-27,ATL @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Larry Nance Jr,True
Larry Nance Jr.,1626204,2024-10-28,ATL vs. WAS,L,23.0,6,9,0.667,3,5,0.6,0,0,0.0,3,0,3,4,2,1,1,4,15,-8,WAS,HOME,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-10-30,ATL @ WAS,L,7.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,WAS,AWAY,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-01,ATL vs. SAC,L,8.0,1,4,0.25,0,1,0.0,0,0,0.0,2,1,3,0,0,0,2,0,2,-2,SAC,HOME,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-03,ATL @ NOP,W,25.0,6,8,0.75,2,3,0.667,0,0,0.0,2,4,6,0,1,0,1,0,14,-4,NOP,AWAY,Larry Nance Jr,False
Larry Nance Jr,1626204,2024-11-04,ATL vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Larry Nance Jr,True
Larry Nance Jr,1626204,2024-11-06,ATL vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Larry Nance Jr,True
Larry Nance Jr.,1626204,2024-11-08,ATL @ DET,L,13.0,5,5,1.0,3,3,1.0,0,0,0.0,0,1,1,2,1,0,0,2,13,0,DET,AWAY,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-09,ATL vs. CHI,L,14.0,2,3,0.667,1,1,1.0,1,2,0.5,0,2,2,2,0,0,0,4,6,-1,CHI,HOME,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-12,ATL @ BOS,W,27.0,7,10,0.7,5,6,0.833,0,0,0.0,2,0,2,2,1,1,0,1,19,2,BOS,AWAY,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-15,ATL vs. WAS,W,13.0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,5,WAS,HOME,Larry Nance Jr,False
Larry Nance Jr.,1626204,2024-11-17,ATL @ POR,L,11.0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,1,1,0,0,0,-18,POR,AWAY,Larry Nance Jr,False
Larry Nance Jr,1626204,2024-11-18,ATL @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Larry Nance Jr,True
Larry Nance Jr,1626204,2024-11-20,ATL @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Larry Nance Jr,True
