player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Luke Kennard,1628379,2024-10-23,MEM @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Luke Kennard,True
Luke Kennard,1628379,2024-10-25,MEM @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Luke Kennard,True
Luke Kennard,1628379,2024-10-26,MEM vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Luke Kennard,True
Luke Kennard,1628379,2024-10-28,MEM vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Luke Kennard,True
Luke Kennard,1628379,2024-10-30,MEM vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Luke Kennard,True
Luke Kennard,1628379,2024-10-31,MEM vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Luke Kennard,True
Luke Kennard,1628379,2024-11-02,MEM @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Luke Kennard,True
Luke Kennard,1628379,2024-11-04,MEM @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Luke Kennard,True
Luke Kennard,1628379,2024-11-06,MEM vs. LAL,W,18.0,2,4,0.5,1,2,0.5,1,2,0.5,0,1,1,2,0,0,0,2,6,9,LAL,HOME,Luke Kennard,False
Luke Kennard,1628379,2024-11-08,MEM vs. WAS,W,19.0,4,7,0.571,3,5,0.6,0,0,0.0,1,2,3,3,0,0,3,1,11,0,WAS,HOME,Luke Kennard,False
Luke Kennard,1628379,2024-11-10,MEM @ POR,W,20.0,1,5,0.2,1,5,0.2,0,0,0.0,0,3,3,11,2,1,1,1,3,23,POR,AWAY,Luke Kennard,False
Luke Kennard,1628379,2024-11-13,MEM @ LAL,L,26.0,4,7,0.571,4,4,1.0,0,0,0.0,0,2,2,4,0,0,0,2,12,2,LAL,AWAY,Luke Kennard,False
