player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
MarJon Beauchamp,1630699,2024-10-23,MIL @ PHI,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-10-25,MIL vs. CHI,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,2,CHI,HOME,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-10-27,MIL @ BKN,L,3.0,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,1,0,2,2,4,4,BKN,AWAY,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-10-28,MIL @ BOS,L,3.0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,4,BOS,AWAY,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-10-31,MIL @ MEM,L,5.0,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,-1,MEM,AWAY,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-11-02,MIL vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,MarJon Beauchamp,True
MarJon Beauchamp,1630699,2024-11-04,MIL @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,MarJon Beauchamp,True
MarJon Beauchamp,1630699,2024-11-07,MIL vs. UTA,W,3.0,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,2,-1,UTA,HOME,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-11-08,MIL @ NYK,L,8.0,1,3,0.333,0,0,0.0,2,2,1.0,1,1,2,1,0,0,0,0,4,6,NYK,AWAY,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-11-10,MIL vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,MarJon Beauchamp,True
MarJon Beauchamp,1630699,2024-11-12,MIL vs. TOR,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-1,TOR,HOME,Marjon Beauchamp,False
MarJon Beauchamp,1630699,2024-11-13,MIL vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,MarJon Beauchamp,True
MarJon Beauchamp,1630699,2024-11-16,MIL @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,MarJon Beauchamp,True
