player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Marvin Bagley III,1628963,2024-10-24,WAS vs. BOS,L,10.0,4,7,0.571,0,1,0.0,0,2,0.0,4,2,6,1,0,0,1,0,8,8,BOS,HOME,Marvin Bagley,False
Marvin Bagley III,1628963,2024-10-26,WAS vs. CLE,L,10.0,2,5,0.4,0,2,0.0,5,5,1.0,3,3,6,0,0,1,2,1,9,2,CLE,HOME,Marvin Bagley,False
Marvin Bagley III,1628963,2024-10-28,WAS @ ATL,W,4.0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1,ATL,AWAY,Marvin Bagley,False
Marvin Bagley III,1628963,2024-10-30,WAS vs. ATL,W,6.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-9,ATL,HOME,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-02,WAS vs. MIA,L,4.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5,MIA,HOME,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-04,WAS vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Marvin Bagley III,True
Marvin Bagley III,1628963,2024-11-08,WAS @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Marvin Bagley III,True
Marvin Bagley III,1628963,2024-11-10,WAS @ ORL,L,9.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,-4,ORL,AWAY,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-11,WAS @ HOU,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,3,HOU,AWAY,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-13,WAS @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Marvin Bagley III,True
Marvin Bagley III,1628963,2024-11-15,WAS @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Marvin Bagley III,True
Marvin Bagley III,1628963,2024-11-17,WAS vs. DET,L,4.0,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,2,0,4,5,DET,HOME,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-18,WAS @ NYK,L,6.0,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,-1,NYK,AWAY,Marvin Bagley,False
Marvin Bagley III,1628963,2024-11-22,WAS vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Marvin Bagley III,True
Marvin Bagley III,1628963,2024-11-24,WAS @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Marvin Bagley III,True
