player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Matisse Thybulle,1629680,2024-10-23,POR vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-10-25,POR vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-10-27,POR vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-10-28,POR @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-10-30,POR @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-01,POR vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-02,POR @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-04,POR @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-07,POR @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-08,POR @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-10,POR vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-12,POR vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-13,POR vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-17,POR vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-20,POR @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-22,POR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-23,POR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-25,POR @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-27,POR @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Matisse Thybulle,True
Matisse Thybulle,1629680,2024-11-29,POR vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Matisse Thybulle,True
