player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Matt Ryan,1630346,2024-10-22,NYK @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-10-25,NYK vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-10-28,NYK vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-10-30,NYK @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-01,NYK @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-04,NYK @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-06,NYK @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-08,NYK vs. MIL,W,6.0,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,-5,MIL,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-11-10,NYK @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-12,NYK @ PHI,W,9.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,PHI,AWAY,Matt Ryan,False
Matt Ryan,1630346,2024-11-13,NYK vs. CHI,L,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,CHI,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-11-15,NYK vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-11-17,NYK vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-11-18,NYK vs. WAS,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,WAS,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-11-20,NYK @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-23,NYK @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-25,NYK @ DEN,W,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,2,DEN,AWAY,Matt Ryan,False
Matt Ryan,1630346,2024-11-27,NYK @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-11-29,NYK @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-01,NYK vs. NOP,W,9.0,3,6,0.5,2,5,0.4,0,0,0.0,0,1,1,0,0,0,2,0,8,-6,NOP,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-12-03,NYK vs. ORL,W,6.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,ORL,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-12-05,NYK vs. CHA,W,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,CHA,HOME,Matt Ryan,False
Matt Ryan,1630346,2024-12-07,NYK vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-12-09,NYK @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-11,NYK vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-12-15,NYK @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-19,NYK @ MIN,W,4.0,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,4,3,MIN,AWAY,Matt Ryan,False
Matt Ryan,1630346,2024-12-21,NYK @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-23,NYK vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-12-25,NYK vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Matt Ryan,True
Matt Ryan,1630346,2024-12-27,NYK @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-28,NYK @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Matt Ryan,True
Matt Ryan,1630346,2024-12-30,NYK @ WAS,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,WAS,AWAY,Matt Ryan,False
