player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Mikal Bridges,1628969,2024-10-22,NYK @ BOS,L,35.0,7,13,0.538,2,7,0.286,0,1,0.0,0,0,0,2,0,0,1,0,16,-33,BOS,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-10-25,NYK vs. IND,W,33.0,8,12,0.667,2,3,0.667,3,4,0.75,1,0,1,5,1,0,1,4,21,13,IND,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-10-28,NYK vs. CLE,L,40.0,9,15,0.6,1,4,0.25,0,0,0.0,4,2,6,3,2,1,2,4,19,-14,CLE,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-10-30,NYK @ MIA,W,40.0,6,16,0.375,4,11,0.364,1,2,0.5,1,2,3,6,2,2,1,2,17,10,MIA,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-01,NYK @ DET,W,35.0,6,13,0.462,3,6,0.5,0,0,0.0,0,7,7,3,3,1,0,0,15,31,DET,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-04,NYK @ HOU,L,40.0,6,14,0.429,3,8,0.375,0,1,0.0,1,2,3,0,1,0,4,0,15,-21,HOU,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-06,NYK @ ATL,L,39.0,4,10,0.4,2,7,0.286,0,0,0.0,0,2,2,5,1,0,2,2,10,-15,ATL,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-08,NYK vs. MIL,W,37.0,7,18,0.389,3,11,0.273,0,0,0.0,1,2,3,3,1,1,1,1,17,21,MIL,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-10,NYK @ IND,L,42.0,4,11,0.364,0,6,0.0,0,0,0.0,3,4,7,4,0,1,2,4,8,-11,IND,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-12,NYK @ PHI,W,35.0,7,13,0.538,0,2,0.0,0,0,0.0,1,3,4,3,2,1,1,1,14,5,PHI,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-13,NYK vs. CHI,L,43.0,8,15,0.533,1,4,0.25,3,3,1.0,0,6,6,5,1,0,3,0,20,2,CHI,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-15,NYK vs. BKN,W,41.0,9,17,0.529,4,7,0.571,0,0,0.0,2,3,5,4,1,1,1,0,22,7,BKN,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-17,NYK vs. BKN,W,45.0,9,18,0.5,3,10,0.3,0,0,0.0,2,4,6,1,1,1,1,2,21,16,BKN,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-18,NYK vs. WAS,W,35.0,7,14,0.5,0,4,0.0,0,0,0.0,2,1,3,5,0,0,2,1,14,32,WAS,HOME,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-20,NYK @ PHX,W,40.0,7,14,0.5,2,5,0.4,0,0,0.0,0,3,3,5,1,0,0,0,16,19,PHX,AWAY,Mikal Bridges,False
Mikal Bridges,1628969,2024-11-23,NYK @ UTA,L,33.0,3,15,0.2,1,7,0.143,0,0,0.0,0,3,3,0,1,1,2,0,7,-1,UTA,AWAY,Mikal Bridges,False
