player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Nate Williams,1631466,2024-10-23,HOU vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Nate Williams,True
Nate Williams,1631466,2024-10-25,HOU vs. MEM,W,2.0,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,2,MEM,HOME,Nate Williams,False
Nate Williams,1631466,2024-10-26,HOU @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Nate Williams,True
Nate Williams,1631466,2024-10-28,HOU @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Nate Williams,True
Nate Williams,1631466,2024-10-31,HOU @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Nate Williams,True
Nate Williams,1631466,2024-11-02,HOU vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-04,HOU vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-06,HOU vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-08,HOU @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Nate Williams,True
Nate Williams,1631466,2024-11-10,HOU @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Nate Williams,True
Nate Williams,1631466,2024-11-11,HOU vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-13,HOU vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-15,HOU vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-17,HOU @ CHI,W,5.0,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,4,4,CHI,AWAY,Nate Williams,False
Nate Williams,1631466,2024-11-18,HOU @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Nate Williams,True
Nate Williams,1631466,2024-11-20,HOU vs. IND,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,IND,HOME,Nate Williams,False
Nate Williams,1631466,2024-11-22,HOU vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-23,HOU vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Nate Williams,True
Nate Williams,1631466,2024-11-26,HOU @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Nate Williams,True
Nate Williams,1631466,2024-11-27,HOU @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-01,HOU vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Nate Williams,True
Nate Williams,1631466,2024-12-03,HOU @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-05,HOU @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-08,HOU @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-11,HOU vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Nate Williams,True
Nate Williams,1631466,2024-12-14,HOU @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-19,HOU vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Nate Williams,True
Nate Williams,1631466,2024-12-22,HOU @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-23,HOU @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-26,HOU @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Nate Williams,True
Nate Williams,1631466,2024-12-27,HOU vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Nate Williams,True
Nate Williams,1631466,2024-12-29,HOU vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-01,HOU vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-03,HOU vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-05,HOU vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-07,HOU @ WAS,W,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,3,WAS,AWAY,Nate Williams,False
Nate Williams,1631466,2025-01-09,HOU @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Nate Williams,True
Nate Williams,1631466,2025-01-13,HOU vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-15,HOU @ DEN,W,6.0,4,4,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,1,9,-1,DEN,AWAY,Nate Williams,False
Nate Williams,1631466,2025-01-16,HOU @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Nate Williams,True
Nate Williams,1631466,2025-01-18,HOU @ POR,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,POR,AWAY,Nate Williams,False
Nate Williams,1631466,2025-01-20,HOU vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-22,HOU vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Nate Williams,True
Nate Williams,1631466,2025-01-25,HOU @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Nate Williams,True
