player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Nick Smith Jr,1641733,2024-10-23,CHO @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-10-25,CHO @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-10-26,CHO vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-10-30,CHO vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-11-01,CHO vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-11-02,CHA vs. BOS,L,10.0,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,4,-6,BOS,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-11-04,CHA @ MIN,L,8.0,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,1,0,3,7,MIN,AWAY,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-11-06,CHO vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-11-08,CHA vs. IND,W,1.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-11-10,CHO @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-11-12,CHA @ ORL,L,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2,ORL,AWAY,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-11-16,CHO vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-11-17,CHA @ CLE,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,CLE,AWAY,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-11-19,CHO @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-11-21,CHO vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-11-23,CHO @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-11-25,CHA vs. ORL,L,9.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-9,ORL,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-11-27,CHA vs. MIA,L,9.0,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,1,MIA,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-11-29,CHA vs. NYK,L,11.0,3,5,0.6,2,3,0.667,0,0,0.0,0,0,0,1,0,0,0,1,8,-7,NYK,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-11-30,CHA vs. ATL,L,17.0,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,2,1,0,0,0,5,-22,ATL,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-12-03,CHA vs. PHI,L,11.0,3,5,0.6,1,2,0.5,0,0,0.0,1,1,2,3,0,0,1,0,7,4,PHI,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-12-05,CHA @ NYK,L,19.0,2,8,0.25,2,5,0.4,0,0,0.0,0,3,3,1,0,0,0,1,6,-5,NYK,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-12-07,CHA vs. CLE,L,15.0,2,6,0.333,0,3,0.0,0,0,0.0,0,0,0,0,1,1,0,5,4,-5,CLE,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2024-12-08,CHA @ IND,W,8.0,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,0,0,-4,IND,AWAY,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-12-13,CHO @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-12-16,CHO vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-12-19,CHO @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-12-20,CHO @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Nick Smith Jr,True
Nick Smith Jr.,1641733,2024-12-23,CHA vs. HOU,L,3.0,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,6,HOU,HOME,Nick Smith Jr,False
Nick Smith Jr,1641733,2024-12-26,CHO @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-12-28,CHO vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Nick Smith Jr,True
Nick Smith Jr,1641733,2024-12-30,CHO vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Nick Smith Jr,True
Nick Smith Jr.,1641733,2025-01-03,CHA @ DET,L,7.0,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,1,0,0,0,0,3,-1,DET,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-05,CHA @ CLE,L,19.0,7,12,0.583,4,6,0.667,0,0,0.0,0,5,5,2,0,1,0,1,18,7,CLE,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-07,CHA vs. PHX,W,21.0,3,8,0.375,2,6,0.333,0,0,0.0,1,3,4,3,0,0,0,0,8,11,PHX,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-12,CHA @ PHX,L,18.0,3,10,0.3,2,4,0.5,0,0,0.0,0,3,3,0,1,0,2,1,8,-15,PHX,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-15,CHA @ UTA,W,16.0,0,5,0.0,0,5,0.0,0,0,0.0,0,1,1,4,0,0,1,1,0,-13,UTA,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-17,CHA @ CHI,W,26.0,6,12,0.5,3,7,0.429,0,0,0.0,0,5,5,1,1,0,4,0,15,8,CHI,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-20,CHA vs. DAL,W,30.0,7,13,0.538,5,8,0.625,0,0,0.0,1,2,3,1,1,0,2,1,19,-2,DAL,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-22,CHA @ MEM,L,31.0,4,10,0.4,1,5,0.2,0,0,0.0,1,0,1,5,1,0,2,0,9,-10,MEM,AWAY,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-24,CHA vs. POR,L,34.0,6,18,0.333,2,10,0.2,3,3,1.0,0,5,5,5,0,2,3,3,17,-1,POR,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-25,CHA vs. NOP,W,23.0,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,1,0,0,1,1,5,4,NOP,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-27,CHA vs. LAL,L,25.0,2,8,0.25,0,4,0.0,0,0,0.0,0,1,1,6,0,1,1,3,4,-4,LAL,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-29,CHA vs. BKN,L,27.0,1,10,0.1,0,7,0.0,0,0,0.0,0,5,5,2,0,0,3,2,2,-22,BKN,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-01-31,CHA vs. LAC,L,26.0,3,12,0.25,0,3,0.0,2,2,1.0,0,2,2,1,1,0,1,2,8,-10,LAC,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-02-01,CHA vs. DEN,L,33.0,7,12,0.583,5,8,0.625,0,0,0.0,0,1,1,2,1,0,1,1,19,-14,DEN,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-02-03,CHA vs. WAS,L,39.0,9,16,0.563,4,7,0.571,2,2,1.0,1,3,4,2,1,0,2,4,24,-11,WAS,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-02-05,CHA vs. MIL,L,32.0,9,15,0.6,4,8,0.5,1,2,0.5,0,2,2,2,0,0,1,4,23,-10,MIL,HOME,Nick Smith Jr,False
Nick Smith Jr.,1641733,2025-02-07,CHA vs. SAS,W,34.0,8,13,0.615,2,5,0.4,1,1,1.0,1,5,6,5,0,0,3,1,19,3,SAS,HOME,Nick Smith Jr,False
Nick Smith Jr,1641733,2025-02-09,CHO @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Nick Smith Jr,True
