player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Nickeil Alexander-Walker,1629638,2024-10-22,MIN @ LAL,L,28.0,5,7,0.714,3,4,0.75,1,2,0.5,2,3,5,0,0,0,2,0,14,13,LAL,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-10-24,MIN @ SAC,W,18.0,3,5,0.6,3,5,0.6,0,0,0.0,0,1,1,2,0,0,1,0,9,5,SAC,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-10-26,MIN vs. TOR,W,16.0,1,2,0.5,1,1,1.0,1,2,0.5,0,1,1,4,0,0,0,1,4,5,TOR,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-10-29,MIN vs. DAL,L,24.0,4,7,0.571,3,5,0.6,0,0,0.0,1,1,2,3,1,0,1,3,11,4,DAL,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-01,MIN vs. DEN,W,24.0,2,6,0.333,2,4,0.5,2,2,1.0,0,2,2,5,3,1,0,1,8,27,DEN,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-02,MIN @ SAS,L,24.0,3,7,0.429,0,4,0.0,0,1,0.0,1,2,3,6,0,1,2,1,6,-3,SAS,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-04,MIN vs. CHA,W,21.0,1,6,0.167,1,3,0.333,3,4,0.75,0,2,2,3,0,0,2,2,6,22,CHA,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-07,MIN @ CHI,W,22.0,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,0,1,0,1,1,5,-2,CHI,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-08,MIN vs. POR,W,27.0,3,4,0.75,1,2,0.5,2,2,1.0,1,5,6,3,2,0,3,1,9,12,POR,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-10,MIN vs. MIA,L,26.0,5,6,0.833,2,3,0.667,0,0,0.0,1,2,3,1,1,1,0,2,12,-3,MIA,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-12,MIN @ POR,L,27.0,3,7,0.429,1,3,0.333,1,1,1.0,0,0,0,2,3,0,2,1,8,-13,POR,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-13,MIN @ POR,L,32.0,5,11,0.455,3,7,0.429,0,0,0.0,1,4,5,3,3,1,4,1,13,-2,POR,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-15,MIN @ SAC,W,21.0,4,6,0.667,2,3,0.667,0,0,0.0,1,2,3,3,0,0,1,2,10,-2,SAC,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-17,MIN vs. PHX,W,20.0,4,6,0.667,0,1,0.0,0,0,0.0,1,1,2,2,0,1,2,0,8,0,PHX,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-21,MIN @ TOR,L,26.0,1,6,0.167,1,2,0.5,3,4,0.75,0,4,4,0,2,0,1,3,6,-1,TOR,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-24,MIN @ BOS,L,27.0,1,7,0.143,0,4,0.0,2,2,1.0,1,0,1,4,0,0,0,2,4,12,BOS,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-26,MIN vs. HOU,L,30.0,6,7,0.857,0,1,0.0,1,1,1.0,1,1,2,3,0,0,2,2,13,2,HOU,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-27,MIN vs. SAC,L,20.0,5,6,0.833,5,6,0.833,2,2,1.0,0,2,2,3,1,2,0,4,17,-4,SAC,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-11-29,MIN vs. LAC,W,28.0,4,10,0.4,2,6,0.333,2,2,1.0,3,7,10,1,2,0,3,4,12,-1,LAC,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-02,MIN vs. LAL,W,26.0,6,11,0.545,2,6,0.333,1,2,0.5,0,0,0,4,0,0,1,2,15,14,LAL,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-04,MIN @ LAC,W,22.0,3,9,0.333,2,7,0.286,0,0,0.0,0,3,3,3,1,1,4,2,8,10,LAC,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-06,MIN @ GSW,W,18.0,2,5,0.4,1,2,0.5,0,1,0.0,1,1,2,2,0,0,1,2,5,16,GSW,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-08,MIN @ GSW,L,24.0,7,9,0.778,4,5,0.8,1,2,0.5,1,0,1,1,0,1,1,1,19,-4,GSW,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-13,MIN vs. LAL,W,19.0,1,7,0.143,0,3,0.0,0,0,0.0,0,3,3,2,1,0,1,2,2,-7,LAL,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-15,MIN @ SAS,W,24.0,6,15,0.4,2,8,0.25,3,3,1.0,1,2,3,3,2,0,0,0,17,28,SAS,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-19,MIN vs. NYK,L,22.0,5,5,1.0,1,1,1.0,1,1,1.0,0,3,3,1,1,0,1,2,12,-21,NYK,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-21,MIN vs. GSW,L,19.0,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,1,0,0,2,1,2,-12,GSW,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-23,MIN @ ATL,L,29.0,4,7,0.571,3,6,0.5,0,0,0.0,0,4,4,4,1,0,2,2,11,1,ATL,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-25,MIN @ DAL,W,15.0,3,7,0.429,2,4,0.5,0,0,0.0,0,3,3,2,1,0,0,2,8,1,DAL,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-27,MIN @ HOU,W,29.0,4,9,0.444,3,7,0.429,0,0,0.0,0,4,4,5,0,0,0,1,11,13,HOU,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-29,MIN vs. SAS,W,16.0,2,5,0.4,2,4,0.5,0,0,0.0,0,2,2,2,1,0,2,2,6,6,SAS,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2024-12-31,MIN @ OKC,L,19.0,3,3,1.0,2,2,1.0,0,0,0.0,0,4,4,1,0,0,5,3,8,-12,OKC,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-02,MIN vs. BOS,L,17.0,1,2,0.5,1,1,1.0,1,2,0.5,0,3,3,0,0,0,0,1,4,0,BOS,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-04,MIN @ DET,L,28.0,2,8,0.25,2,7,0.286,1,2,0.5,0,2,2,3,0,2,0,3,7,-8,DET,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-06,MIN vs. LAC,W,15.0,1,5,0.2,1,3,0.333,0,0,0.0,1,1,2,2,0,1,2,1,3,-7,LAC,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-07,MIN @ NOP,W,18.0,4,9,0.444,2,6,0.333,1,1,1.0,0,1,1,2,0,0,0,1,11,9,NOP,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-09,MIN @ ORL,W,22.0,1,5,0.2,0,2,0.0,0,0,0.0,1,5,6,3,0,0,0,2,2,2,ORL,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-11,MIN vs. MEM,L,26.0,3,10,0.3,1,7,0.143,1,3,0.333,0,2,2,6,1,0,1,0,8,0,MEM,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-13,MIN @ WAS,W,23.0,2,3,0.667,2,3,0.667,0,0,0.0,0,3,3,3,0,1,1,1,6,20,WAS,AWAY,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-15,MIN vs. GSW,L,20.0,1,3,0.333,1,1,1.0,2,2,1.0,0,1,1,0,0,0,1,2,5,6,GSW,HOME,Nickeil Alexander-Walker,False
Nickeil Alexander-Walker,1629638,2025-01-17,MIN @ NYK,W,27.0,2,6,0.333,2,5,0.4,0,2,0.0,0,2,2,1,0,0,0,2,6,4,NYK,AWAY,Nickeil Alexander-Walker,False
