player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Nicolas Batum,201587,2024-10-23,LAC vs. PHX,L,24.0,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,2,1,0,1,3,2,1,PHX,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-10-26,LAC @ DEN,W,22.0,0,0,0.0,0,0,0.0,1,2,0.5,1,3,4,3,0,1,0,3,1,17,DEN,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-10-27,LAC @ GSW,W,15.0,2,4,0.5,1,3,0.333,0,0,0.0,2,2,4,2,0,0,1,3,5,13,GSW,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-10-30,LAC vs. POR,L,13.0,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,4,2,0,0,1,5,-3,POR,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-10-31,LAC vs. PHX,L,22.0,1,4,0.25,1,3,0.333,0,0,0.0,1,4,5,3,0,4,1,2,3,-4,PHX,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-02,LAC vs. OKC,L,20.0,1,5,0.2,1,4,0.25,1,2,0.5,0,2,2,2,0,1,0,0,4,-7,OKC,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-04,LAC vs. SAS,W,20.0,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,2,3,12,SAS,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-06,LAC vs. PHI,W,20.0,3,6,0.5,1,3,0.333,0,0,0.0,1,1,2,0,3,0,0,1,7,11,PHI,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-08,LAC @ SAC,W,11.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,4,0,13,SAC,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-09,LAC vs. TOR,W,17.0,3,5,0.6,1,3,0.333,0,0,0.0,1,2,3,2,0,2,0,0,7,16,TOR,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-11,LAC @ OKC,L,12.0,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,1,2,0,3,1,OKC,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-13,LAC @ HOU,L,14.0,1,4,0.25,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,0,3,-22,HOU,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-15,LAC @ HOU,L,4.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,1,0,0,4,HOU,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-17,LAC vs. UTA,W,18.0,0,3,0.0,0,3,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-1,UTA,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-18,LAC vs. GSW,W,20.0,3,6,0.5,3,5,0.6,0,0,0.0,0,3,3,0,0,0,1,0,9,4,GSW,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-20,LAC vs. ORL,W,19.0,2,3,0.667,1,1,1.0,0,0,0.0,2,2,4,0,0,0,0,1,5,4,ORL,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-22,LAC vs. SAC,W,18.0,3,6,0.5,3,5,0.6,0,0,0.0,0,3,3,0,0,0,0,2,9,7,SAC,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-11-24,LAC @ PHI,W,10.0,1,5,0.2,1,4,0.25,0,0,0.0,2,1,3,3,0,0,0,0,3,-5,PHI,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-25,LAC @ BOS,L,23.0,0,2,0.0,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,0,0,-19,BOS,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-27,LAC @ WAS,W,25.0,1,2,0.5,1,2,0.5,0,0,0.0,2,1,3,2,1,0,0,2,3,18,WAS,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-11-29,LAC @ MIN,L,24.0,4,7,0.571,4,7,0.571,0,0,0.0,0,2,2,1,1,0,0,0,12,6,MIN,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-12-01,LAC vs. DEN,W,23.0,1,2,0.5,1,2,0.5,0,0,0.0,2,1,3,5,0,0,0,3,3,9,DEN,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-12-03,LAC vs. POR,W,20.0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,3,0,1,1,2,0,14,POR,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-12-04,LAC vs. MIN,L,8.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-17,MIN,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-12-08,LAC vs. HOU,L,26.0,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,1,0,0,0,2,0,-1,HOU,HOME,Nicolas Batum,False
Nicolas Batum,201587,2024-12-13,LAC @ DEN,L,22.0,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,0,3,0,1,4,6,-5,DEN,AWAY,Nicolas Batum,False
Nicolas Batum,201587,2024-12-16,LAC vs. UTA,W,16.0,1,1,1.0,1,1,1.0,1,2,0.5,0,3,3,0,2,0,2,1,4,19,UTA,HOME,Nicolas Batum,False
