player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Noah Clowney,1641730,2024-10-23,BKN @ ATL,L,15.0,2,6,0.333,1,3,0.333,2,2,1.0,3,3,6,0,1,1,1,1,7,-10,ATL,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-10-25,BKN @ ORL,L,16.0,3,8,0.375,1,4,0.25,0,0,0.0,1,1,2,0,1,0,1,3,7,-13,ORL,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-10-27,BKN vs. MIL,W,21.0,4,13,0.308,3,8,0.375,2,2,1.0,1,3,4,0,0,0,1,2,13,18,MIL,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-10-29,BKN vs. DEN,L,16.0,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,2,0,-4,DEN,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-10-30,BKN @ MEM,W,14.0,2,8,0.25,1,5,0.2,0,0,0.0,0,2,2,0,0,0,0,5,5,-3,MEM,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-01,BKN vs. CHI,W,15.0,2,4,0.5,0,2,0.0,3,4,0.75,2,2,4,1,0,2,0,0,7,4,CHI,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-11-03,BKN vs. DET,L,17.0,1,3,0.333,1,2,0.5,1,2,0.5,1,1,2,1,0,0,0,2,4,-4,DET,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-11-04,BRK vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Noah Clowney,True
Noah Clowney,1641730,2024-11-08,BRK @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Noah Clowney,True
Noah Clowney,1641730,2024-11-09,BKN @ CLE,L,14.0,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,1,2,1,1,2,2,-5,CLE,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-11,BKN @ NOP,W,20.0,5,13,0.385,5,10,0.5,0,0,0.0,4,3,7,1,0,1,1,2,15,3,NOP,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-13,BKN vs. BOS,L,18.0,3,6,0.5,2,5,0.4,1,2,0.5,0,2,2,2,0,0,1,4,9,-7,BOS,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-11-15,BKN @ NYK,L,13.0,1,3,0.333,1,3,0.333,2,2,1.0,1,0,1,2,0,0,2,3,5,-17,NYK,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-17,BKN @ NYK,L,17.0,5,7,0.714,2,4,0.5,1,3,0.333,0,2,2,1,0,0,1,4,13,-13,NYK,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-19,BKN vs. CHA,W,14.0,2,7,0.286,1,4,0.25,0,0,0.0,1,2,3,0,0,0,0,1,5,-14,CHA,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-11-22,BKN @ PHI,L,19.0,1,2,0.5,0,1,0.0,0,0,0.0,0,4,4,0,0,2,0,2,2,-6,PHI,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-24,BKN @ SAC,W,22.0,5,9,0.556,5,8,0.625,3,4,0.75,0,2,2,0,1,1,2,3,18,13,SAC,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-11-25,BRK @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Noah Clowney,True
Noah Clowney,1641730,2024-11-27,BRK @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Noah Clowney,True
Noah Clowney,1641730,2024-11-29,BRK vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Noah Clowney,True
Noah Clowney,1641730,2024-12-01,BRK vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Noah Clowney,True
Noah Clowney,1641730,2024-12-02,BRK @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Noah Clowney,True
Noah Clowney,1641730,2024-12-04,BRK vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Noah Clowney,True
Noah Clowney,1641730,2024-12-08,BRK vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Noah Clowney,True
Noah Clowney,1641730,2024-12-13,BKN @ MEM,L,18.0,4,10,0.4,4,10,0.4,0,0,0.0,1,3,4,0,0,2,1,5,12,4,MEM,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-12-16,BKN vs. CLE,L,17.0,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,1,0,1,2,6,2,-28,CLE,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-12-19,BKN @ TOR,W,37.0,3,10,0.3,2,8,0.25,3,3,1.0,1,8,9,1,0,0,0,5,11,2,TOR,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-12-21,BKN vs. UTA,L,29.0,4,10,0.4,2,6,0.333,0,0,0.0,3,3,6,1,0,0,0,3,10,-3,UTA,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-12-23,BKN @ MIA,L,29.0,6,13,0.462,4,10,0.4,3,3,1.0,0,5,5,1,0,0,1,2,19,-14,MIA,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-12-26,BKN @ MIL,W,31.0,7,10,0.7,6,9,0.667,0,0,0.0,1,3,4,2,1,0,2,1,20,10,MIL,AWAY,Noah Clowney,False
Noah Clowney,1641730,2024-12-27,BKN vs. SAS,L,24.0,2,6,0.333,1,4,0.25,0,0,0.0,1,4,5,1,1,0,1,5,5,-13,SAS,HOME,Noah Clowney,False
Noah Clowney,1641730,2024-12-29,BKN @ ORL,L,28.0,4,7,0.571,3,5,0.6,2,2,1.0,0,2,2,0,0,0,2,1,13,-4,ORL,AWAY,Noah Clowney,False
Noah Clowney,1641730,2025-01-01,BKN @ TOR,L,28.0,2,5,0.4,1,4,0.25,0,0,0.0,1,2,3,0,1,0,0,0,5,-16,TOR,AWAY,Noah Clowney,False
