player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Ochai Agbaji,1630534,2024-10-23,TOR vs. CLE,L,25.0,1,1,1.0,0,0,0.0,1,2,0.5,4,2,6,1,1,1,0,2,3,-18,CLE,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-10-25,TOR vs. PHI,W,26.0,5,9,0.556,0,1,0.0,2,2,1.0,3,5,8,1,2,0,1,3,12,1,PHI,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-10-26,TOR @ MIN,L,31.0,8,12,0.667,3,5,0.6,0,1,0.0,0,2,2,2,2,0,4,2,19,-15,MIN,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-10-28,TOR vs. DEN,L,29.0,6,12,0.5,2,5,0.4,1,2,0.5,3,4,7,0,1,1,0,4,15,-5,DEN,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-10-30,TOR @ CHA,L,29.0,3,6,0.5,1,3,0.333,3,3,1.0,0,3,3,3,0,2,2,1,10,-10,CHA,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-01,TOR vs. LAL,L,34.0,4,9,0.444,0,3,0.0,0,0,0.0,0,2,2,3,1,0,0,4,8,-5,LAL,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-02,TOR vs. SAC,W,36.0,9,12,0.75,4,5,0.8,0,0,0.0,0,5,5,2,2,1,1,3,22,1,SAC,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-04,TOR @ DEN,L,33.0,6,11,0.545,2,4,0.5,2,3,0.667,1,4,5,4,2,0,0,3,16,1,DEN,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-06,TOR @ SAC,L,32.0,4,9,0.444,2,7,0.286,2,3,0.667,0,2,2,2,1,0,0,3,12,-22,SAC,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-09,TOR @ LAC,L,36.0,9,14,0.643,3,6,0.5,0,0,0.0,2,5,7,3,2,0,0,3,21,2,LAC,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-10,TOR @ LAL,L,33.0,5,7,0.714,4,5,0.8,2,2,1.0,1,5,6,1,0,1,2,3,16,-11,LAL,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-12,TOR @ MIL,L,35.0,3,8,0.375,2,4,0.5,0,0,0.0,1,6,7,1,2,1,3,3,8,-1,MIL,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-15,TOR vs. DET,L,36.0,4,15,0.267,1,5,0.2,0,0,0.0,1,2,3,1,2,0,1,3,9,-4,DET,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-16,TOR @ BOS,L,39.0,5,13,0.385,3,8,0.375,0,0,0.0,0,6,6,3,0,1,1,1,13,-4,BOS,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-18,TOR vs. IND,W,33.0,4,7,0.571,2,3,0.667,1,2,0.5,1,3,4,6,1,3,2,5,11,12,IND,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-21,TOR vs. MIN,W,27.0,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,2,4,-11,MIN,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-24,TOR @ CLE,L,27.0,4,6,0.667,1,3,0.333,0,0,0.0,1,4,5,1,0,0,1,1,9,-10,CLE,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-25,TOR @ DET,L,24.0,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,1,1,0,1,3,0,-26,DET,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-27,TOR @ NOP,W,28.0,9,10,0.9,6,7,0.857,0,0,0.0,0,6,6,2,1,1,0,2,24,33,NOP,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-11-29,TOR @ MIA,L,32.0,5,8,0.625,3,4,0.75,0,0,0.0,1,4,5,3,0,0,0,1,13,2,MIA,AWAY,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-12-01,TOR vs. MIA,W,38.0,3,8,0.375,1,3,0.333,0,0,0.0,2,3,5,3,0,1,0,1,7,3,MIA,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-12-03,TOR vs. IND,W,36.0,5,7,0.714,3,3,1.0,0,0,0.0,1,2,3,2,2,1,1,4,13,5,IND,HOME,Ochai Agbaji,False
Ochai Agbaji,1630534,2024-12-05,TOR vs. OKC,L,22.0,2,6,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,1,5,-19,OKC,HOME,Ochai Agbaji,False
