player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Olivier-Maxence Prosper,1641765,2024-10-24,DAL vs. SAS,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,SAS,HOME,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-10-26,DAL @ PHX,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHX,AWAY,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-10-28,DAL vs. UTA,W,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-5,UTA,HOME,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-10-29,DAL @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Olivier-Maxence Prosper,True
Olivier-Maxence Prosper,1641765,2024-10-31,DAL vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Olivier-Maxence Prosper,True
Olivier-Maxence Prosper,1641765,2024-11-03,DAL vs. ORL,W,6.0,0,2,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-2,ORL,HOME,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-11-04,DAL vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Olivier-Maxence Prosper,True
Olivier-Maxence Prosper,1641765,2024-11-06,DAL vs. CHI,W,20.0,3,8,0.375,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,3,6,4,CHI,HOME,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-11-08,DAL vs. PHX,L,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,PHX,HOME,Olivier-Maxence Prosper,False
Olivier-Maxence Prosper,1641765,2024-11-10,DAL @ DEN,L,8.0,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-13,DEN,AWAY,Olivier-Maxence Prosper,False
