player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Oshae Brissett,1629052,2024-10-23,PHI vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-10-25,PHI @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-10-27,PHI @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-10-30,PHI vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-02,PHI vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-04,PHI @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-06,PHI @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-08,PHI @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-10,PHI vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-12,PHI vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-13,PHI vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-15,PHI @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-18,PHI @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-20,PHI @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-22,PHI vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-24,PHI vs. LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-27,PHI vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-11-30,PHI @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-03,PHI @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-04,PHI vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-06,PHI vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-08,PHI @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-13,PHI vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-16,PHI @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-20,PHI vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-21,PHI @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-23,PHI vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-25,PHI @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-28,PHI @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2024-12-30,PHI @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-01,PHI @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-02,PHI @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-04,PHI @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-06,PHI vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-08,PHI vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-10,PHI vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-12,PHI @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-14,PHI vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-15,PHI vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-18,PHI @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-19,PHI @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-21,PHI @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-24,PHI vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-25,PHI @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-28,PHI vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-29,PHI vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-01-31,PHI vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-02,PHI vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-04,PHI vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-05,PHI vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-07,PHI @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-09,PHI @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-11,PHI vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-12,PHI @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-20,PHI vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-22,PHI vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-24,PHI vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-02-26,PHI @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-03-01,PHI vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-03-03,PHI vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Oshae Brissett,True
Oshae Brissett,1629052,2025-03-04,PHI @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Oshae Brissett,True
Oshae Brissett,1629052,2025-03-06,PHI @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Oshae Brissett,True
