player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Patrick Baldwin Jr.,1631116,2024-10-24,WAS vs. BOS,L,8.0,3,6,0.5,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,2,7,10,BOS,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-10-26,WAS vs. CLE,L,5.0,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,0,2,3,CLE,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr,1631116,2024-10-28,WAS @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr.,1631116,2024-10-30,WAS vs. ATL,W,3.0,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-3,ATL,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-11-02,WAS vs. MIA,L,3.0,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,1,0,0,0,6,0,MIA,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr,1631116,2024-11-04,WAS vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Patrick Baldwin Jr,True
Patrick Baldwin Jr.,1631116,2024-11-08,WAS @ MEM,L,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-11-10,WAS @ ORL,L,11.0,0,3,0.0,0,2,0.0,1,2,0.5,1,2,3,0,1,0,1,1,1,-3,ORL,AWAY,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-11-11,WAS @ HOU,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,HOU,AWAY,Patrick Baldwin Jr,False
Patrick Baldwin Jr,1631116,2024-11-13,WAS @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-11-15,WAS @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr.,1631116,2024-11-17,WAS vs. DET,L,4.0,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,5,DET,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-11-18,WAS @ NYK,L,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,NYK,AWAY,Patrick Baldwin Jr,False
Patrick Baldwin Jr,1631116,2024-11-22,WAS vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-11-24,WAS @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr.,1631116,2024-11-26,WAS vs. CHI,L,3.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,0,3,5,CHI,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr.,1631116,2024-11-27,WAS vs. LAC,L,8.0,1,1,1.0,1,1,1.0,0,0,0.0,1,3,4,0,0,0,1,0,3,8,LAC,HOME,Patrick Baldwin Jr,False
Patrick Baldwin Jr,1631116,2024-11-30,WAS @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-12-03,WAS @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-12-05,WAS vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-12-07,WAS vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-12-08,WAS vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Patrick Baldwin Jr,True
Patrick Baldwin Jr,1631116,2024-12-13,WAS @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Patrick Baldwin Jr,True
Patrick Baldwin Jr.,1631116,2024-12-15,WAS vs. BOS,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,BOS,HOME,Patrick Baldwin Jr,False
