player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Payton Pritchard,1630202,2024-10-22,BOS vs. NYK,W,25.0,1,10,0.1,1,9,0.111,0,0,0.0,1,3,4,4,0,0,1,2,3,7,NYK,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-10-24,BOS @ WAS,W,28.0,5,11,0.455,5,10,0.5,0,0,0.0,0,1,1,2,0,0,0,1,15,11,WAS,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-10-26,BOS @ DET,W,19.0,5,8,0.625,5,7,0.714,4,4,1.0,0,2,2,0,1,0,0,1,19,-5,DET,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-10-28,BOS vs. MIL,W,28.0,10,14,0.714,8,12,0.667,0,0,0.0,2,3,5,3,2,0,2,2,28,12,MIL,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-10-30,BOS @ IND,L,39.0,5,14,0.357,4,11,0.364,2,2,1.0,2,2,4,4,1,0,1,2,16,8,IND,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-01,BOS @ CHA,W,28.0,1,6,0.167,0,5,0.0,5,6,0.833,0,2,2,3,5,0,1,0,7,13,CHA,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-02,BOS @ CHA,W,29.0,8,15,0.533,6,12,0.5,0,0,0.0,1,2,3,2,0,0,1,3,22,7,CHA,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-04,BOS @ ATL,W,25.0,7,12,0.583,3,8,0.375,1,1,1.0,0,3,3,4,1,0,3,1,18,21,ATL,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-06,BOS vs. GSW,L,32.0,5,13,0.385,3,11,0.273,3,3,1.0,2,1,3,3,0,0,2,4,16,-8,GSW,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-08,BOS vs. BKN,W,34.0,6,11,0.545,3,7,0.429,5,5,1.0,0,1,1,0,1,0,1,2,20,11,BKN,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-10,BOS @ MIL,W,23.0,6,10,0.6,5,8,0.625,1,1,1.0,1,0,1,3,0,0,3,1,18,-8,MIL,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-12,BOS vs. ATL,L,25.0,2,8,0.25,2,8,0.25,0,0,0.0,0,1,1,2,3,0,1,2,6,-9,ATL,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-13,BOS @ BKN,W,36.0,8,13,0.615,5,9,0.556,2,4,0.5,2,4,6,8,2,1,1,3,23,14,BKN,AWAY,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-16,BOS vs. TOR,W,24.0,2,8,0.25,2,7,0.286,0,0,0.0,0,0,0,1,0,0,0,2,6,6,TOR,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-19,BOS vs. CLE,W,26.0,5,9,0.556,3,6,0.5,0,0,0.0,1,1,2,3,1,0,0,2,13,-14,CLE,HOME,Payton Pritchard,False
Payton Pritchard,1630202,2024-11-22,BOS @ WAS,W,23.0,3,6,0.5,1,3,0.333,2,3,0.667,1,1,2,4,1,0,0,2,9,0,WAS,AWAY,Payton Pritchard,False
