player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Robert Williams III,1629057,2024-10-23,POR vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-10-25,POR vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-10-27,POR vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-10-28,POR @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-10-30,POR @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-01,POR vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-11-02,POR @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-04,POR @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-07,POR @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-08,POR @ MIN,L,17.0,4,5,0.8,1,1,1.0,4,4,1.0,2,1,3,2,2,1,0,0,13,-10,MIN,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-11-10,POR vs. MEM,L,11.0,2,4,0.5,0,1,0.0,0,0,0.0,0,5,5,0,0,1,2,0,4,-7,MEM,HOME,Robert Williams,False
Robert Williams III,1629057,2024-11-12,POR vs. MIN,W,25.0,9,10,0.9,0,0,0.0,1,1,1.0,2,7,9,3,3,3,1,1,19,13,MIN,HOME,Robert Williams,False
Robert Williams III,1629057,2024-11-13,POR vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-11-17,POR vs. ATL,W,25.0,6,6,1.0,0,0,0.0,2,2,1.0,3,5,8,2,1,1,3,0,14,20,ATL,HOME,Robert Williams,False
Robert Williams III,1629057,2024-11-20,POR @ OKC,L,24.0,2,4,0.5,0,0,0.0,0,0,0.0,3,5,8,2,0,0,1,3,4,-15,OKC,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-11-22,POR @ HOU,L,17.0,3,5,0.6,0,0,0.0,1,2,0.5,2,4,6,0,1,4,0,2,7,-14,HOU,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-11-23,POR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-25,POR @ MEM,L,12.0,1,4,0.25,0,0,0.0,4,4,1.0,3,0,3,1,1,3,0,1,6,-13,MEM,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-11-27,POR @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-11-29,POR vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-01,POR vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-03,POR @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-12-06,POR vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-08,POR @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-12-13,POR vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-15,POR @ PHX,L,17.0,4,4,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,2,8,-6,PHX,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-12-19,POR vs. DEN,W,10.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,0,-1,DEN,HOME,Robert Williams,False
Robert Williams III,1629057,2024-12-21,POR @ SAS,L,12.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,0,0,9,SAS,AWAY,Robert Williams,False
Robert Williams III,1629057,2024-12-23,POR @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Robert Williams III,True
Robert Williams III,1629057,2024-12-26,POR vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-28,POR vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Robert Williams III,True
Robert Williams III,1629057,2024-12-30,POR vs. PHI,L,11.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,2,1,3,0,-4,PHI,HOME,Robert Williams,False
Robert Williams III,1629057,2025-01-02,POR @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Robert Williams III,True
Robert Williams III,1629057,2025-01-04,POR @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Robert Williams III,True
Robert Williams III,1629057,2025-01-06,POR @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Robert Williams III,True
Robert Williams III,1629057,2025-01-08,POR @ NOP,W,16.0,2,3,0.667,0,0,0.0,0,0,0.0,1,5,6,0,1,4,0,2,4,2,NOP,AWAY,Robert Williams,False
Robert Williams III,1629057,2025-01-09,POR @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Robert Williams III,True
Robert Williams III,1629057,2025-01-11,POR vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Robert Williams III,True
Robert Williams III,1629057,2025-01-14,POR vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Robert Williams III,True
Robert Williams III,1629057,2025-01-16,POR vs. LAC,L,18.0,1,3,0.333,0,0,0.0,2,2,1.0,2,5,7,2,0,0,2,2,4,-3,LAC,HOME,Robert Williams,False
Robert Williams III,1629057,2025-01-18,POR vs. HOU,L,20.0,2,3,0.667,0,0,0.0,0,0,0.0,0,4,4,3,1,3,2,2,4,-14,HOU,HOME,Robert Williams,False
Robert Williams III,1629057,2025-01-19,POR vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Robert Williams III,True
Robert Williams III,1629057,2025-01-21,POR @ MIA,W,14.0,1,1,1.0,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,2,2,-2,MIA,AWAY,Robert Williams,False
Robert Williams III,1629057,2025-01-23,POR @ ORL,W,24.0,4,6,0.667,0,0,0.0,0,0,0.0,4,8,12,0,1,4,0,2,8,5,ORL,AWAY,Robert Williams,False
Robert Williams III,1629057,2025-01-24,POR @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Robert Williams III,True
Robert Williams III,1629057,2025-01-26,POR vs. OKC,L,21.0,0,4,0.0,0,0,0.0,1,2,0.5,3,7,10,0,0,1,2,3,1,-11,OKC,HOME,Robert Williams,False
Robert Williams III,1629057,2025-01-28,POR vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Robert Williams III,True
Robert Williams III,1629057,2025-01-30,POR vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Robert Williams III,True
