player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Rudy Gobert,203497,2024-10-22,MIN @ LAL,L,35.0,5,8,0.625,0,0,0.0,3,4,0.75,3,11,14,2,0,1,1,4,13,-10,LAL,AWAY,Rudy Gobert,False
Rudy Gobert,203497,2024-10-24,MIN @ SAC,W,35.0,1,2,0.5,0,0,0.0,1,2,0.5,1,10,11,1,2,0,3,4,3,-6,SAC,AWAY,Rudy Gobert,False
Rudy Gobert,203497,2024-10-26,MIN vs. TOR,W,39.0,6,8,0.75,0,0,0.0,3,4,0.75,2,10,12,1,1,4,1,3,15,20,TOR,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-10-29,MIN vs. DAL,L,31.0,2,5,0.4,0,0,0.0,3,5,0.6,4,4,8,1,0,0,2,3,7,-8,DAL,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-11-01,MIN vs. DEN,W,36.0,7,10,0.7,0,0,0.0,3,4,0.75,4,10,14,3,1,2,2,3,17,7,DEN,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-11-02,MIN @ SAS,L,23.0,3,8,0.375,0,0,0.0,4,4,1.0,1,2,3,1,0,0,0,2,10,-8,SAS,AWAY,Rudy Gobert,False
Rudy Gobert,203497,2024-11-04,MIN vs. CHA,W,30.0,4,5,0.8,0,0,0.0,0,0,0.0,2,6,8,4,0,1,1,2,8,15,CHA,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-11-07,MIN @ CHI,W,32.0,9,11,0.818,0,0,0.0,3,3,1.0,3,6,9,3,0,1,2,4,21,23,CHI,AWAY,Rudy Gobert,False
Rudy Gobert,203497,2024-11-08,MIN vs. POR,W,23.0,4,5,0.8,0,0,0.0,0,0,0.0,4,11,15,2,0,3,2,5,8,18,POR,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-11-10,MIN vs. MIA,L,33.0,2,4,0.5,0,0,0.0,3,3,1.0,6,7,13,1,1,2,2,1,7,-4,MIA,HOME,Rudy Gobert,False
Rudy Gobert,203497,2024-11-12,MIN @ POR,L,33.0,2,3,0.667,0,0,0.0,5,6,0.833,0,8,8,4,1,1,4,2,9,-7,POR,AWAY,Rudy Gobert,False
