player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Scoot Henderson,1630703,2024-10-23,POR vs. GSW,L,28.0,7,18,0.389,0,5,0.0,8,9,0.889,1,3,4,4,0,0,2,3,22,-31,GSW,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-10-25,POR vs. NOP,L,29.0,7,9,0.778,1,3,0.333,0,1,0.0,0,1,1,6,3,0,3,2,15,-8,NOP,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-10-27,POR vs. NOP,W,30.0,2,12,0.167,1,4,0.25,4,4,1.0,1,4,5,7,0,0,4,4,9,20,NOP,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-10-28,POR @ SAC,L,28.0,5,12,0.417,1,2,0.5,7,8,0.875,1,3,4,5,0,0,4,5,18,-4,SAC,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-10-30,POR @ LAC,W,24.0,5,8,0.625,2,3,0.667,2,3,0.667,0,3,3,6,1,0,3,4,14,-3,LAC,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-01,POR vs. OKC,L,25.0,3,8,0.375,1,4,0.25,1,2,0.5,1,2,3,5,0,0,2,1,8,-25,OKC,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-02,POR @ PHX,L,17.0,3,11,0.273,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,0,7,-24,PHX,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-04,POR @ NOP,W,25.0,2,6,0.333,0,3,0.0,1,2,0.5,0,2,2,5,2,0,5,2,5,9,NOP,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-07,POR @ SAS,L,20.0,5,12,0.417,1,2,0.5,0,0,0.0,1,2,3,3,1,0,2,0,11,-9,SAS,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-08,POR @ MIN,L,32.0,6,14,0.429,0,1,0.0,4,4,1.0,2,2,4,3,1,0,3,4,16,0,MIN,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-10,POR vs. MEM,L,26.0,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,8,1,0,3,2,5,-20,MEM,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-12,POR vs. MIN,W,21.0,6,9,0.667,2,2,1.0,0,1,0.0,1,3,4,2,3,0,3,4,14,11,MIN,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-13,POR vs. MIN,W,27.0,4,10,0.4,1,3,0.333,2,2,1.0,0,4,4,5,2,0,5,2,11,-6,MIN,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-17,POR vs. ATL,W,30.0,3,11,0.273,0,4,0.0,0,0,0.0,1,0,1,10,1,1,4,3,6,-10,ATL,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-20,POR @ OKC,L,27.0,3,8,0.375,1,4,0.25,2,2,1.0,1,2,3,8,0,0,4,1,9,0,OKC,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-22,POR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Scoot Henderson,True
Scoot Henderson,1630703,2024-11-23,POR @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Scoot Henderson,True
Scoot Henderson,1630703,2024-11-25,POR @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Scoot Henderson,True
Scoot Henderson,1630703,2024-11-27,POR @ IND,L,35.0,6,11,0.545,3,4,0.75,2,6,0.333,1,1,2,9,0,1,1,4,17,-10,IND,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-11-29,POR vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Scoot Henderson,True
Scoot Henderson,1630703,2024-12-01,POR vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Scoot Henderson,True
Scoot Henderson,1630703,2024-12-03,POR @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Scoot Henderson,True
Scoot Henderson,1630703,2024-12-06,POR vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Scoot Henderson,True
Scoot Henderson,1630703,2024-12-08,POR @ LAL,L,21.0,3,6,0.5,1,3,0.333,6,6,1.0,1,1,2,0,1,0,3,2,13,0,LAL,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-13,POR vs. SAS,L,22.0,2,9,0.222,0,6,0.0,0,0,0.0,0,2,2,5,1,0,1,2,4,-5,SAS,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-15,POR @ PHX,L,19.0,0,4,0.0,0,2,0.0,2,2,1.0,0,1,1,4,0,1,1,4,2,-11,PHX,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-19,POR vs. DEN,W,27.0,2,11,0.182,1,5,0.2,2,3,0.667,2,2,4,4,1,1,2,2,7,5,DEN,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-21,POR @ SAS,L,24.0,4,10,0.4,2,4,0.5,2,4,0.5,1,3,4,1,0,0,1,3,12,-6,SAS,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-23,POR @ DAL,L,26.0,4,11,0.364,2,3,0.667,4,4,1.0,1,5,6,4,1,0,4,5,14,-12,DAL,AWAY,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-26,POR vs. UTA,W,30.0,6,12,0.5,3,6,0.5,3,4,0.75,0,0,0,10,2,1,1,4,18,22,UTA,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-28,POR vs. DAL,W,29.0,8,15,0.533,2,6,0.333,1,3,0.333,0,4,4,6,5,1,1,2,19,3,DAL,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2024-12-30,POR vs. PHI,L,24.0,2,7,0.286,0,4,0.0,2,3,0.667,0,0,0,7,3,0,3,2,6,-11,PHI,HOME,Scoot Henderson,False
Scoot Henderson,1630703,2025-01-02,POR @ LAL,L,32.0,4,7,0.571,1,2,0.5,3,4,0.75,1,4,5,8,1,1,3,5,12,3,LAL,AWAY,Scoot Henderson,False
