player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Simone Fontecchio,1631323,2024-10-23,DET vs. IND,L,15.0,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,3,0,3,IND,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-10-25,DET @ CLE,L,20.0,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,0,0,0,1,0,5,-5,CLE,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-10-26,DET vs. BOS,L,18.0,3,6,0.5,3,5,0.6,2,2,1.0,0,2,2,0,0,0,0,2,11,8,BOS,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-10-28,DET @ MIA,L,22.0,2,9,0.222,1,5,0.2,1,2,0.5,3,1,4,0,0,1,0,0,6,-11,MIA,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-10-30,DET @ PHI,W,17.0,0,1,0.0,0,1,0.0,2,2,1.0,1,3,4,2,0,0,1,1,2,3,PHI,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-01,DET vs. NYK,L,20.0,5,7,0.714,2,4,0.5,0,1,0.0,0,4,4,0,0,0,2,0,12,-17,NYK,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-03,DET @ BKN,W,24.0,1,6,0.167,1,4,0.25,4,5,0.8,2,6,8,1,0,0,0,1,7,10,BKN,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-04,DET vs. LAL,W,13.0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,4,0,3,LAL,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-06,DET @ CHA,L,20.0,3,4,0.75,1,2,0.5,0,0,0.0,1,4,5,1,0,0,0,0,7,6,CHA,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-08,DET vs. ATL,W,20.0,3,6,0.5,1,4,0.25,4,5,0.8,1,4,5,1,1,0,1,1,11,5,ATL,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-10,DET vs. HOU,L,17.0,1,4,0.25,1,3,0.333,2,2,1.0,0,4,4,2,0,0,0,0,5,-5,HOU,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-12,DET vs. MIA,W,23.0,4,8,0.5,2,5,0.4,0,0,0.0,0,2,2,3,0,0,2,2,10,12,MIA,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-13,DET @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Simone Fontecchio,True
Simone Fontecchio,1631323,2024-11-15,DET @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Simone Fontecchio,True
Simone Fontecchio,1631323,2024-11-17,DET @ WAS,W,22.0,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,1,1,0,0,3,6,-4,WAS,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-18,DET vs. CHI,L,15.0,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,0,0,1,2,1,6,7,CHI,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-21,DET @ CHA,L,21.0,3,7,0.429,2,5,0.4,0,0,0.0,0,2,2,1,1,0,1,0,8,19,CHA,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-23,DET @ ORL,L,16.0,1,3,0.333,1,2,0.5,1,2,0.5,0,2,2,0,0,1,0,2,4,-20,ORL,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-25,DET vs. TOR,W,9.0,0,2,0.0,0,2,0.0,1,2,0.5,1,0,1,0,0,0,0,2,1,-14,TOR,HOME,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-27,DET @ MEM,L,22.0,7,9,0.778,3,5,0.6,1,1,1.0,0,2,2,1,0,1,2,1,18,-15,MEM,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-29,DET @ IND,W,17.0,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,2,5,-5,IND,AWAY,Simone Fontecchio,False
Simone Fontecchio,1631323,2024-11-30,DET vs. PHI,L,23.0,2,12,0.167,1,8,0.125,2,2,1.0,0,11,11,2,0,0,2,4,7,7,PHI,HOME,Simone Fontecchio,False
