player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Svi Mykhailiuk,1629004,2024-10-23,UTA vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-10-25,UTA vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-10-28,UTA @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-10-29,UTA vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-10-31,UTA vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-02,UTA @ DEN,L,15.0,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,2,1,0,2,2,6,-1,DEN,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-11-04,UTA @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-07,UTA @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-09,UTA @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-12,UTA vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-14,UTA vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-16,UTA @ SAC,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-11-17,UTA @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-19,UTA @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-21,UTA @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-23,UTA vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-26,UTA vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-11-27,UTA vs. DEN,L,21.0,2,7,0.286,1,6,0.167,2,2,1.0,0,0,0,1,1,0,2,0,7,-9,DEN,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-11-30,UTA vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-01,UTA vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-03,UTA @ OKC,L,12.0,1,2,0.5,1,2,0.5,1,2,0.5,0,0,0,1,2,1,3,3,4,-5,OKC,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-06,UTA @ POR,W,21.0,5,7,0.714,3,4,0.75,0,0,0.0,1,7,8,4,1,0,3,2,13,27,POR,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-08,UTA @ SAC,L,11.0,0,5,0.0,0,5,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,1,SAC,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-13,UTA vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-16,UTA @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-19,UTA @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-21,UTA @ BKN,W,20.0,7,11,0.636,4,8,0.5,0,0,0.0,0,0,0,1,1,0,2,1,18,3,BKN,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-23,UTA @ CLE,L,25.0,4,10,0.4,2,5,0.4,1,2,0.5,0,3,3,3,1,0,2,0,11,-16,CLE,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-26,UTA @ POR,L,25.0,6,13,0.462,6,12,0.5,0,0,0.0,0,1,1,1,1,1,0,0,18,16,POR,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2024-12-28,UTA vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2024-12-30,UTA vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-01,UTA @ NYK,L,16.0,0,6,0.0,0,4,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-12,NYK,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-04,UTA @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-05,UTA @ ORL,W,20.0,4,9,0.444,1,6,0.167,3,3,1.0,0,4,4,3,3,0,3,1,12,9,ORL,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-07,UTA vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-09,UTA vs. MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-11,UTA @ PHX,L,19.0,6,15,0.4,1,8,0.125,0,0,0.0,2,2,4,7,1,0,4,0,13,2,PHX,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-12,UTA vs. BKN,W,17.0,5,9,0.556,4,7,0.571,2,2,1.0,1,0,1,3,1,0,1,2,16,14,BKN,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-15,UTA vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-17,UTA @ NOP,L,28.0,6,14,0.429,3,10,0.3,1,2,0.5,0,5,5,2,0,1,3,4,16,-15,NOP,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-20,UTA @ NOP,L,26.0,7,14,0.5,4,10,0.4,1,1,1.0,1,3,4,0,0,2,1,1,19,8,NOP,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-22,UTA @ OKC,L,16.0,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,0,0,0,1,3,6,-10,OKC,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-25,UTA @ MEM,L,25.0,6,11,0.545,4,8,0.5,0,0,0.0,1,2,3,1,0,0,2,1,16,-23,MEM,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-27,UTA vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-01-28,UTA @ GSW,L,21.0,2,9,0.222,1,5,0.2,0,0,0.0,2,2,4,1,0,0,2,3,5,2,GSW,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-01-30,UTA vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-01,UTA vs. ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-03,UTA vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-05,UTA vs. GSW,W,23.0,3,8,0.375,2,6,0.333,2,3,0.667,0,5,5,4,0,0,0,0,10,2,GSW,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-02-07,UTA @ PHX,L,23.0,2,9,0.222,2,8,0.25,3,4,0.75,2,1,3,3,1,0,0,1,9,7,PHX,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-02-08,UTA @ LAC,L,27.0,4,12,0.333,2,5,0.4,0,0,0.0,1,2,3,0,0,1,2,1,10,2,LAC,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-02-10,UTA @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-12,UTA vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-13,UTA vs. LAC,L,28.0,2,6,0.333,1,5,0.2,2,2,1.0,1,2,3,1,1,0,2,2,7,-8,LAC,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-02-21,UTA vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-22,UTA vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-24,UTA vs. POR,L,22.0,4,14,0.286,2,7,0.286,0,0,0.0,1,1,2,1,0,0,2,0,10,17,POR,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-02-26,UTA vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-02-28,UTA vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-02,UTA vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-03,UTA vs. DET,L,15.0,3,4,0.75,1,2,0.5,1,1,1.0,0,2,2,4,0,0,2,2,8,9,DET,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-05,UTA @ WAS,L,19.0,4,15,0.267,3,8,0.375,0,0,0.0,0,1,1,6,0,0,1,1,11,8,WAS,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-07,UTA @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-09,UTA @ PHI,L,19.0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,1,0,0,0,0,-29,PHI,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-10,UTA @ BOS,L,23.0,3,8,0.375,2,6,0.333,0,0,0.0,1,3,4,2,0,0,1,1,8,-9,BOS,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-12,UTA @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-14,UTA vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-16,UTA @ MIN,L,26.0,3,7,0.429,2,4,0.5,0,0,0.0,0,3,3,2,0,0,2,4,8,-7,MIN,AWAY,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-17,UTA vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-19,UTA vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Svi Mykhailiuk,True
Svi Mykhailiuk,1629004,2025-03-21,UTA vs. BOS,L,19.0,1,5,0.2,0,3,0.0,2,2,1.0,0,1,1,1,1,0,0,1,4,-3,BOS,HOME,Svi Mykhailiuk,False
Svi Mykhailiuk,1629004,2025-03-23,UTA vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Svi Mykhailiuk,True
