player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Taylor Hendricks,1641707,2024-10-23,UTA vs. MEM,L,29.0,4,7,0.571,3,5,0.6,1,2,0.5,2,3,5,0,2,1,0,3,12,2,MEM,HOME,Taylor Hendricks,False
Taylor Hendricks,1641707,2024-10-25,UTA vs. GSW,L,25.0,0,6,0.0,0,4,0.0,0,0,0.0,1,6,7,0,2,2,1,3,0,-20,GSW,HOME,Taylor Hendricks,False
Taylor Hendricks,1641707,2024-10-28,UTA @ DAL,L,21.0,0,5,0.0,0,3,0.0,2,2,1.0,2,1,3,2,1,1,1,2,2,-4,DAL,AWAY,Taylor Hendricks,False
Taylor Hendricks,1641707,2024-10-29,UTA vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-10-31,UTA vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-02,UTA @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-04,UTA @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-07,UTA @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-09,UTA @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-12,UTA vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-14,UTA vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-16,UTA @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-17,UTA @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-19,UTA @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-21,UTA @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-23,UTA vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-26,UTA vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-27,UTA vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-11-30,UTA vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-01,UTA vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-03,UTA @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-06,UTA @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-08,UTA @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-13,UTA vs. PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-16,UTA @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-19,UTA @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-21,UTA @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-23,UTA @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-26,UTA @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-28,UTA vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2024-12-30,UTA vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Taylor Hendricks,True
Taylor Hendricks,1641707,2025-01-01,UTA @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2025-01-04,UTA @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2025-01-05,UTA @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Taylor Hendricks,True
Taylor Hendricks,1641707,2025-01-07,UTA vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Taylor Hendricks,True
