player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Thomas Bryant,1628418,2024-10-23,MIA vs. ORL,L,16.0,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,-2,ORL,HOME,Thomas Bryant,False
Thomas Bryant,1628418,2024-10-26,MIA @ CHA,W,12.0,3,4,0.75,0,0,0.0,0,0,0.0,1,0,1,2,1,1,0,2,6,4,CHA,AWAY,Thomas Bryant,False
Thomas Bryant,1628418,2024-10-28,MIA vs. DET,W,13.0,1,4,0.25,1,4,0.25,1,1,1.0,0,2,2,0,0,0,0,2,4,11,DET,HOME,Thomas Bryant,False
Thomas Bryant,1628418,2024-10-30,MIA vs. NYK,L,15.0,2,3,0.667,2,3,0.667,0,0,0.0,1,2,3,0,0,0,0,2,6,0,NYK,HOME,Thomas Bryant,False
Thomas Bryant,1628418,2024-11-02,MIA @ WAS,W,14.0,1,4,0.25,0,1,0.0,2,2,1.0,3,6,9,0,0,2,0,1,4,-5,WAS,AWAY,Thomas Bryant,False
Thomas Bryant,1628418,2024-11-04,MIA vs. SAC,L,12.0,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,0,0,0,0,0,2,2,SAC,HOME,Thomas Bryant,False
Thomas Bryant,1628418,2024-11-06,MIA @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-08,MIA @ DEN,L,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,0,DEN,AWAY,Thomas Bryant,False
Thomas Bryant,1628418,2024-11-10,MIA @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-12,MIA @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-15,MIA @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-17,MIA @ IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,AWAY,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-18,MIA vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Thomas Bryant,True
Thomas Bryant,1628418,2024-11-24,MIA vs. DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,HOME,Thomas Bryant,True
