player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Torrey Craig,1628470,2024-10-23,CHI @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-10-25,CHI @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-10-26,CHI vs. OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-10-28,CHI @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-10-30,CHI vs. ORL,W,3.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,2,ORL,HOME,Torrey Craig,False
Torrey Craig,1628470,2024-11-01,CHI @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-04,CHI vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-11-06,CHI @ DAL,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,DAL,AWAY,Torrey Craig,False
Torrey Craig,1628470,2024-11-07,CHI vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-11-09,CHI @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-11,CHI vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-11-13,CHI @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-15,CHI @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-17,CHI vs. HOU,L,11.0,1,5,0.2,1,5,0.2,2,2,1.0,0,2,2,1,0,0,0,0,5,-7,HOU,HOME,Torrey Craig,False
Torrey Craig,1628470,2024-11-18,CHI @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-20,CHI @ MIL,L,28.0,6,10,0.6,3,7,0.429,0,0,0.0,2,4,6,2,1,1,0,2,15,-2,MIL,AWAY,Torrey Craig,False
Torrey Craig,1628470,2024-11-22,CHI vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-11-23,CHI vs. MEM,L,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-15,MEM,HOME,Torrey Craig,False
Torrey Craig,1628470,2024-11-26,CHI @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-27,CHI @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-11-29,CHI vs. BOS,L,13.0,4,6,0.667,3,5,0.6,0,0,0.0,1,2,3,0,0,0,0,3,11,-4,BOS,HOME,Torrey Craig,False
Torrey Craig,1628470,2024-12-02,CHI vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-12-05,CHI @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Torrey Craig,True
Torrey Craig,1628470,2024-12-06,CHI vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Torrey Craig,True
Torrey Craig,1628470,2024-12-08,CHI vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Torrey Craig,True
