player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Tre Jones,1630200,2024-10-24,SAS @ DAL,L,16.0,0,2,0.0,0,0,0.0,3,4,0.75,1,0,1,3,1,0,0,0,3,2,DAL,AWAY,Tre Jones,False
Tre Jones,1630200,2024-10-26,SAS vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Tre Jones,True
Tre Jones,1630200,2024-10-28,SAS vs. HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,HOME,Tre Jones,True
Tre Jones,1630200,2024-10-30,SAS @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Tre Jones,True
Tre Jones,1630200,2024-10-31,SAS @ UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,AWAY,Tre Jones,True
Tre Jones,1630200,2024-11-02,SAS vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-04,SAS @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Tre Jones,True
Tre Jones,1630200,2024-11-06,SAS @ HOU,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,HOU,AWAY,Tre Jones,True
Tre Jones,1630200,2024-11-07,SAS vs. POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-09,SAS vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-11,SAS vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-13,SAS vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-15,SAS vs. LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,HOME,Tre Jones,True
Tre Jones,1630200,2024-11-16,SAS @ DAL,L,19.0,1,5,0.2,1,3,0.333,0,0,0.0,0,3,3,4,0,0,1,3,3,1,DAL,AWAY,Tre Jones,False
Tre Jones,1630200,2024-11-19,SAS vs. OKC,W,17.0,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,2,2,3,11,OKC,HOME,Tre Jones,False
Tre Jones,1630200,2024-11-21,SAS vs. UTA,W,18.0,3,6,0.5,0,1,0.0,5,8,0.625,0,3,3,2,0,0,1,3,11,-2,UTA,HOME,Tre Jones,False
Tre Jones,1630200,2024-11-23,SAS vs. GSW,W,23.0,1,3,0.333,0,2,0.0,0,0,0.0,3,3,6,3,0,0,0,1,2,6,GSW,HOME,Tre Jones,False
Tre Jones,1630200,2024-11-26,SAS @ UTA,W,19.0,1,6,0.167,0,2,0.0,0,0,0.0,1,2,3,7,2,0,1,2,2,-7,UTA,AWAY,Tre Jones,False
Tre Jones,1630200,2024-11-27,SAS vs. LAL,L,14.0,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,5,0,0,0,0,2,-11,LAL,HOME,Tre Jones,False
Tre Jones,1630200,2024-12-01,SAS @ SAC,W,14.0,2,2,1.0,1,1,1.0,2,2,1.0,0,1,1,1,2,2,0,1,7,10,SAC,AWAY,Tre Jones,False
Tre Jones,1630200,2024-12-03,SAS @ PHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHO,AWAY,Tre Jones,True
Tre Jones,1630200,2024-12-05,SAS vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Tre Jones,True
Tre Jones,1630200,2024-12-06,SAS vs. SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,HOME,Tre Jones,True
Tre Jones,1630200,2024-12-08,SAS vs. NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,HOME,Tre Jones,True
