player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Trendon Watford,1630570,2024-10-23,BRK @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-10-25,BRK @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-10-27,BRK vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-10-29,BRK vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-10-30,BRK @ MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-11-01,BRK vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-11-03,BRK vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-11-04,BRK vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-11-08,BRK @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-11-09,BRK @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-11-11,BRK @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-11-13,BRK vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-11-15,BRK @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-11-17,BKN @ NYK,L,13.0,1,3,0.333,0,1,0.0,2,2,1.0,0,3,3,3,0,0,1,1,4,4,NYK,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-11-19,BKN vs. CHA,W,19.0,3,6,0.5,0,1,0.0,4,5,0.8,0,4,4,1,1,2,0,1,10,8,CHA,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-11-22,BKN @ PHI,L,16.0,3,7,0.429,0,3,0.0,0,0,0.0,0,3,3,2,0,0,2,3,6,-21,PHI,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-11-24,BKN @ SAC,W,15.0,1,5,0.2,0,1,0.0,1,2,0.5,0,3,3,0,2,1,2,2,3,-10,SAC,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-11-25,BKN @ GSW,W,18.0,3,5,0.6,2,3,0.667,0,0,0.0,1,3,4,1,0,1,1,3,8,3,GSW,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-11-27,BKN @ PHX,W,22.0,6,13,0.462,2,6,0.333,4,4,1.0,1,1,2,3,0,0,3,3,18,3,PHX,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-11-29,BKN vs. ORL,L,20.0,6,11,0.545,0,2,0.0,1,1,1.0,0,3,3,1,0,0,2,4,13,6,ORL,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-12-01,BKN vs. ORL,L,25.0,3,9,0.333,1,2,0.5,6,7,0.857,1,2,3,1,1,0,1,4,13,-13,ORL,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-12-02,BKN @ CHI,L,17.0,4,7,0.571,1,2,0.5,3,5,0.6,1,4,5,1,1,0,2,3,12,-18,CHI,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-12-04,BKN vs. IND,W,21.0,2,8,0.25,1,4,0.25,4,4,1.0,0,3,3,0,0,0,2,4,9,9,IND,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-12-08,BKN vs. MIL,L,13.0,1,2,0.5,0,0,0.0,2,2,1.0,0,3,3,2,0,0,0,2,4,-12,MIL,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-12-13,BKN @ MEM,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,AWAY,Trendon Watford,False
Trendon Watford,1630570,2024-12-16,BKN vs. CLE,L,10.0,2,3,0.667,1,1,1.0,3,3,1.0,0,0,0,0,0,0,0,0,8,-11,CLE,HOME,Trendon Watford,False
Trendon Watford,1630570,2024-12-19,BRK @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-12-21,BRK vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-12-23,BRK @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-12-26,BRK @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Trendon Watford,True
Trendon Watford,1630570,2024-12-27,BRK vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Trendon Watford,True
Trendon Watford,1630570,2024-12-29,BRK @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Trendon Watford,True
Trendon Watford,1630570,2025-01-01,BRK @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Trendon Watford,True
Trendon Watford,1630570,2025-01-02,BRK @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Trendon Watford,True
Trendon Watford,1630570,2025-01-04,BRK vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,Trendon Watford,True
Trendon Watford,1630570,2025-01-06,BRK vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Trendon Watford,True
