player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Tristan Thompson,202684,2024-10-23,CLE @ TOR,W,9.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-1,TOR,AWAY,Tristan Thompson,False
Tristan Thompson,202684,2024-10-25,CLE vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-10-26,CLE @ WAS,W,5.0,0,0,0.0,0,0,0.0,0,4,0.0,0,1,1,0,0,0,1,1,0,-3,WAS,AWAY,Tristan Thompson,False
Tristan Thompson,202684,2024-10-28,CLE @ NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-10-30,CLE vs. LAL,W,5.0,2,2,1.0,0,0,0.0,0,1,0.0,0,3,3,1,0,0,1,0,4,2,LAL,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-11-01,CLE vs. ORL,W,4.0,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,-5,ORL,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-11-02,CLE @ MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-11-04,CLE vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-11-06,CLE @ NOP,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NOP,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-11-08,CLE vs. GSW,W,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,GSW,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-11-09,CLE vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-11-11,CLE @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-11-13,CLE @ PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-11-15,CLE vs. CHI,W,5.0,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,1,1,2,-2,CHI,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-11-17,CLE vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-11-19,CLE @ BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-11-20,CLE vs. NOP,W,21.0,4,7,0.571,0,0,0.0,0,0,0.0,2,7,9,2,0,2,0,4,8,-1,NOP,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-11-24,CLE vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-11-27,CLE vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-11-29,CLE @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-12-01,CLE vs. BOS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BOS,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-12-03,CLE vs. WAS,W,6.0,3,4,0.75,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,0,6,4,WAS,HOME,Tristan Thompson,False
Tristan Thompson,202684,2024-12-05,CLE vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Tristan Thompson,True
Tristan Thompson,202684,2024-12-07,CLE @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Tristan Thompson,True
Tristan Thompson,202684,2024-12-08,CLE @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Tristan Thompson,True
