player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Tyus Jones,1626145,2024-10-23,PHX @ LAC,W,35.0,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,8,2,1,0,0,11,6,LAC,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-10-25,PHX @ LAL,L,32.0,5,8,0.625,2,4,0.5,2,2,1.0,0,2,2,4,1,0,2,0,14,-12,LAL,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-10-26,PHX vs. DAL,W,31.0,3,7,0.429,2,3,0.667,0,0,0.0,0,5,5,7,1,1,0,0,8,6,DAL,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-10-28,PHX vs. LAL,W,31.0,3,8,0.375,1,4,0.25,0,0,0.0,2,4,6,5,3,0,1,1,7,-13,LAL,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-10-31,PHX @ LAC,W,33.0,3,8,0.375,1,4,0.25,0,0,0.0,0,3,3,11,0,0,1,3,7,12,LAC,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-02,PHX vs. POR,W,29.0,5,10,0.5,3,7,0.429,2,2,1.0,2,3,5,6,1,0,1,1,15,5,POR,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-11-04,PHX vs. PHI,W,29.0,2,5,0.4,0,2,0.0,0,0,0.0,1,1,2,5,0,0,2,1,4,-4,PHI,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-11-06,PHX vs. MIA,W,33.0,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,8,0,0,1,1,5,-1,MIA,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-11-08,PHX @ DAL,W,31.0,7,13,0.538,3,5,0.6,0,0,0.0,0,2,2,5,1,0,3,3,17,5,DAL,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-10,PHX vs. SAC,L,40.0,8,14,0.571,6,10,0.6,0,0,0.0,1,1,2,4,2,0,0,1,22,2,SAC,HOME,Tyus Jones,False
Tyus Jones,1626145,2024-11-12,PHX @ UTA,W,33.0,3,7,0.429,1,4,0.25,1,2,0.5,1,0,1,7,0,0,3,1,8,-3,UTA,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-13,PHX @ SAC,L,31.0,3,11,0.273,2,9,0.222,2,2,1.0,2,0,2,8,0,0,0,0,10,-7,SAC,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-15,PHX @ OKC,L,30.0,2,8,0.25,2,8,0.25,1,2,0.5,0,3,3,3,0,0,0,1,7,-14,OKC,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-17,PHX @ MIN,L,37.0,6,12,0.5,1,2,0.5,0,0,0.0,1,4,5,11,3,0,1,1,13,-2,MIN,AWAY,Tyus Jones,False
Tyus Jones,1626145,2024-11-18,PHX vs. ORL,L,32.0,7,17,0.412,4,11,0.364,0,0,0.0,1,1,2,8,0,0,0,1,18,2,ORL,HOME,Tyus Jones,False
