player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Xavier Tillman,1630214,2024-10-22,BOS vs. NYK,W,18.0,1,6,0.167,0,3,0.0,0,0,0.0,3,4,7,2,0,0,0,1,2,-3,NYK,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-10-24,BOS @ WAS,W,15.0,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,1,0,0,1,1,8,15,WAS,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-10-26,BOS @ DET,W,18.0,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,1,2,0,1,2,3,2,DET,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-10-28,BOS vs. MIL,W,15.0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,2,0,10,MIL,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-10-30,BOS @ IND,L,8.0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,0,0,0,2,IND,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-01,BOS @ CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,AWAY,Xavier Tillman,True
Xavier Tillman,1630214,2024-11-02,BOS @ CHA,W,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,CHA,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-04,BOS @ ATL,W,9.0,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,0,2,-3,ATL,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-06,BOS vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-11-08,BOS vs. BKN,W,6.0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-14,BKN,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-10,BOS @ MIL,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,MIL,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-12,BOS vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-11-13,BOS @ BKN,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,BKN,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-16,BOS vs. TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-11-19,BOS vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-11-22,BOS @ WAS,W,9.0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,2,0,1,0,2,WAS,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-24,BOS vs. MIN,W,14.0,1,2,0.5,0,0,0.0,1,2,0.5,0,4,4,0,0,1,0,4,3,-1,MIN,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-25,BOS vs. LAC,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,4,LAC,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-11-29,BOS @ CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,AWAY,Xavier Tillman,True
Xavier Tillman,1630214,2024-12-01,BOS @ CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,AWAY,Xavier Tillman,True
Xavier Tillman,1630214,2024-12-02,BOS vs. MIA,W,11.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,2,MIA,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-12-04,BOS vs. DET,W,8.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,0,0,3,DET,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-12-06,BOS vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-12-07,BOS vs. MEM,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MEM,HOME,Xavier Tillman,True
Xavier Tillman,1630214,2024-12-12,BOS vs. DET,W,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,DET,HOME,Xavier Tillman,False
Xavier Tillman,1630214,2024-12-15,BOS @ WAS,W,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-7,WAS,AWAY,Xavier Tillman,False
Xavier Tillman,1630214,2024-12-19,BOS vs. CHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHI,HOME,Xavier Tillman,True
