strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,330,165,164,1,50.15197568389058,-1540.0,-4.242424242424243,-15.342424242424244
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,238,115,123,0,48.319327731092436,-2030.0,-7.754010695187167,-13.254010695187166
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,214,109,105,0,50.93457943925234,-650.0,-2.76125743415463,-8.161257434154631
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,210,101,107,2,48.55769230769231,-1670.0,-7.22943722943723,-14.12943722943723
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,206,96,109,1,46.82926829268293,-2390.0,-10.54721977052074,-15.64721977052074
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,201,96,105,0,47.76119402985074,-1950.0,-8.819538670284938,-15.419538670284938
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,189,78,111,0,41.269841269841265,-4410.0,-21.21212121212121,-30.51212121212121
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,185,92,92,1,50.0,-920.0,-4.520884520884521,-11.32088452088452
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,175,90,85,0,51.42857142857142,-350.0,-1.8181818181818181,-8.818181818181818
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,163,94,69,0,57.668711656441715,1810.0,10.094813162297825,0.5948131622978252
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,154,76,78,0,49.35064935064935,-980.0,-5.785123966942149,-12.48512396694215
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,151,75,74,2,50.33557046979866,-640.0,-3.853100541842264,-12.453100541842264
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,149,71,78,0,47.651006711409394,-1480.0,-9.029896278218425,-15.629896278218425
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,148,72,76,0,48.64864864864865,-1160.0,-7.125307125307126,-13.325307125307127
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,145,66,79,0,45.51724137931035,-2090.0,-13.10344827586207,-21.00344827586207
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,101,48,53,0,47.524752475247524,-1030.0,-9.27092709270927,-18.07092709270927
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,97,56,41,0,57.73195876288659,1090.0,10.21555763823805,-15.78444236176195
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,83,38,45,0,45.78313253012048,-1150.0,-12.595837897042717,-24.49583789704272
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,80,39,41,0,48.75,-610.0,-6.931818181818182,-16.831818181818182
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,69,34,35,0,49.275362318840585,-450.0,-5.928853754940711,-12.928853754940711
