game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-21,Stephen Curry,Golden State Warriors,GSW @ LAL,26.261904761904763,-2.5454545454545454,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,23,WIN,-3.2619047619047628,100.0
2025-10-21,Cason Wallace,Oklahoma City Thunder,OKC vs. HOU,7.5,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,14,WIN,6.5,100.0
2025-10-21,Kevin Durant,Houston Rockets,HOU @ OKC,24.13157894736842,6.454545454545454,20-25 (Star),6-10 Dog,Perimeter (<40.0%),19,OVER,5.1,6.7,55.1,69,23,LOSS,-1.1315789473684212,-110.0
2025-10-21,Alex Caruso,Oklahoma City Thunder,OKC vs. HOU,8.863636363636363,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,8,LOSS,-0.8636363636363633,-110.0
2025-10-21,Luguentz Dort,Oklahoma City Thunder,OKC vs. HOU,9.5,-6.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,6,LOSS,-3.5,-110.0
2025-10-21,Jake LaRavia,Los Angeles Lakers,LAL vs. GSW,5.5,2.5454545454545454,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,5,LOSS,-0.5,-110.0
2025-10-22,Tyrese Maxey,Philadelphia 76ers,PHI @ BOS,25.35,5.0,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,40,WIN,14.649999999999999,100.0
2025-10-22,Anthony Edwards,Minnesota Timberwolves,MIN @ POR,26.1,-5.0,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,41,LOSS,14.899999999999999,-110.0
2025-10-22,OG Anunoby,New York Knicks,NYK vs. CLE,16.147058823529413,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),12,UNDER,6.8,4.4,56.0,109,24,LOSS,7.852941176470587,-110.0
2025-10-22,Zion Williamson,New Orleans Pelicans,NOP @ MEM,24.92105263157895,4.090909090909091,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,27,LOSS,2.0789473684210513,-110.0
