strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
50,10-15 (Role Player),2-6 Fav,Perimeter (<40.0%),UNDER,-4.9,49.8,242,394,214,177,3,54.73145780051151,1754.7399999999984,4.453654822335022,9.353654822335022,2024-25
49,10-15 (Role Player),2-6 Fav,Perimeter (<40.0%),OVER,-4.1,50.2,242,394,177,214,3,45.26854219948849,-5308.930000000001,-13.474441624365486,-9.374441624365486,2024-25
59,10-15 (Role Player),2-6 Dog,Perimeter (<40.0%),OVER,-7.9,48.2,226,373,182,189,2,49.056603773584904,-2354.380000000002,-6.312010723860595,1.587989276139405,2024-25
40,10-15 (Role Player),2-6 Dog,Perimeter (<40.0%),UNDER,-1.2,51.8,226,373,189,182,2,50.943396226415096,-1018.0100000000016,-2.7292493297587175,-1.5292493297587175,2024-25
35,5-10 (Bench),2-6 Fav,Perimeter (<40.0%),UNDER,1.0,52.9,225,367,178,188,1,48.63387978142077,-2618.0200000000013,-7.133569482288832,-8.13356948228883,2024-25
64,5-10 (Bench),2-6 Fav,Perimeter (<40.0%),OVER,-10.1,47.1,225,367,188,178,1,51.36612021857923,-708.9200000000014,-1.9316621253406034,8.168337874659397,2024-25
6,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,10.2,57.7,194,330,165,164,1,50.15197568389058,-1399.8500000000015,-4.241969696969702,-14.4419696969697,2024-25
93,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),UNDER,-19.3,42.3,194,330,164,165,1,49.848024316109424,-1590.7600000000014,-4.820484848484853,14.479515151515148,2024-25
57,5-10 (Bench),2-6 Dog,Perimeter (<40.0%),UNDER,-7.4,48.5,238,328,170,157,1,51.98776758409785,-245.30000000000064,-0.7478658536585385,6.652134146341462,2024-25
43,5-10 (Bench),2-6 Dog,Perimeter (<40.0%),OVER,-1.7,51.5,238,328,157,170,1,48.01223241590214,-2727.130000000001,-8.31442073170732,-6.6144207317073205,2024-25
13,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),UNDER,7.1,56.1,148,317,155,161,1,49.050632911392405,-2008.950000000001,-6.337381703470034,-13.437381703470034,2024-25
86,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),OVER,-16.2,43.9,148,317,161,155,1,50.9493670886076,-863.4900000000009,-2.723943217665618,13.476056782334382,2024-25
39,15-20 (High Role),2-6 Dog,Perimeter (<40.0%),UNDER,-0.2,52.3,155,312,136,176,0,43.58974358974359,-5236.240000000002,-16.782820512820518,-16.58282051282052,2024-25
60,15-20 (High Role),2-6 Dog,Perimeter (<40.0%),OVER,-8.9,47.7,155,312,176,136,0,56.41025641025641,2400.159999999999,7.69282051282051,16.59282051282051,2024-25
63,15-20 (High Role),2-6 Fav,Perimeter (<40.0%),OVER,-9.9,47.2,195,308,164,144,0,53.246753246753244,509.239999999999,1.6533766233766198,11.55337662337662,2024-25
36,15-20 (High Role),2-6 Fav,Perimeter (<40.0%),UNDER,0.8,52.8,195,308,144,164,0,46.75324675324675,-3308.960000000002,-10.74337662337663,-11.54337662337663,2024-25
74,10-15 (Role Player),6-10 Dog,Perimeter (<40.0%),UNDER,-11.5,46.4,207,297,159,138,0,53.535353535353536,654.6899999999986,2.2043434343434294,13.704343434343428,2024-25
24,10-15 (Role Player),6-10 Dog,Perimeter (<40.0%),OVER,2.4,53.6,207,297,138,159,0,46.464646464646464,-3354.4200000000014,-11.294343434343439,-13.69434343434344,2024-25
53,10-15 (Role Player),6-10 Fav,Perimeter (<40.0%),OVER,-6.2,49.1,173,290,140,150,0,48.275862068965516,-2272.600000000001,-7.8365517241379345,-1.6365517241379344,2024-25
46,10-15 (Role Player),6-10 Fav,Perimeter (<40.0%),UNDER,-2.9,50.9,173,290,150,140,0,51.724137931034484,-363.5000000000009,-1.2534482758620722,1.6465517241379277,2024-25
48,10-15 (Role Player),2-6 Fav,Rim Attacker (≥40.0%),OVER,-3.8,50.4,131,276,142,134,0,51.449275362318836,-490.7800000000015,-1.7781884057971071,2.0218115942028927,2024-25
