player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Jericho Sims,1630579,45,39,86.7,91.8,3.7,21,1
Kelly Olynyk,203482,25,20,80.0,38.5,2.9,14,2
Ryan Kalkbrenner,1641750,125,99,79.2,95.4,7.1,28,3
Robert Williams III,1629057,89,70,78.7,85.6,5.4,26,4
Jaxson Hayes,1629637,101,79,78.2,94.4,5.1,31,5
Joan Beringer,1642866,26,20,76.9,96.3,4.0,10,6
Jakob Poeltl,1627751,97,74,76.3,76.4,7.0,21,7
Goga Bitadze,1629048,115,87,75.7,87.1,5.0,35,8
Giannis Antetokounmpo,203507,332,251,75.6,74.8,20.1,25,9
Deandre Ayton,1629028,219,163,74.4,68.2,9.6,34,10
Rudy Gobert,203497,240,177,73.8,94.5,8.8,40,11
Isaiah Hartenstein,1628392,130,96,73.8,72.2,8.0,24,12
Will Richard,1642954,57,42,73.7,30.8,3.0,28,13
Jalen Suggs,1630591,72,53,73.6,28.0,4.8,22,14
Mouhamed Gueye,1631243,68,50,73.5,41.7,3.4,29,15
Zach Edey,1641744,68,50,73.5,69.4,9.1,11,16
Thomas Bryant,1628418,45,33,73.3,47.4,3.7,18,17
Karlo Matković,1631255,71,52,73.2,71.7,3.9,27,18
Mikal Bridges,1628969,138,101,73.2,28.0,5.3,38,19
Chet Holmgren,1631096,197,144,73.1,47.8,8.2,35,20
Jay Huff,1630643,85,62,72.9,31.7,3.6,34,21
Derrick Jones Jr.,1627884,55,40,72.7,47.0,5.0,16,22
Luka Dončić,1629029,116,84,72.4,16.7,6.0,28,23
John Collins,1628381,172,124,72.1,49.1,6.7,37,24
Kevin Durant,201142,89,64,71.9,14.3,4.3,30,25
Ziaire Williams,1630533,46,33,71.7,22.5,3.1,21,26
Austin Reaves,1630559,120,86,71.7,32.2,7.5,23,27
Neemias Queta,1629674,211,151,71.6,84.4,8.2,37,28
Asa Newell,1642854,49,35,71.4,45.4,4.4,16,29
Nikola Jokić,203999,266,190,71.4,47.5,11.9,32,30
