player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Kyle Kuzma,player_rebounds,4.5,104,betrivers,0.49019607843137253,122,fanduel,0.45045045045045046,0.940646528881823,6.309859154929587,True,52.11,47.89,106.3,106.32,6.3,100.0,"Bet $52.11 Over @ betrivers, $47.89 Under @ fanduel",Milwaukee Bucks @ Detroit Pistons,2025-12-07T00:40:00Z,6
C.J. McCollum,player_threes,2.5,110,bovada,0.47619047619047616,110,draftkings,0.47619047619047616,0.9523809523809523,5.000000000000004,True,50.0,50.0,105.0,105.0,5.0,100.0,"Bet $50.00 Over @ bovada, $50.00 Under @ draftkings",Atlanta Hawks @ Washington Wizards,2025-12-07T00:11:00Z,8
Ron Holland,player_threes,0.5,117,betonlineag,0.4608294930875576,-105,betmgm,0.5121951219512195,0.9730246150387771,2.772322975626662,True,47.36,52.64,102.77,102.77,2.77,100.0,"Bet $47.36 Over @ betonlineag, $52.64 Under @ betmgm",Milwaukee Bucks @ Detroit Pistons,2025-12-07T00:40:00Z,4
Jonathan Kuminga,player_assists,2.5,-118,betmgm,0.5412844036697249,130,fanduel,0.43478260869565216,0.976067012365377,2.4519820187985264,True,55.46,44.54,102.46,102.44,2.44,100.0,"Bet $55.46 Over @ betmgm, $44.54 Under @ fanduel",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,6
Gui Santos,player_rebounds,3.5,-101,betonlineag,0.5024875621890548,110,betmgm,0.47619047619047616,0.9786780383795309,2.178649237472774,True,51.34,48.66,102.17,102.19,2.17,100.0,"Bet $51.34 Over @ betonlineag, $48.66 Under @ betmgm",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,6
Isaiah Stewart II,player_assists,1.5,172,draftkings,0.36764705882352944,-160,betmgm,0.6153846153846154,0.9830316742081449,1.7261219792865212,True,37.4,62.6,101.73,101.72,1.73,100.0,"Bet $37.40 Over @ draftkings, $62.60 Under @ betmgm",Milwaukee Bucks @ Detroit Pistons,2025-12-07T00:40:00Z,4
Malik Monk,player_assists,3.5,115,betrivers,0.4651162790697675,-110,betmgm,0.5238095238095238,0.9889258028792913,1.119820828667395,True,47.03,52.97,101.11,101.12,1.11,100.0,"Bet $47.03 Over @ betrivers, $52.97 Under @ betmgm",Sacramento Kings @ Miami Heat,2025-12-07T01:10:00Z,8
Caris LeVert,player_threes,1.5,162,draftkings,0.3816793893129772,-155,betmgm,0.6078431372549019,0.9895225265678791,1.0588413250642859,True,38.57,61.43,101.05,101.06,1.05,100.0,"Bet $38.57 Over @ draftkings, $61.43 Under @ betmgm",Milwaukee Bucks @ Detroit Pistons,2025-12-07T00:40:00Z,7
Justin Champagnie,player_threes,0.5,-163,draftkings,0.6197718631178707,170,betmgm,0.37037037037037035,0.990142233488241,0.9955909543450492,True,62.59,37.41,100.99,101.01,0.99,100.0,"Bet $62.59 Over @ draftkings, $37.41 Under @ betmgm",Atlanta Hawks @ Washington Wizards,2025-12-07T00:11:00Z,5
Evan Mobley,player_threes,1.5,180,betmgm,0.3571428571428572,-174,fanduel,0.635036496350365,0.9921793534932222,0.788229111928529,True,36.0,64.0,100.8,100.78,0.78,100.0,"Bet $36.00 Over @ betmgm, $64.00 Under @ fanduel",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,8
Kyshawn George,player_rebounds,5.5,120,bovada,0.4545454545454546,-117,draftkings,0.5391705069124424,0.993715961457897,0.6323777403035358,True,45.74,54.26,100.63,100.64,0.63,100.0,"Bet $45.74 Over @ bovada, $54.26 Under @ draftkings",Atlanta Hawks @ Washington Wizards,2025-12-07T00:11:00Z,8
Isaiah Stewart II,player_blocks,1.5,123,draftkings,0.44843049327354256,-120,betmgm,0.5454545454545454,0.993885038728088,0.6152584085315826,True,45.12,54.88,100.62,100.61,0.61,100.0,"Bet $45.12 Over @ draftkings, $54.88 Under @ betmgm",Milwaukee Bucks @ Detroit Pistons,2025-12-07T00:40:00Z,3
Anthony Edwards,player_rebounds,4.5,-122,fanduel,0.5495495495495496,125,bovada,0.4444444444444444,0.993993993993994,0.6042296072507503,True,55.29,44.71,100.61,100.6,0.6,100.0,"Bet $55.29 Over @ fanduel, $44.71 Under @ bovada",Los Angeles Clippers @ Minnesota Timberwolves,2025-12-07T01:10:00Z,8
Jaime Jaquez Jr,player_threes,0.5,125,betmgm,0.4444444444444444,-122,betonlineag,0.5495495495495496,0.993993993993994,0.6042296072507503,True,44.71,55.29,100.6,100.61,0.6,100.0,"Bet $44.71 Over @ betmgm, $55.29 Under @ betonlineag",Sacramento Kings @ Miami Heat,2025-12-07T01:10:00Z,6
