player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Lauri Markkanen,player_rebounds,8.5,185.0,bovada,0.3508771929824561,114.0,fanduel,0.4672897196261682,0.8181669126086244,22.22444889779558,True,42.89,57.11,122.22,122.22,22.22,100.0,"Bet $42.89 Over @ bovada, $57.11 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,5.38,0.58,2025-12-16T03:49:12Z,2025-12-16T03:54:00Z,2025-12-15 22:54:34 ET,5.38,True,bovada,True
Ace Bailey,player_points,10.5,104.0,fanduel,0.49019607843137253,155.0,bovada,0.39215686274509803,0.8823529411764706,13.33333333333333,True,55.56,44.44,113.33,113.33,13.33,100.0,"Bet $55.56 Over @ fanduel, $44.44 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.58,5.38,2025-12-16T03:54:00Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,True
Ace Bailey,player_threes,1.5,160.0,fanatics,0.38461538461538464,100.0,bovada,0.5,0.8846153846153846,13.043478260869579,True,43.48,56.52,113.04,113.04,13.04,100.0,"Bet $43.48 Over @ fanatics, $56.52 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,1.46,5.38,2025-12-16T03:53:07Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,True
Ace Bailey,player_points,9.5,-140.0,draftkings,0.5833333333333334,215.0,bovada,0.31746031746031744,0.9007936507936508,11.013215859030833,True,64.76,35.24,111.01,111.01,11.01,100.0,"Bet $64.76 Over @ draftkings, $35.24 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.18,5.38,2025-12-16T03:54:24Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,True
P.J. Washington,player_threes,1.5,160.0,draftkings,0.38461538461538464,-110.0,bovada,0.5238095238095238,0.9084249084249085,10.080645161290303,True,42.34,57.66,110.08,110.08,10.08,100.0,"Bet $42.34 Over @ draftkings, $57.66 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.31,5.38,2025-12-16T03:53:16Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,True
Keyonte George,player_assists,7.5,150.0,bovada,0.4,-112.0,fanduel,0.5283018867924528,0.9283018867924528,7.72357723577235,True,43.09,56.91,107.72,107.72,7.72,100.0,"Bet $43.09 Over @ bovada, $56.91 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,5,5.38,0.58,2025-12-16T03:49:12Z,2025-12-16T03:54:00Z,2025-12-15 22:54:34 ET,5.38,True,bovada,False
Naji Marshall,player_points,14.5,120.0,bovada,0.45454545454545453,100.0,fanduel,0.5,0.9545454545454546,4.761904761904767,True,47.62,52.38,104.76,104.76,4.76,100.0,"Bet $47.62 Over @ bovada, $52.38 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,5.38,0.58,2025-12-16T03:49:12Z,2025-12-16T03:54:00Z,2025-12-15 22:54:34 ET,5.38,True,bovada,False
Ace Bailey,player_points_rebounds_assists,16.5,-125.0,draftkings,0.5555555555555556,150.0,bovada,0.4,0.9555555555555556,4.6511627906976605,True,58.14,41.86,104.65,104.65,4.65,100.0,"Bet $58.14 Over @ draftkings, $41.86 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.18,5.38,2025-12-16T03:54:24Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,False
Naji Marshall,player_rebounds,4.5,112.0,fanduel,0.4716981132075472,105.0,bovada,0.4878048780487805,0.9595029912563277,4.22062350119905,True,49.16,50.84,104.22,104.22,4.22,100.0,"Bet $49.16 Over @ fanduel, $50.84 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.58,5.38,2025-12-16T03:54:00Z,2025-12-16T03:49:12Z,2025-12-15 22:54:34 ET,5.38,True,bovada,False
Cooper Flagg,player_rebounds,5.5,-112.0,fanduel,0.5283018867924528,129.0,williamhill_us,0.4366812227074236,0.9649831094998764,3.6287568306010876,True,54.75,45.25,103.63,103.63,3.63,100.0,"Bet $54.75 Over @ fanduel, $45.25 Under @ williamhill_us",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,0.58,0.86,2025-12-16T03:54:00Z,2025-12-16T03:53:43Z,2025-12-15 22:54:34 ET,0.86,False,,False
