player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Karl-Anthony Towns,player_threes,2.5,185,bovada,0.3508771929824562,140,draftkings,0.4166666666666667,0.7675438596491229,30.28571428571427,True,45.71,54.29,130.27,130.3,30.27,100.0,"Bet $45.71 Over @ bovada, $54.29 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Stephon Castle,player_assists,6.5,190,bovada,0.34482758620689663,116,fanduel,0.46296296296296297,0.8077905491698596,23.79446640316205,True,42.69,57.31,123.8,123.79,23.79,100.0,"Bet $42.69 Over @ bovada, $57.31 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,0.20434211666666666,0.7543421166666667,0.7543421166666667,False,,2025-12-16 20:45:46 ET
Stephon Castle,player_rebounds,6.5,205,bovada,0.3278688524590163,-120,draftkings,0.5454545454545454,0.8733233979135617,14.50511945392492,True,37.54,62.46,114.5,114.51,14.5,100.0,"Bet $37.54 Over @ bovada, $62.46 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Jalen Brunson,player_assists,7.5,165,bovada,0.37735849056603776,100,draftkings,0.5,0.8773584905660378,13.978494623655902,True,43.01,56.99,113.98,113.98,13.98,100.0,"Bet $43.01 Over @ bovada, $56.99 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Victor Wembanyama,player_rebounds,8.5,102,fanduel,0.495049504950495,160,bovada,0.38461538461538464,0.8796648895658796,13.679653679653692,True,56.28,43.72,113.69,113.67,13.67,100.0,"Bet $56.28 Over @ fanduel, $43.72 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,0.7543421166666667,0.20434211666666666,0.7543421166666667,False,,2025-12-16 20:45:46 ET
Victor Wembanyama,player_points_rebounds_assists,32.5,120,betrivers,0.45454545454545453,130,bovada,0.43478260869565216,0.8893280632411067,12.444444444444457,True,51.11,48.89,112.44,112.45,12.44,100.0,"Bet $51.11 Over @ betrivers, $48.89 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,2.8543421166666665,0.20434211666666666,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
Karl-Anthony Towns,player_rebounds,12.5,180,bovada,0.3571428571428572,-120,draftkings,0.5454545454545454,0.9025974025974026,10.79136690647482,True,39.57,60.43,110.8,110.79,10.79,100.0,"Bet $39.57 Over @ bovada, $60.43 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Mitchell Robinson,player_points,2.5,-115,draftkings,0.5348837209302325,165,bovada,0.37735849056603776,0.9122422114962703,9.620009620009618,True,58.63,41.37,109.61,109.63,9.61,100.0,"Bet $58.63 Over @ draftkings, $41.37 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.6876754500000001,0.20434211666666666,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Karl-Anthony Towns,player_points,24.5,170,bovada,0.37037037037037035,-120,draftkings,0.5454545454545454,0.9158249158249158,9.191176470588246,True,40.44,59.56,109.19,109.19,9.19,100.0,"Bet $40.44 Over @ bovada, $59.56 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Victor Wembanyama,player_assists,2.5,-108,betrivers,0.5192307692307693,150,bovada,0.4,0.9192307692307693,8.786610878661083,True,56.49,43.51,108.8,108.78,8.77,100.0,"Bet $56.49 Over @ betrivers, $43.51 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,2.8543421166666665,0.20434211666666666,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
Karl-Anthony Towns,player_rebounds,11.5,120,bovada,0.45454545454545453,108,fanduel,0.4807692307692308,0.9353146853146853,6.915887850467284,True,48.6,51.4,106.92,106.91,6.91,100.0,"Bet $48.60 Over @ bovada, $51.40 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,0.20434211666666666,0.7543421166666667,0.7543421166666667,False,,2025-12-16 20:45:46 ET
OG Anunoby,player_points,18.5,160,bovada,0.3846153846153846,-125,draftkings,0.5555555555555556,0.9401709401709402,6.363636363636371,True,40.91,59.09,106.37,106.36,6.36,100.0,"Bet $40.91 Over @ bovada, $59.09 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
