player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Deni Avdija,player_threes,1.5,120,fanatics,0.45454545454545453,11:50:26 PM ET,200,bovada,0.3333333333333333,11:50:36 PM ET,0.7878787878787878,26.923076923076938,True,57.69,42.31,126.92,126.93,26.92,100.0,"Bet $57.69 Over @ fanatics, $42.31 Under @ bovada",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,4,0.37104215,0.20437548333333336,0.37104215,False,,2025-12-20 23:50:48 ET
Toumani Camara,player_rebounds,4.5,168,fanduel,0.373134328358209,11:50:36 PM ET,140,bovada,0.4166666666666667,11:50:36 PM ET,0.7898009950248757,26.61417322834645,True,47.24,52.76,126.6,126.62,26.6,100.0,"Bet $47.24 Over @ fanduel, $52.76 Under @ bovada",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,4,0.20437548333333336,0.20437548333333336,0.20437548333333336,False,,2025-12-20 23:50:48 ET
Deni Avdija,player_rebounds,6.5,144,fanduel,0.4098360655737705,11:50:36 PM ET,145,bovada,0.40816326530612246,11:50:36 PM ET,0.817999330879893,22.249488752556235,True,50.1,49.9,122.24,122.26,22.24,100.0,"Bet $50.10 Over @ fanduel, $49.90 Under @ bovada",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,4,0.20437548333333336,0.20437548333333336,0.20437548333333336,False,,2025-12-20 23:50:48 ET
Kawhi Leonard,player_threes,2.5,125,bovada,0.44444444444444436,11:44:08 PM ET,162,fanduel,0.3816793893129771,11:50:05 PM ET,0.8261238337574215,21.047227926078026,True,53.8,46.2,121.05,121.04,21.04,100.0,"Bet $53.80 Over @ bovada, $46.20 Under @ fanduel",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,2,6.67104215,0.72104215,6.67104215,True,bovada,2025-12-20 23:50:48 ET
Ace Bailey,player_points,11.5,100,fanduel,0.5,11:50:09 PM ET,180,bovada,0.35714285714285715,11:42:38 PM ET,0.8571428571428572,16.66666666666665,True,58.33,41.67,116.66,116.68,16.66,100.0,"Bet $58.33 Over @ fanduel, $41.67 Under @ bovada",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,2,0.6543754833333334,8.17104215,8.17104215,True,bovada,2025-12-20 23:50:48 ET
Kawhi Leonard,player_assists,2.5,116,fanduel,0.4629629629629629,11:50:05 PM ET,150,bovada,0.4,11:44:08 PM ET,0.8629629629629629,15.879828326180267,True,53.65,46.35,115.88,115.88,15.88,100.0,"Bet $53.65 Over @ fanduel, $46.35 Under @ bovada",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,2,0.72104215,6.67104215,6.67104215,True,bovada,2025-12-20 23:50:48 ET
Deni Avdija,player_points,23.5,-110,fanduel,0.5238095238095238,11:50:36 PM ET,190,bovada,0.3448275862068966,11:50:36 PM ET,0.8686371100164204,15.122873345935716,True,60.3,39.7,115.12,115.13,15.12,100.0,"Bet $60.30 Over @ fanduel, $39.70 Under @ bovada",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,3,0.20437548333333336,0.20437548333333336,0.20437548333333336,False,,2025-12-20 23:50:48 ET
Shaedon Sharpe,player_assists,3.5,105,bovada,0.4878048780487805,11:50:36 PM ET,158,fanduel,0.3875968992248062,11:50:36 PM ET,0.8754017772735867,14.233261339092863,True,55.72,44.28,114.23,114.24,14.23,100.0,"Bet $55.72 Over @ bovada, $44.28 Under @ fanduel",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,2,0.20437548333333336,0.20437548333333336,0.20437548333333336,False,,2025-12-20 23:50:48 ET
Paolo Banchero,player_points,23.5,-102,fanduel,0.504950495049505,11:50:09 PM ET,160,bovada,0.38461538461538464,11:42:38 PM ET,0.8895658796648895,12.414383561643838,True,56.76,43.24,112.41,112.42,12.41,100.0,"Bet $56.76 Over @ fanduel, $43.24 Under @ bovada",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,3,0.6543754833333334,8.17104215,8.17104215,True,bovada,2025-12-20 23:50:48 ET
Donovan Clingan,player_rebounds,10.5,110,bovada,0.47619047619047616,11:50:36 PM ET,136,fanduel,0.423728813559322,11:50:36 PM ET,0.8999192897497982,11.121076233183857,True,52.91,47.09,111.11,111.13,11.11,100.0,"Bet $52.91 Over @ bovada, $47.09 Under @ fanduel",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,2,0.20437548333333336,0.20437548333333336,0.20437548333333336,False,,2025-12-20 23:50:48 ET
