player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Trae Young,player_threes,1.5,260,fanduel,0.27777777777777785,09:49:02 PM ET,200,bovada,0.3333333333333333,09:50:02 PM ET,0.6111111111111112,63.636363636363626,True,45.45,54.55,163.62,163.65,63.62,100.0,"Bet $45.45 Over @ fanduel, $54.55 Under @ bovada",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,1.7946624333333332,0.7946624333333333,1.7946624333333332,False,,2025-12-23 21:50:49 ET
Jalen Johnson,player_threes,1.5,430,fanduel,0.18867924528301883,09:49:02 PM ET,100,bovada,0.5,09:50:02 PM ET,0.6886792452830188,45.205479452054796,True,27.4,72.6,145.22,145.2,45.2,100.0,"Bet $27.40 Over @ fanduel, $72.60 Under @ bovada",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,2,1.7946624333333332,0.7946624333333333,1.7946624333333332,False,,2025-12-23 21:50:49 ET
Joel Embiid,player_rebounds,6.5,220,fanduel,0.3125,09:38:10 PM ET,145,bovada,0.40816326530612246,09:50:23 PM ET,0.7206632653061225,38.76106194690265,True,43.36,56.64,138.75,138.77,38.75,100.0,"Bet $43.36 Over @ fanduel, $56.64 Under @ bovada",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,12.6613291,0.4446624333333334,12.6613291,True,fanduel,2025-12-23 21:50:49 ET
De'Aaron Fox,player_threes,1.5,186,williamhill_us,0.34965034965034963,09:50:36 PM ET,155,bovada,0.39215686274509803,09:50:25 PM ET,0.7418072123954477,34.80591497227357,True,47.13,52.87,134.79,134.82,34.79,100.0,"Bet $47.13 Over @ williamhill_us, $52.87 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.22799576666666665,0.4113291,0.4113291,False,,2025-12-23 21:50:49 ET
Bennedict Mathurin,player_threes,1.5,154,draftkings,0.3937007874015748,09:38:53 PM ET,180,bovada,0.35714285714285715,09:49:04 PM ET,0.750843644544432,33.18352059925094,True,52.43,47.57,133.17,133.2,33.17,100.0,"Bet $52.43 Over @ draftkings, $47.57 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,2,11.944662433333333,1.7613291,11.944662433333333,True,draftkings,2025-12-23 21:50:49 ET
Paul George,player_rebounds,4.5,235,fanduel,0.2985074626865671,09:38:10 PM ET,115,bovada,0.46511627906976744,09:50:23 PM ET,0.7636237417563345,30.954545454545478,True,39.09,60.91,130.95,130.96,30.95,100.0,"Bet $39.09 Over @ fanduel, $60.91 Under @ bovada",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,12.6613291,0.4446624333333334,12.6613291,True,fanduel,2025-12-23 21:50:49 ET
Chet Holmgren,player_rebounds,6.5,126,williamhill_us,0.44247787610619466,09:50:36 PM ET,210,bovada,0.3225806451612903,09:50:25 PM ET,0.765058521267485,30.708955223880597,True,57.84,42.16,130.72,130.7,30.7,100.0,"Bet $57.84 Over @ williamhill_us, $42.16 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.22799576666666665,0.4113291,0.4113291,False,,2025-12-23 21:50:49 ET
Donte DiVincenzo,player_points,11.5,116,fanduel,0.462962962962963,09:50:01 PM ET,215,bovada,0.31746031746031744,09:48:08 PM ET,0.7804232804232805,28.135593220338983,True,59.32,40.68,128.13,128.14,28.13,100.0,"Bet $59.32 Over @ fanduel, $40.68 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,2,0.8113291,2.6946624333333333,2.6946624333333333,True,bovada,2025-12-23 21:50:49 ET
Shai Gilgeous-Alexander,player_threes,1.5,165,draftkings,0.3773584905660377,09:50:20 PM ET,140,bovada,0.4166666666666667,09:50:25 PM ET,0.7940251572327044,25.940594059405942,True,47.52,52.48,125.93,125.95,25.93,100.0,"Bet $47.52 Over @ draftkings, $52.48 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.4946624333333334,0.4113291,0.4946624333333334,False,,2025-12-23 21:50:49 ET
Cam Spencer,player_threes,2.5,154,fanduel,0.39370078740157477,09:50:25 PM ET,145,bovada,0.40816326530612246,09:49:08 PM ET,0.8018640527076972,24.709418837675344,True,49.1,50.9,124.71,124.71,24.71,100.0,"Bet $49.10 Over @ fanduel, $50.90 Under @ bovada",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:12:00Z,True,4,0.4113291,1.6946624333333333,1.6946624333333333,False,,2025-12-23 21:50:49 ET
