player,fanduel_odds,fanduel_implied_prob,fair_prob,fair_odds,vig_pct,fetch_date
Shai Gilgeous-Alexander,-450,0.8181818181818182,0.7756882923996878,-345.8082062224951,5.478170316412976,2026-01-09
Luka Doncic,750,0.1176470588235294,0.11153687864570673,796.5644476895104,5.478170316412974,2026-01-09
Cade Cunningham,1800,0.0526315789473684,0.04989807728886878,1904.0852360118479,5.478170316412978,2026-01-09
Jaylen Brown,4000,0.024390243902439,0.023123499231426984,4224.604982972935,5.478170316412982,2026-01-09
Jalen Brunson,7500,0.0131578947368421,0.012474519322217196,7916.34094404739,5.478170316412978,2026-01-09
Anthony Edwards,10000,0.0099009900990099,0.009386767014737694,10553.295201957713,5.478170316412977,2026-01-09
Tyrese Maxey,10000,0.0099009900990099,0.009386767014737694,10553.295201957713,5.478170316412977,2026-01-09
Donovan Mitchell,20000,0.0049751243781094,0.004716733674072125,21101.112233599237,5.47817031641298,2026-01-09
Kawhi Leonard,100000,0.0009990009990009,0.000947116352136277,105483.64848673987,5.478170316412977,2026-01-09
Stephen Curry,100000,0.0009990009990009,0.000947116352136277,105483.64848673987,5.478170316412977,2026-01-09
Alperen Sengun,100000,0.0009990009990009,0.000947116352136277,105483.64848673987,5.478170316412977,2026-01-09
Kevin Durant,100000,0.0009990009990009,0.000947116352136277,105483.64848673987,5.478170316412977,2026-01-09
