player,total_fga,total_fg_pct,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,top_shot_types,height,note,rank
Chris Paul,583,42.7,22,16,72.7,3.8,1.7,19,"{'Driving Finger Roll Layup Shot': 7, 'Driving Layup Shot': 5, 'Driving Floating Jump Shot': 3}","6'0""",Small Guard HOF,1
Payton Pritchard,866,47.2,154,108,70.1,17.8,3.3,65,"{'Driving Layup Shot': 72, 'Running Layup Shot': 21, 'Driving Finger Roll Layup Shot': 11}","6'1""",Target Player,2
Luka Doncic,1025,45.0,232,154,66.4,22.6,6.4,48,"{'Driving Layup Shot': 75, 'Driving Finger Roll Layup Shot': 29, 'Running Layup Shot': 26}","6'7""",Jumbo Guard,3
De'Aaron Fox,1163,46.3,358,225,62.8,30.8,7.3,62,"{'Driving Layup Shot': 117, 'Running Layup Shot': 47, 'Driving Floating Jump Shot': 45}","6'3""",Athletic Guard,4
Jordan Poole,1057,43.2,291,174,59.8,27.5,5.4,64,"{'Driving Layup Shot': 102, 'Driving Finger Roll Layup Shot': 53, 'Running Layup Shot': 36}","6'4""",Athletic Guard,5
Anthony Edwards,1612,44.7,463,274,59.2,28.7,6.9,79,"{'Driving Layup Shot': 180, 'Driving Finger Roll Layup Shot': 43, 'Driving Reverse Layup Shot': 34}","6'4""",Big Athletic Guard,6
Jalen Brunson,1200,48.8,349,204,58.5,29.1,6.4,64,"{'Driving Layup Shot': 86, 'Driving Floating Jump Shot': 81, 'Driving Finger Roll Layup Shot': 39}","6'2""",Small Guard Star,7
Darius Garland,1174,47.2,309,176,57.0,26.3,4.8,73,"{'Driving Layup Shot': 94, 'Driving Finger Roll Layup Shot': 54, 'Driving Floating Jump Shot': 53}","6'1""",Small Guard Star,8
Damian Lillard,992,44.8,249,142,57.0,25.1,5.0,57,"{'Driving Layup Shot': 103, 'Driving Finger Roll Layup Shot': 61, 'Driving Reverse Layup Shot': 26}","6'2""",Star Guard,9
Ja Morant,889,45.4,380,216,56.8,42.7,8.6,50,"{'Driving Layup Shot': 92, 'Driving Finger Roll Layup Shot': 62, 'Driving Floating Jump Shot': 46}","6'3""",Elite Finisher,10
Anfernee Simons,1125,42.6,273,149,54.6,24.3,4.4,67,"{'Driving Layup Shot': 116, 'Driving Floating Jump Shot': 31, 'Driving Finger Roll Layup Shot': 31}","6'3""",Athletic Guard,11
Donovan Mitchell,1320,44.3,351,191,54.4,26.6,5.5,69,"{'Driving Layup Shot': 156, 'Running Layup Shot': 48, 'Driving Floating Jump Shot': 36}","6'3""",Star Guard,12
Tyrese Maxey,1091,43.7,418,227,54.3,38.3,8.7,52,"{'Driving Layup Shot': 111, 'Driving Finger Roll Layup Shot': 110, 'Driving Floating Jump Shot': 51}","6'2""",Explosive Small Guard,13
Immanuel Quickley,438,42.0,98,51,52.0,22.4,3.4,30,"{'Driving Layup Shot': 23, 'Driving Finger Roll Layup Shot': 18, 'Running Layup Shot': 16}","6'3""",Athletic Guard,14
LaMelo Ball,1003,40.5,273,137,50.2,27.2,5.8,47,"{'Driving Layup Shot': 94, 'Driving Floating Jump Shot': 58, 'Driving Finger Roll Layup Shot': 33}","6'7""",Jumbo Guard,15
Trae Young,1376,41.1,346,172,49.7,25.1,4.6,74,"{'Driving Layup Shot': 116, 'Driving Finger Roll Layup Shot': 68, 'Driving Floating Jump Shot': 67}","6'1""",Small Guard Star,16
Fred VanVleet,759,37.8,131,60,45.8,17.3,2.3,52,"{'Driving Layup Shot': 44, 'Running Layup Shot': 27, 'Driving Finger Roll Layup Shot': 19}","6'0""",Small Guard All-Star,17
