team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
Sacramento Kings,2025-10-22,Phoenix Suns,Away,3.5,-4,-0.5,L,Underdog,116,120
Phoenix Suns,2025-10-22,Sacramento Kings,Home,-3.5,4,0.5,W,Favorite,120,116
Washington Wizards,2025-12-20,Memphis Grizzlies,Away,12.5,8,20.5,W,Underdog,130,122
Memphis Grizzlies,2025-12-20,Washington Wizards,Home,-12.5,-8,-20.5,L,Favorite,122,130
New Orleans Pelicans,2025-11-08,San Antonio Spurs,Away,10.5,-7,3.5,W,Underdog,119,126
San Antonio Spurs,2025-11-08,New Orleans Pelicans,Home,-10.5,7,-3.5,L,Favorite,126,119
Atlanta Hawks,2025-11-16,Phoenix Suns,Away,1.5,2,3.5,W,Underdog,124,122
Phoenix Suns,2025-11-16,Atlanta Hawks,Home,-1.5,-2,-3.5,L,Favorite,122,124
Minnesota Timberwolves,2025-10-24,Los Angeles Lakers,Away,-1.5,-18,-19.5,L,Favorite,110,128
Los Angeles Lakers,2025-10-24,Minnesota Timberwolves,Home,1.5,18,19.5,W,Underdog,128,110
Utah Jazz,2026-01-03,Golden State Warriors,Away,12.5,-9,3.5,W,Underdog,114,123
Golden State Warriors,2026-01-03,Utah Jazz,Home,-12.5,9,-3.5,L,Favorite,123,114
Memphis Grizzlies,2025-10-29,Phoenix Suns,Away,-1.5,1,-0.5,L,Favorite,114,113
Phoenix Suns,2025-10-29,Memphis Grizzlies,Home,1.5,-1,0.5,W,Underdog,113,114
Detroit Pistons,2025-12-23,Sacramento Kings,Away,-9.5,9,-0.5,L,Favorite,136,127
Sacramento Kings,2025-12-23,Detroit Pistons,Home,9.5,-9,0.5,W,Underdog,127,136
Philadelphia 76ers,2025-11-04,Chicago Bulls,Away,1.5,-2,-0.5,L,Underdog,111,113
Chicago Bulls,2025-11-04,Philadelphia 76ers,Home,-1.5,2,0.5,W,Favorite,113,111
Minnesota Timberwolves,2025-11-09,Sacramento Kings,Away,-4.5,27,22.5,W,Favorite,144,117
Sacramento Kings,2025-11-09,Minnesota Timberwolves,Home,4.5,-27,-22.5,L,Underdog,117,144
Memphis Grizzlies,2025-11-02,Toronto Raptors,Away,4.5,-13,-8.5,L,Underdog,104,117
Toronto Raptors,2025-11-02,Memphis Grizzlies,Home,-4.5,13,8.5,W,Favorite,117,104
Phoenix Suns,2025-11-12,Dallas Mavericks,Away,-2.5,9,6.5,W,Favorite,123,114
Dallas Mavericks,2025-11-12,Phoenix Suns,Home,2.5,-9,-6.5,L,Underdog,114,123
Washington Wizards,2025-11-03,New York Knicks,Away,13.5,-17,-3.5,L,Underdog,102,119
New York Knicks,2025-11-03,Washington Wizards,Home,-13.5,17,3.5,W,Favorite,119,102
Memphis Grizzlies,2025-11-12,Boston Celtics,Away,8.5,-36,-27.5,L,Underdog,95,131
Boston Celtics,2025-11-12,Memphis Grizzlies,Home,-8.5,36,27.5,W,Favorite,131,95
Sacramento Kings,2025-11-28,Utah Jazz,Away,2.5,-9,-6.5,L,Underdog,119,128
Utah Jazz,2025-11-28,Sacramento Kings,Home,-2.5,9,6.5,W,Favorite,128,119
Charlotte Hornets,2025-10-28,Miami Heat,Away,4.5,-27,-22.5,L,Underdog,117,144
Miami Heat,2025-10-28,Charlotte Hornets,Home,-4.5,27,22.5,W,Favorite,144,117
Oklahoma City Thunder,2025-10-23,Indiana Pacers,Away,-7.5,6,-1.5,L,Favorite,141,135
