team,games,ats_record,ats_win_pct,avg_ats_margin,actual_record,actual_win_pct,home_ats_pct,away_ats_pct,as_fav_ats_pct,as_dog_ats_pct,as_fav_games,as_dog_games
Phoenix Suns,34,23-11-0,0.6764705882352942,3.8529411764705883,20-14,0.5882352941176471,0.75,0.6111111111111112,0.8666666666666667,0.5263157894736842,15,19
Philadelphia 76ers,33,20-13-0,0.6060606060606061,0.8636363636363636,19-14,0.5757575757575758,0.47058823529411764,0.75,0.6470588235294118,0.5625,17,16
Denver Nuggets,34,20-14-0,0.5882352941176471,1.088235294117647,23-11,0.6764705882352942,0.6,0.5789473684210527,0.5714285714285714,0.6666666666666666,28,6
Boston Celtics,34,20-14-0,0.5882352941176471,3.4411764705882355,22-12,0.6470588235294118,0.5333333333333333,0.631578947368421,0.5454545454545454,0.6666666666666666,22,12
New Orleans Pelicans,36,21-15-0,0.5833333333333334,-0.2222222222222222,8-28,0.2222222222222222,0.6363636363636364,0.5,1.0,0.5588235294117647,2,34
Miami Heat,35,20-15-0,0.5714285714285714,3.0714285714285716,19-16,0.5428571428571428,0.5555555555555556,0.5882352941176471,0.5,0.631578947368421,16,19
Charlotte Hornets,35,20-15-0,0.5714285714285714,2.3285714285714287,12-23,0.34285714285714286,0.5882352941176471,0.5555555555555556,0.5,0.5806451612903226,4,31
Houston Rockets,32,18-14-0,0.5625,1.375,21-11,0.65625,0.5,0.6,0.5333333333333333,1.0,30,2
Los Angeles Lakers,32,18-14-0,0.5625,-2.46875,21-11,0.65625,0.5333333333333333,0.5882352941176471,0.6111111111111112,0.5,18,14
Utah Jazz,34,19-15-0,0.5588235294117647,0.8235294117647058,12-22,0.35294117647058826,0.6842105263157895,0.4,0.75,0.5333333333333333,4,30
San Antonio Spurs,35,19-16-0,0.5428571428571428,3.3857142857142857,25-10,0.7142857142857143,0.5882352941176471,0.5,0.45454545454545453,0.6923076923076923,22,13
Oklahoma City Thunder,35,19-16-0,0.5428571428571428,3.2714285714285714,30-5,0.8571428571428571,0.5789473684210527,0.5,0.5428571428571428,0.0,35,0
Detroit Pistons,34,18-16-0,0.5294117647058824,1.0294117647058822,25-9,0.7352941176470589,0.5625,0.5,0.4642857142857143,0.8333333333333334,28,6
Portland Trail Blazers,36,19-17-0,0.5277777777777778,-0.8611111111111112,16-20,0.4444444444444444,0.5625,0.5,0.3076923076923077,0.6521739130434783,13,23
Chicago Bulls,35,18-17-0,0.5142857142857142,-2.557142857142857,17-18,0.4857142857142857,0.5263157894736842,0.5,0.23529411764705882,0.7777777777777778,17,18
New York Knicks,35,18-17-0,0.5142857142857142,0.15714285714285714,23-12,0.6571428571428571,0.6842105263157895,0.3125,0.5333333333333333,0.4,30,5
Atlanta Hawks,37,18-19-0,0.4864864864864865,-0.14864864864864866,17-20,0.4594594594594595,0.35294117647058826,0.6,0.29411764705882354,0.65,17,20
Indiana Pacers,35,17-18-0,0.4857142857142857,-3.9571428571428573,6-29,0.17142857142857143,0.5263157894736842,0.4375,0.4,0.5,5,30
Brooklyn Nets,32,15-17-0,0.46875,3.21875,10-22,0.3125,0.4117647058823529,0.5333333333333333,1.0,0.45161290322580644,1,31
Milwaukee Bucks,35,16-19-0,0.45714285714285713,-2.1,15-20,0.42857142857142855,0.4444444444444444,0.47058823529411764,0.375,0.5263157894736842,16,19
Golden State Warriors,36,16-20-0,0.4444444444444444,-1.4166666666666667,19-17,0.5277777777777778,0.5,0.4,0.44,0.45454545454545453,25,11
Dallas Mavericks,36,16-20-0,0.4444444444444444,-0.6388888888888888,13-23,0.3611111111111111,0.55,0.3125,0.2,0.5384615384615384,10,26
Toronto Raptors,36,16-20-0,0.4444444444444444,0.1111111111111111,21-15,0.5833333333333334,0.3684210526315789,0.5294117647058824,0.36363636363636365,0.5714285714285714,22,14
Memphis Grizzlies,34,15-19-0,0.4411764705882353,0.8529411764705882,15-19,0.4411764705882353,0.4375,0.4444444444444444,0.6666666666666666,0.2631578947368421,15,19
Washington Wizards,33,14-19-0,0.42424242424242425,-0.4393939393939394,9-24,0.2727272727272727,0.4375,0.4117647058823529,0.3333333333333333,0.43333333333333335,3,30
LA Clippers,34,14-20-0,0.4117647058823529,-2.6176470588235294,12-22,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.3333333333333333,0.5,18,16
Minnesota Timberwolves,35,14-21-0,0.4,-1.4428571428571428,22-13,0.6285714285714286,0.3888888888888889,0.4117647058823529,0.39285714285714285,0.42857142857142855,28,7
Orlando Magic,35,14-21-0,0.4,-1.0714285714285714,19-16,0.5428571428571428,0.4117647058823529,0.3888888888888889,0.36,0.5,25,10
Sacramento Kings,35,12-23-0,0.34285714285714286,-4.5285714285714285,8-27,0.22857142857142856,0.3125,0.3684210526315789,0.3333333333333333,0.34375,3,32
Cleveland Cavaliers,36,12-24-0,0.3333333333333333,-3.75,20-16,0.5555555555555556,0.2857142857142857,0.4,0.3,0.5,30,6
