player,game,market,line,bet_side,bet_odds,bet_implied,strategy,historical_edge,bookmaker,over_odds,under_odds,vig_structure,total_vig,over_vig,under_vig,line_position,min_line,max_line,n_books,n_lines
Austin Reaves,Los Angeles Lakers @ Boston Celtics,player_points,33.5,OVER,120,0.45454545454545453,under_heavy,0.34,betrivers,120,-167,under_heavy,0.08001361933946205,0.03367534105239023,0.04633827828707182,middle,27.5,36.5,8,10
Jaylen Brown,Los Angeles Lakers @ Boston Celtics,player_points,30.5,OVER,114,0.4672897196261682,under_heavy,0.34,betrivers,114,-157,under_heavy,0.07818466126040957,0.03388555759709477,0.0442991036633148,middle,25.5,33.5,8,9
Neemias Queta,Los Angeles Lakers @ Boston Celtics,player_points,11.5,OVER,120,0.45454545454545453,under_heavy,0.34,betrivers,120,-167,under_heavy,0.08001361933946205,0.03367534105239023,0.04633827828707182,middle,7.5,12.5,8,6
Derrick White,Los Angeles Lakers @ Boston Celtics,player_points,18.5,OVER,120,0.45454545454545453,under_heavy,0.34,betrivers,120,-167,under_heavy,0.08001361933946205,0.03367534105239023,0.04633827828707182,middle,13.5,20.5,8,8
Deandre Ayton,Los Angeles Lakers @ Boston Celtics,player_points,17.5,OVER,123,0.4484304932735426,under_heavy,0.34,betrivers,123,-167,under_heavy,0.07389865806755003,0.03085804367156575,0.04304061439598428,middle,12.5,19.5,8,8
Payton Pritchard,Los Angeles Lakers @ Boston Celtics,player_points,18.5,OVER,120,0.45454545454545453,under_heavy,0.34,betrivers,120,-167,under_heavy,0.08001361933946205,0.03367534105239023,0.04633827828707182,middle,13.5,19.5,8,7
Jake LaRavia,Los Angeles Lakers @ Boston Celtics,player_points,12.5,OVER,118,0.45871559633027525,under_heavy,0.34,betrivers,118,-165,under_heavy,0.08135710576423755,0.034511978593761705,0.04684512717047584,middle,9.5,14.5,8,6
Rui Hachimura,Los Angeles Lakers @ Boston Celtics,player_points,16.5,OVER,114,0.4672897196261682,under_heavy,0.34,betrivers,114,-157,under_heavy,0.07818466126040957,0.03388555759709477,0.0442991036633148,middle,12.5,19.5,8,8
Anfernee Simons,Los Angeles Lakers @ Boston Celtics,player_points,13.5,OVER,145,0.40816326530612246,under_heavy,0.34,bovada,145,-190,under_heavy,0.06333567909922588,0.02431151150069555,0.039024167598530335,middle,9.5,14.5,8,6
Anfernee Simons,Los Angeles Lakers @ Boston Celtics,player_points,14.5,OVER,185,0.3508771929824561,under_heavy,0.34,bovada,185,-250,under_heavy,0.06516290726817037,0.021465428276573773,0.043697478991596594,max,9.5,14.5,8,6
Austin Reaves,Los Angeles Lakers @ Boston Celtics,player_points,33.5,OVER,125,0.4444444444444444,under_heavy,0.34,bovada,125,-165,under_heavy,0.06708595387840655,0.02794149748963104,0.039144456388775506,middle,27.5,36.5,8,10
Austin Reaves,Los Angeles Lakers @ Boston Celtics,player_points,34.5,OVER,145,0.40816326530612246,under_heavy,0.34,bovada,145,-190,under_heavy,0.06333567909922588,0.02431151150069555,0.039024167598530335,middle,27.5,36.5,8,10
Austin Reaves,Los Angeles Lakers @ Boston Celtics,player_points,35.5,OVER,170,0.37037037037037035,under_heavy,0.34,bovada,170,-230,under_heavy,0.06734006734006748,0.023367215796237906,0.04397285154382957,middle,27.5,36.5,8,10
Austin Reaves,Los Angeles Lakers @ Boston Celtics,player_points,36.5,OVER,205,0.32786885245901637,under_heavy,0.34,bovada,205,-280,under_heavy,0.06471095772217428,0.01992719929856257,0.04478375842361171,max,27.5,36.5,8,10
Deandre Ayton,Los Angeles Lakers @ Boston Celtics,player_points,17.5,OVER,135,0.425531914893617,under_heavy,0.34,bovada,135,-180,under_heavy,0.06838905775075999,0.027238885021639847,0.04115017272912014,middle,12.5,19.5,8,8
Deandre Ayton,Los Angeles Lakers @ Boston Celtics,player_points,18.5,OVER,170,0.37037037037037035,under_heavy,0.34,bovada,170,-230,under_heavy,0.06734006734006748,0.023367215796237906,0.04397285154382957,middle,12.5,19.5,8,8
Deandre Ayton,Los Angeles Lakers @ Boston Celtics,player_points,19.5,OVER,210,0.3225806451612903,under_heavy,0.34,bovada,210,-290,under_heavy,0.06617038875103382,0.02002052103405988,0.046149867716973936,max,12.5,19.5,8,8
Derrick White,Los Angeles Lakers @ Boston Celtics,player_points,18.5,OVER,135,0.425531914893617,under_heavy,0.34,bovada,135,-180,under_heavy,0.06838905775075999,0.027238885021639847,0.04115017272912014,middle,13.5,20.5,8,8
Derrick White,Los Angeles Lakers @ Boston Celtics,player_points,19.5,OVER,170,0.37037037037037035,under_heavy,0.34,bovada,170,-230,under_heavy,0.06734006734006748,0.023367215796237906,0.04397285154382957,middle,13.5,20.5,8,8
Derrick White,Los Angeles Lakers @ Boston Celtics,player_points,20.5,OVER,215,0.31746031746031744,under_heavy,0.34,bovada,215,-300,under_heavy,0.06746031746031739,0.020062547943588804,0.04739776951672858,max,13.5,20.5,8,8
