team,implied_prob_avg,implied_prob_min,implied_prob_max,num_books,best_book,best_odds,record,fair_prob,fair_odds,shopping_spread_pct
Seattle Seahawks,0.2092621801299642,0.19047619047619047,0.23255813953488372,7,bovada,425,14-3,0.18291703810828375,446.6959285706436,4.208194905869325
Los Angeles Rams,0.18747090984287748,0.18181818181818182,0.19047619047619047,7,bovada,450,12-5,0.16386918810951467,510.24284768634755,0.8658008658008642
Denver Broncos,0.12976190476190477,0.125,0.13333333333333333,7,betonlineag,700,14-3,0.11342548024490412,781.6361172470566,0.8333333333333331
Philadelphia Eagles,0.1031626685762024,0.09523809523809523,0.1111111111111111,7,draftkings,950,11-6,0.09017496504904013,1008.9552399118389,1.5873015873015872
Buffalo Bills,0.09242424242424242,0.08333333333333333,0.1,7,bovada,1100,12-5,0.0807884571552528,1137.8005908421792,1.6666666666666676
New England Patriots,0.09112554112554114,0.08333333333333333,0.1,7,bovada,1100,14-3,0.07965325635213451,1155.4414543696212,1.6666666666666676
Houston Texans,0.0770538984824699,0.07142857142857142,0.08333333333333333,7,betmgm,1300,12-5,0.06735316852933614,1384.7111454963597,1.1904761904761905
Jacksonville Jaguars,0.06631152460984394,0.058823529411764705,0.07142857142857142,7,bovada,1600,13-4,0.05796320991468251,1625.2322662459942,1.260504201680672
Chicago Bears,0.04571929106090596,0.038461538461538464,0.047619047619047616,7,draftkings,2500,11-6,0.03996344346636184,2402.2868733564546,0.9157509157509153
Green Bay Packers,0.04500088012673825,0.038461538461538464,0.05263157894736842,7,draftkings,2500,9-7-1,0.039335477150896,2442.234319832629,1.4170040485829953
San Francisco 49ers,0.03863935632325631,0.03225806451612903,0.047619047619047616,7,draftkings,3000,12-5,0.03377483981420393,2860.783842354309,1.5360983102918584
Los Angeles Chargers,0.033639262156475495,0.029411764705882353,0.047619047619047616,7,betonlineag,3300,11-6,0.02940423441058044,3300.8707250686753,1.8207282913165264
Pittsburgh Steelers,0.019357743097238894,0.017857142857142856,0.0196078431372549,7,fanduel,5500,10-7,0.016920692643118452,5809.923553907791,0.17507002801120455
Carolina Panthers,0.005098416091019446,0.004424778761061947,0.005681818181818182,7,fanduel,22500,8-9,0.00445654905169056,22338.886869665606,0.12570394207562352
