original_week,luck_delta,lucky_team,lucky_team_overperf,lucky_next_score,lucky_next_adj_score,lucky_next_diff,lucky_won_next,unlucky_team,unlucky_team_underperf,unlucky_next_score,unlucky_next_adj_score,unlucky_next_diff,unlucky_won_next,luck_bin
1,8.8,ARI,1.5,27,17.9,9.100000000000001,1,NO,-7.300000000000001,21,20.5,0.5,0,7 to 10
1,3.1999999999999993,BUF,12.2,30,25.7,4.300000000000001,1,BAL,9.0,41,18.8,22.2,1,3 to 7
1,4.9,JAX,1.5,27,27.8,-0.8000000000000007,0,CAR,-3.4000000000000004,22,17.7,4.300000000000001,0,3 to 7
1,1.3999999999999986,CIN,-1.1000000000000014,31,23.0,8.0,1,CLE,-2.5,17,12.7,4.300000000000001,0,0 to 3
1,2.8000000000000007,PHI,0.6999999999999993,20,17.9,2.1000000000000014,1,DAL,-2.1000000000000014,40,26.4,13.600000000000001,1,0 to 3
1,7.899999999999999,GB,4.899999999999999,27,29.2,-2.1999999999999993,1,DET,-3.0,52,33.2,18.799999999999997,1,7 to 10
1,0.8999999999999986,HOU,-3.8000000000000007,19,18.9,0.10000000000000142,0,LA,-4.699999999999999,33,26.6,6.399999999999999,1,0 to 3
1,0.8999999999999986,KC,1.3999999999999986,17,17.1,-0.10000000000000142,0,LAC,0.5,20,20.3,-0.3000000000000007,1,0 to 3
1,2.799999999999997,LV,-4.100000000000001,9,11.5,-2.5,0,NE,-6.899999999999999,33,21.5,11.5,1,0 to 3
1,12.0,IND,9.0,29,25.0,4.0,1,MIA,-3.0,27,19.9,7.100000000000001,0,10 to 15
1,2.299999999999997,MIN,6.399999999999999,6,13.9,-7.9,0,CHI,4.100000000000001,21,16.1,4.899999999999999,0,0 to 3
1,4.299999999999999,WAS,-4.300000000000001,18,16.9,1.1000000000000014,0,NYG,-8.6,37,25.6,11.399999999999999,0,3 to 7
1,6.800000000000001,PIT,12.0,17,16.7,0.3000000000000007,0,NYJ,5.199999999999999,10,11.2,-1.1999999999999993,0,3 to 7
1,0.3000000000000007,SEA,-8.899999999999999,31,25.9,5.100000000000001,1,SF,-9.2,26,25.6,0.3999999999999986,1,0 to 3
1,5.399999999999999,TB,3.1999999999999993,20,27.4,-7.399999999999999,1,ATL,-2.1999999999999993,22,21.6,0.3999999999999986,1,3 to 7
1,3.6000000000000014,TEN,1.8000000000000007,19,14.3,4.699999999999999,0,DEN,-1.8000000000000007,28,23.7,4.300000000000001,0,3 to 7
2,8.299999999999999,ATL,0.3999999999999986,0,13.8,-13.8,0,MIN,-7.9,48,30.7,17.3,1,7 to 10
2,5.5,BUF,4.300000000000001,31,27.8,3.1999999999999993,1,NYJ,-1.1999999999999993,27,20.2,6.800000000000001,0,3 to 7
2,4.800000000000001,ARI,9.100000000000001,15,17.5,-2.5,0,CAR,4.300000000000001,30,20.5,9.5,1,3 to 7
2,13.899999999999999,DET,18.799999999999997,38,33.4,4.600000000000001,1,CHI,4.899999999999999,31,26.9,4.100000000000001,1,10 to 15
